family	size	variant	queries	complete_timing_runs	resource_failures	raw_by_query	lifecycle_ns	lifecycle_ns_min	lifecycle_ns_max	prepare_ns	prepare_ns_min	prepare_ns_max	prepared_drop_ns	prepared_drop_ns_min	prepared_drop_ns_max	setup_ns	setup_ns_min	setup_ns_max	execution_ns	execution_ns_min	execution_ns_max	observe_ns	observe_ns_min	observe_ns_max	result_drop_ns	result_drop_ns_min	result_drop_ns_max	query_drop_ns	query_drop_ns_min	query_drop_ns_max	request_ns	request_ns_min	request_ns_max	answer_drop_ns	answer_drop_ns_min	answer_drop_ns_max	first_query_ns	first_query_ns_min	first_query_ns_max	first_answer_ns	first_answer_ns_min	first_answer_ns_max	memory_complete	max_rss_kib	before_rss_kib	prepared_rss_kib	final_rss_kib	post_answer_rss_kib
contradiction	4	generated-active-indexed	4	5	0	[0, 0, 0, 0]	7054456	6785934	7651717	70238	58317	72076	4213	4045	5167	109802	101701	113257	6689322	6408977	7236168	0	0	0	0	0	0	201592	192210	225981	6991801	6709442	7575991	188	163	203	1905002	1852496	2094575				True	7168	4684	5100	6796	[6480, 6796, 6796, 6796]
contradiction	4	generated-global-scan	1	5	0	[0]	374727	360490	405401	46316	37134	53623	217	87	235	967	859	1010	307797	300088	343585	0	0	0	0	0	0	13381	12574	15043	323078	313937	359733	43	42	125	323121	313980	359778				True	5760	4752	5092	5256	[5256]
contradiction	4	generated-global-scan	4	5	0	[0, 0, 0, 0]	841875	793240	882833	59879	39973	80654	2255	1877	2357	16667	15693	18897	726218	692502	765209	0	0	0	0	0	0	24252	22699	25625	769778	734032	809987	109	92	115	313911	298173	348130				True	5632	4748	5088	5268	[5252, 5252, 5252, 5268]
contradiction	4	generic-global-scan	1	5	0	[0]	387475	364246	427414	46475	41997	51964	188	90	241	1009	971	1043	323270	307521	364380	0	0	0	0	0	0	14627	13261	15229	339405	321922	380797	48	43	86	339453	322008	380845				True	5632	4828	5104	5268	[5268]
contradiction	4	generic-global-scan	4	5	0	[0, 0, 0, 0]	841561	795518	859180	43593	33721	50418	2020	1878	2227	16732	16102	52018	729279	720196	772914	0	0	0	0	0	0	23128	21732	23920	795840	759699	813955	108	85	112	326855	301366	363249				True	5632	4692	5096	5276	[5260, 5260, 5260, 5276]
contradiction	4	native	1	5	0	[0]	4838	4083	5436	2506	1834	2837	305	211	377	643	580	708	1066	969	1172	0	0	0	0	0	0	167	144	189	1963	1926	2178	44	40	71	2024	1966	2222				True	5248	4764	4764	4768	[4768]
contradiction	4	native	4	5	0	[0, 0, 0, 0]	7521	6649	8264	2443	1726	2766	306	267	567	1653	1525	1765	2159	2108	2487	0	0	0	0	0	0	315	276	462	4672	4276	5091	93	80	105	2200	1992	2514				True	5376	4748	4812	4816	[4816, 4816, 4816, 4816]
contradiction	4	support	1	5	0	[0]	9136571	8708863	9227353	7849351	7427526	7891935	932309	917014	1037116	293044	279277	320292	37278	36053	41945	0	0	0	0	0	0	1635	1292	1737	332217	317210	364226	45	44	190	332262	317400	364323				True	32640	4772	30780	16060	[32388]
contradiction	4	support	4	5	0	[0, 0, 0, 0]	9360519	8734883	9648680	7898724	7429852	8248109	971893	915855	1049285	302972	295328	311222	76056	72903	104277	0	0	0	0	0	0	4697	4448	5103	385290	375054	412425	91	79	97	332024	325226	339662				True	32512	4768	30716	16000	[32320, 32324, 32328, 32328]
contradiction	8	conflict	1	5	0	[0]	8934439	8776558	9151885	7646323	7459348	7828180	968568	830144	1029103	294362	258988	351143	42488	39301	44011	0	0	0	0	0	0	1694	1538	1946	337153	300049	395469	43	40	312	337196	300091	395509				True	32512	4792	30740	16036	[32364]
