contradiction 6 global indexed generated Counts { steps: 1467, splits: 32, failures: 33, answers: 0, peak: 18, first_failure_splits: Some(8), applications: 49, candidates: 640, observation: 0, max_terminal_terms: 3 }
contradiction 6 global indexed generic Counts { steps: 1467, splits: 32, failures: 33, answers: 0, peak: 18, first_failure_splits: Some(8), applications: 49, candidates: 640, observation: 0, max_terminal_terms: 3 }
contradiction 6 active scan generated Counts { steps: 21640, splits: 728, failures: 729, answers: 0, peak: 696, first_failure_splits: Some(424), applications: 1093, candidates: 5404, observation: 0, max_terminal_terms: 3 }
contradiction 6 active scan generic Counts { steps: 21640, splits: 728, failures: 729, answers: 0, peak: 696, first_failure_splits: Some(424), applications: 1093, candidates: 5404, observation: 0, max_terminal_terms: 3 }
contradiction 6 active indexed generated Counts { steps: 21640, splits: 728, failures: 729, answers: 0, peak: 696, first_failure_splits: Some(424), applications: 1093, candidates: 5404, observation: 0, max_terminal_terms: 3 }
contradiction 6 active indexed generic Counts { steps: 21640, splits: 728, failures: 729, answers: 0, peak: 696, first_failure_splits: Some(424), applications: 1093, candidates: 5404, observation: 0, max_terminal_terms: 3 }
contradiction 8 global scan generated Counts { steps: 1469, splits: 32, failures: 33, answers: 0, peak: 18, first_failure_splits: Some(8), applications: 49, candidates: 640, observation: 0, max_terminal_terms: 3 }
contradiction 8 global scan generic Counts { steps: 1469, splits: 32, failures: 33, answers: 0, peak: 18, first_failure_splits: Some(8), applications: 49, candidates: 640, observation: 0, max_terminal_terms: 3 }
contradiction 8 global indexed generated Counts { steps: 1469, splits: 32, failures: 33, answers: 0, peak: 18, first_failure_splits: Some(8), applications: 49, candidates: 640, observation: 0, max_terminal_terms: 3 }
contradiction 8 global indexed generic Counts { steps: 1469, splits: 32, failures: 33, answers: 0, peak: 18, first_failure_splits: Some(8), applications: 49, candidates: 640, observation: 0, max_terminal_terms: 3 }
contradiction 8 active scan generated Counts { steps: 194010, splits: 6560, failures: 6561, answers: 0, peak: 6200, first_failure_splits: Some(2600), applications: 9841, candidates: 48496, observation: 0, max_terminal_terms: 3 }
contradiction 8 active scan generic Counts { steps: 194010, splits: 6560, failures: 6561, answers: 0, peak: 6200, first_failure_splits: Some(2600), applications: 9841, candidates: 48496, observation: 0, max_terminal_terms: 3 }
contradiction 8 active indexed generated Counts { steps: 194010, splits: 6560, failures: 6561, answers: 0, peak: 6200, first_failure_splits: Some(2600), applications: 9841, candidates: 48496, observation: 0, max_terminal_terms: 3 }
contradiction 8 active indexed generic Counts { steps: 194010, splits: 6560, failures: 6561, answers: 0, peak: 6200, first_failure_splits: Some(2600), applications: 9841, candidates: 48496, observation: 0, max_terminal_terms: 3 }
weak 4 global scan generated Counts { steps: 649, splits: 80, failures: 0, answers: 81, peak: 81, first_failure_splits: None, applications: 40, candidates: 40, observation: 81, max_terminal_terms: 3 }
weak 4 global scan generic Counts { steps: 649, splits: 80, failures: 0, answers: 81, peak: 81, first_failure_splits: None, applications: 40, candidates: 40, observation: 81, max_terminal_terms: 3 }
weak 4 global indexed generated Counts { steps: 649, splits: 80, failures: 0, answers: 81, peak: 81, first_failure_splits: None, applications: 40, candidates: 40, observation: 81, max_terminal_terms: 3 }
weak 4 global indexed generic Counts { steps: 649, splits: 80, failures: 0, answers: 81, peak: 81, first_failure_splits: None, applications: 40, candidates: 40, observation: 81, max_terminal_terms: 3 }
