mode,family,choices,depth,reuse,schedule,requested_bytes,peak_above_start,wall_median_ns,wall_min_ns,wall_max_ns
original-shared,early,0,1,4,mixed,56921,7291,49084,29544,49628
original-shared,early,0,16,1,eligible,158646,17275,76517,72501,119892
original-shared,early,0,16,1,mixed,159509,17275,98862,64133,100957
original-shared,early,0,16,4,eligible,593832,17275,320166,210122,374885
original-shared,early,0,16,4,mixed,333799,17275,204200,125181,384260
original-shared,early,3,0,1,eligible,67363,20888,56532,54794,69482
original-shared,early,3,0,1,mixed,70583,20888,57284,40277,57961
original-shared,early,3,0,4,eligible,245077,20888,174115,136504,176238
original-shared,early,3,0,4,mixed,216093,20888,175268,167096,246680
original-shared,early,3,1,1,eligible,82365,20750,63972,40104,71450
original-shared,early,3,1,1,mixed,85585,20750,66458,65385,72171
original-shared,early,3,1,4,eligible,305039,20750,208209,128175,212761
original-shared,early,3,1,4,mixed,213199,20750,164388,154378,167473
original-shared,early,3,16,1,eligible,586229,41743,314217,200769,492124
original-shared,early,3,16,1,mixed,588489,41743,356521,237309,1139447
original-shared,early,3,16,4,eligible,2294541,42123,1153878,777640,1491209
original-shared,early,3,16,4,mixed,1244813,41743,580509,463219,725244
original-conditional,common,0,0,1,eligible,55207,11907,66137,41756,92358
original-conditional,common,0,0,1,mixed,53925,11907,66015,64818,79187
original-conditional,common,0,0,4,eligible,190561,11907,206239,117408,284298
original-conditional,common,0,0,4,mixed,161645,11907,177404,96286,179219
original-conditional,common,0,1,1,eligible,68170,12237,87911,61115,231294
original-conditional,common,0,1,1,mixed,66888,12237,88357,47225,94750
original-conditional,common,0,1,4,eligible,239773,12237,279315,264782,319544
original-conditional,common,0,1,4,mixed,170705,12237,196261,109371,204286
original-conditional,common,0,16,1,eligible,596890,48130,648114,368885,695026
original-conditional,common,0,16,1,mixed,595608,48130,667690,651973,794404
original-conditional,common,0,16,4,eligible,2306413,48130,1610025,1389630,2815474
original-conditional,common,0,16,4,mixed,1269629,48130,1379710,801167,1417727
original-conditional,common,3,0,1,eligible,117995,20656,165602,97609,214430
original-conditional,common,3,0,1,mixed,116713,20656,127615,115158,194622
original-conditional,common,3,0,4,eligible,434147,20656,549226,386775,585623
original-conditional,common,3,0,4,mixed,405091,20656,515549,302023,521641
original-conditional,common,3,1,1,eligible,130574,20986,182622,108287,185584
original-conditional,common,3,1,1,mixed,129292,20986,196266,108593,279065
original-conditional,common,3,1,4,eligible,482975,20986,608522,378327,659048
original-conditional,common,3,1,4,mixed,413383,20986,534556,406863,651295
original-conditional,common,3,16,1,eligible,658526,54964,551388,471420,760510
original-conditional,common,3,16,1,mixed,657244,54964,790805,525925,1072445
original-conditional,common,3,16,4,eligible,2546543,54964,1913218,1781244,2302955
original-conditional,common,3,16,4,mixed,1644013,54964,1209498,1143325,1316773
original-conditional,independent,0,0,1,eligible,54671,11811,67800,43938,194638
original-conditional,independent,0,0,1,mixed,53389,11811,69776,49053,75773
original-conditional,independent,0,0,4,eligible,188705,11811,206009,197340,264572
original-conditional,independent,0,0,4,mixed,159789,11811,176560,98614,230999
original-conditional,independent,0,1,1,eligible,67634,12141,88310,57200,93477
original-conditional,independent,0,1,1,mixed,66352,12141,82895,63712,124515
original-conditional,independent,0,1,4,eligible,237917,12141,172032,145668,291280
original-conditional,independent,0,1,4,mixed,168849,12141,194360,110103,195388
original-conditional,independent,0,16,1,eligible,596354,48034,561856,393783,685313
original-conditional,independent,0,16,1,mixed,595072,48034,682347,412921,696284
original-conditional,independent,0,16,4,eligible,2304557,48034,1481707,1407142,2540430
original-conditional,independent,0,16,4,mixed,1267773,48034,1387062,897503,1471715
original-conditional,independent,3,0,1,eligible,631202,49443,893742,567978,910887
original-conditional,independent,3,0,1,mixed,629920,49443,571329,547793,796613
original-conditional,independent,3,0,4,eligible,2468552,49443,2130123,2081844,2748362
original-conditional,independent,3,0,4,mixed,1701622,49443,1461729,1380908,1724581
original-conditional,independent,3,1,1,eligible,775923,55366,755890,661048,1107096
original-conditional,independent,3,1,1,mixed,774641,55366,1095815,630479,1122755
original-conditional,independent,3,1,4,eligible,3046764,55366,2830790,2441431,3530491
original-conditional,independent,3,1,4,mixed,1964940,55366,2361240,1622420,3051843
original-conditional,independent,3,16,1,eligible,5524298,323486,4333898,4093940,5203998
original-conditional,independent,3,16,1,mixed,5523016,323486,4368183,3840370,7194666
original-conditional,independent,3,16,4,eligible,21994808,323486,20113356,17249861,23897065
original-conditional,independent,3,16,4,mixed,11621264,323486,10042366,8901976,10565098
original-conditional,early,0,0,1,eligible,55207,11907,49003,38844,73235
original-conditional,early,0,0,1,mixed,53925,11907,70610,47491,85302
original-conditional,early,0,0,4,eligible,190561,11907,208700,110894,268024
original-conditional,early,0,0,4,mixed,161645,11907,178322,102266,187690
original-conditional,early,0,1,1,eligible,68170,12237,82429,68770,90867
original-conditional,early,0,1,1,mixed,66888,12237,82562,81191,86771
original-conditional,early,0,1,4,eligible,239773,12237,268275,145481,271195
original-conditional,early,0,1,4,mixed,170705,12237,196830,194904,211140
original-conditional,early,0,16,1,eligible,596890,48130,646328,407728,980053
original-conditional,early,0,16,1,mixed,595608,48130,669017,503463,768879
original-conditional,early,0,16,4,eligible,2306413,48130,1492855,1414852,1908808
original-conditional,early,0,16,4,mixed,1269629,48130,798753,763901,1414710
original-conditional,early,3,0,1,eligible,107732,17995,88888,82456,141584
original-conditional,early,3,0,1,mixed,106450,17995,97366,92137,142014
original-conditional,early,3,0,4,eligible,393098,17995,472556,332389,485734
original-conditional,early,3,0,4,mixed,364122,17995,281997,262488,449632
original-conditional,early,3,1,1,eligible,121935,18325,116061,92813,158800
original-conditional,early,3,1,1,mixed,120653,18325,163191,155582,173816
original-conditional,early,3,1,4,eligible,448422,18325,335690,310505,536183
original-conditional,early,3,1,4,mixed,373102,18325,454190,260861,463694
original-conditional,early,3,16,1,eligible,746247,52303,544370,501480,960995
original-conditional,early,3,16,1,mixed,744965,52303,826293,487087,926388
original-conditional,early,3,16,4,eligible,2897430,52303,1938896,1933241,2157109
original-conditional,early,3,16,4,mixed,1719436,52303,1230135,1157680,2068982
counted-scan,common,0,0,1,eligible,28315,9893,38886,21900,42409
counted-scan,common,0,0,1,mixed,26728,9893,39890,38842,64644
counted-scan,common,0,0,4,eligible,65890,9893,85950,60552,104435
counted-scan,common,0,0,4,mixed,58101,9893,84539,83798,88208
counted-scan,common,0,1,1,eligible,29313,10138,43154,42770,43640
counted-scan,common,0,1,1,mixed,28655,10138,42841,26141,51206
counted-scan,common,0,1,4,eligible,68385,10138,97811,53215,101966
counted-scan,common,0,1,4,mixed,59839,10138,83997,55262,110477
counted-scan,common,0,16,1,eligible,36891,12277,54337,52477,212686
counted-scan,common,0,16,1,mixed,43752,14116,64428,48210,96029
counted-scan,common,0,16,4,eligible,87330,12277,129812,86296,152803
counted-scan,common,0,16,4,mixed,106995,17941,155074,87913,209274
counted-scan,common,3,0,1,eligible,110406,51633,130328,129842,139602
counted-scan,common,3,0,1,mixed,108573,51633,128333,80665,140846
counted-scan,common,3,0,4,eligible,382170,51633,375654,263619,423599
counted-scan,common,3,0,4,mixed,357375,51633,260314,211843,488790
counted-scan,common,3,1,1,eligible,111404,51878,147896,92199,165421
counted-scan,common,3,1,1,mixed,110500,51878,136342,86538,138542
counted-scan,common,3,1,4,eligible,384665,51878,418080,246335,426530
counted-scan,common,3,1,4,mixed,336703,51878,203753,195340,352650
counted-scan,common,3,16,1,eligible,118982,54017,97168,85797,161331
counted-scan,common,3,16,1,mixed,125597,54017,149879,91631,194729
counted-scan,common,3,16,4,eligible,403610,54017,267556,252825,319625
counted-scan,common,3,16,4,mixed,459251,82469,387545,282970,501376
counted-scan,independent,0,0,1,eligible,27875,9797,37885,23128,40773
counted-scan,independent,0,0,1,mixed,26288,9797,38043,22096,39771
counted-scan,independent,0,0,4,eligible,65330,9797,97383,58154,99686
counted-scan,independent,0,0,4,mixed,57541,9797,82801,48402,94633
counted-scan,independent,0,1,1,eligible,28873,10042,28808,24046,47323
counted-scan,independent,0,1,1,mixed,28215,10042,45788,42531,50898
counted-scan,independent,0,1,4,eligible,67825,10042,90502,53973,102200
counted-scan,independent,0,1,4,mixed,59279,10042,90789,48503,94137
counted-scan,independent,0,16,1,eligible,36451,12181,54362,40251,55778
counted-scan,independent,0,16,1,mixed,43312,14020,64177,62956,70861
counted-scan,independent,0,16,4,eligible,86770,12181,119302,82204,133025
counted-scan,independent,0,16,4,mixed,106435,17845,142540,89957,371610
counted-scan,independent,3,0,1,eligible,151031,61276,192763,113634,247109
counted-scan,independent,3,0,1,mixed,149502,61276,191961,119148,278654
counted-scan,independent,3,0,4,eligible,497459,61276,615588,398020,696468
counted-scan,independent,3,0,4,mixed,419026,61276,475179,270604,535475
counted-scan,independent,3,1,1,eligible,151549,61425,191167,151374,209599
counted-scan,independent,3,1,1,mixed,150477,61425,146361,119449,191307
counted-scan,independent,3,1,4,eligible,498754,61425,613243,422896,739799
counted-scan,independent,3,1,4,mixed,420820,61425,483491,273201,543808
counted-scan,independent,3,16,1,eligible,159319,63660,211153,124127,221132
counted-scan,independent,3,16,1,mixed,165446,63660,275160,173101,346354
counted-scan,independent,3,16,4,eligible,518179,63660,512945,373889,604095
counted-scan,independent,3,16,4,mixed,542040,93398,632363,406908,763381
counted-scan,early,0,0,1,eligible,28315,9893,39725,37746,51916
counted-scan,early,0,0,1,mixed,26728,9893,39004,25382,41980
counted-scan,early,0,0,4,eligible,65890,9893,92752,52313,104761
counted-scan,early,0,0,4,mixed,58101,9893,85160,59625,116128
counted-scan,early,0,1,1,eligible,29313,10138,52267,43072,60866
counted-scan,early,0,1,1,mixed,28655,10138,44464,43794,70081
counted-scan,early,0,1,4,eligible,68385,10138,105556,53867,160634
counted-scan,early,0,1,4,mixed,59839,10138,83349,51969,86154
counted-scan,early,0,16,1,eligible,36891,12277,55713,33952,63489
counted-scan,early,0,16,1,mixed,43752,14116,62949,61787,72786
counted-scan,early,0,16,4,eligible,87330,12277,130145,107732,132804
counted-scan,early,0,16,4,mixed,106995,17941,149902,143604,191523
counted-scan,early,3,0,1,eligible,70648,28848,93494,90577,130430
counted-scan,early,3,0,1,mixed,68815,28848,95428,91353,113117
counted-scan,early,3,0,4,eligible,223456,28848,251298,151841,255938
counted-scan,early,3,0,4,mixed,207733,28848,166621,134922,259696
counted-scan,early,3,1,1,eligible,71646,29093,92693,54680,243253
counted-scan,early,3,1,1,mixed,70742,29093,93622,73253,140563
counted-scan,early,3,1,4,eligible,225951,29093,254486,166054,265218
counted-scan,early,3,1,4,mixed,199875,29093,221566,129781,252225
counted-scan,early,3,16,1,eligible,79224,31232,102374,102335,127351
counted-scan,early,3,16,1,mixed,85839,31232,111053,65358,117375
counted-scan,early,3,16,4,eligible,244896,31232,288319,200888,305431
counted-scan,early,3,16,4,mixed,286753,46648,326792,196195,329547
counted-indexed,common,0,0,1,eligible,31970,11981,45981,31699,63426
counted-indexed,common,0,0,1,mixed,29647,11981,45917,25017,71142
counted-indexed,common,0,0,4,eligible,78302,11981,100111,97466,129252
counted-indexed,common,0,0,4,mixed,69681,11981,96993,61387,118065
counted-indexed,common,0,1,1,eligible,32968,12226,45555,45155,56815
counted-indexed,common,0,1,1,mixed,32310,12226,46203,31864,50044
counted-indexed,common,0,1,4,eligible,80797,12226,109289,71810,120611
counted-indexed,common,0,1,4,mixed,71833,12226,96422,62575,99277
counted-indexed,common,0,16,1,eligible,40546,14365,55485,39717,69147
counted-indexed,common,0,16,1,mixed,47407,14852,68529,42928,69570
counted-indexed,common,0,16,4,eligible,99742,14365,139168,112301,168121
counted-indexed,common,0,16,4,mixed,122317,21693,160863,112922,261674
counted-indexed,common,3,0,1,eligible,131637,65790,149302,88254,255013
counted-indexed,common,3,0,1,mixed,129068,65790,147280,94327,173455
counted-indexed,common,3,0,4,eligible,464886,65790,507967,274164,590513
counted-indexed,common,3,0,4,mixed,438811,65790,427954,252392,449411
counted-indexed,common,3,1,1,eligible,132635,66035,170565,99023,214441
counted-indexed,common,3,1,1,mixed,131731,66035,159481,99053,185221
counted-indexed,common,3,1,4,eligible,467381,66035,520189,271482,530926
counted-indexed,common,3,1,4,mixed,416299,66035,279013,226951,403996
counted-indexed,common,3,16,1,eligible,140213,68174,176743,96205,218261
counted-indexed,common,3,16,1,mixed,146828,68174,172892,131442,190404
counted-indexed,common,3,16,4,eligible,486326,68174,380633,310498,549255
counted-indexed,common,3,16,4,mixed,565471,112485,349691,338042,648255
counted-indexed,independent,0,0,1,eligible,31530,11885,44125,24619,47877
counted-indexed,independent,0,0,1,mixed,29207,11885,34804,24569,45984
counted-indexed,independent,0,0,4,eligible,77742,11885,102324,54336,115227
counted-indexed,independent,0,0,4,mixed,69121,11885,89877,55583,109185
counted-indexed,independent,0,1,1,eligible,32528,12130,51567,44807,75888
counted-indexed,independent,0,1,1,mixed,31870,12130,44902,25300,77366
counted-indexed,independent,0,1,4,eligible,80237,12130,102590,61344,107838
counted-indexed,independent,0,1,4,mixed,71273,12130,93228,55790,94722
counted-indexed,independent,0,16,1,eligible,40106,14269,55932,32369,67773
counted-indexed,independent,0,16,1,mixed,46967,14756,74370,56719,78399
counted-indexed,independent,0,16,4,eligible,99182,14269,95856,75599,236406
counted-indexed,independent,0,16,4,mixed,121757,21597,160254,92528,192415
counted-indexed,independent,3,0,1,eligible,178502,77423,135911,125891,234889
counted-indexed,independent,3,0,1,mixed,176973,77423,213049,136873,1437729
counted-indexed,independent,3,0,4,eligible,605135,77423,682877,425091,718440
counted-indexed,independent,3,0,4,mixed,511424,77423,546848,348485,567245
counted-indexed,independent,3,1,1,eligible,179020,77572,223297,131637,338674
counted-indexed,independent,3,1,1,mixed,177948,77572,221741,158245,258811
counted-indexed,independent,3,1,4,eligible,606430,77572,703518,439705,782113
counted-indexed,independent,3,1,4,mixed,512896,77572,551128,324085,736671
counted-indexed,independent,3,16,1,eligible,186790,79807,242163,143926,291944
counted-indexed,independent,3,16,1,mixed,192917,79807,155116,146477,346542
counted-indexed,independent,3,16,4,eligible,625855,79807,514178,466162,744948
counted-indexed,independent,3,16,4,mixed,672516,129302,506893,456341,758479
counted-indexed,early,0,0,1,eligible,31970,11981,46107,25172,60324
counted-indexed,early,0,0,1,mixed,29647,11981,46934,26043,59965
counted-indexed,early,0,0,4,eligible,78302,11981,105041,104640,112057
counted-indexed,early,0,0,4,mixed,69681,11981,93987,91547,227920
counted-indexed,early,0,1,1,eligible,32968,12226,35581,27046,66546
counted-indexed,early,0,1,1,mixed,32310,12226,49741,45954,67778
counted-indexed,early,0,1,4,eligible,80797,12226,70835,60644,109306
counted-indexed,early,0,1,4,mixed,71833,12226,104811,79476,108273
counted-indexed,early,0,16,1,eligible,40546,14365,55129,43003,88734
counted-indexed,early,0,16,1,mixed,47407,14852,70660,47214,107918
counted-indexed,early,0,16,4,eligible,99742,14365,96010,81292,148309
counted-indexed,early,0,16,4,mixed,122317,21693,162206,160071,200684
counted-indexed,early,3,0,1,eligible,82975,36081,111873,101767,127940
counted-indexed,early,3,0,1,mixed,80406,36081,101223,59578,111089
counted-indexed,early,3,0,4,eligible,270556,36081,289365,199605,394663
counted-indexed,early,3,0,4,mixed,252337,36081,268085,161632,282616
counted-indexed,early,3,1,1,eligible,83973,36326,103847,58651,166139
counted-indexed,early,3,1,1,mixed,83069,36326,108089,64391,118385
counted-indexed,early,3,1,4,eligible,273051,36326,298216,171158,304377
counted-indexed,early,3,1,4,mixed,245399,36326,254312,170074,275634
counted-indexed,early,3,16,1,eligible,91551,38465,114787,71266,130270
counted-indexed,early,3,16,1,mixed,98166,38465,119578,73212,142528
counted-indexed,early,3,16,4,eligible,291996,38465,330487,215919,408348
counted-indexed,early,3,16,4,mixed,348917,61656,267190,251889,468115
counted-special,common,0,0,1,eligible,30579,10283,44462,26700,51342
counted-special,common,0,0,1,mixed,28992,10283,45862,40637,49619
counted-special,common,0,0,4,eligible,67194,10283,89424,52028,93310
counted-special,common,0,0,4,mixed,59405,10283,100045,79436,116945
counted-special,common,0,1,1,eligible,31577,10528,46619,29064,444798
counted-special,common,0,1,1,mixed,30919,10528,50128,46345,65055
counted-special,common,0,1,4,eligible,69689,10528,79880,51889,115536
counted-special,common,0,1,4,mixed,60407,10528,85708,59883,99303
counted-special,common,0,16,1,eligible,39155,12667,55621,32177,73008
counted-special,common,0,16,1,mixed,46016,14514,73590,65541,88949
counted-special,common,0,16,4,eligible,88634,12667,130237,78718,162023
counted-special,common,0,16,4,mixed,107563,17963,170454,87123,177974
counted-special,common,3,0,1,eligible,112614,52191,142662,124245,263235
counted-special,common,3,0,1,mixed,110781,52191,158576,83975,280529
counted-special,common,3,0,4,eligible,381906,52191,409842,246130,433955
counted-special,common,3,0,4,mixed,357111,52191,382035,220593,393347
counted-special,common,3,1,1,eligible,113612,52436,148040,85339,240495
counted-special,common,3,1,1,mixed,112708,52436,139199,92772,188317
counted-special,common,3,1,4,eligible,384401,52436,244152,238108,382185
counted-special,common,3,1,4,mixed,330551,52436,351980,341977,452848
counted-special,common,3,16,1,eligible,121190,54575,127953,100655,195763
counted-special,common,3,16,1,mixed,127805,54575,159167,88630,166526
counted-special,common,3,16,4,eligible,403346,54575,398291,256309,542362
counted-special,common,3,16,4,mixed,453099,80083,431094,279826,481542
counted-special,independent,0,0,1,eligible,30139,10187,41616,23123,42409
counted-special,independent,0,0,1,mixed,28552,10187,41366,26199,49022
counted-special,independent,0,0,4,eligible,66634,10187,88484,49644,105244
counted-special,independent,0,0,4,mixed,58845,10187,88840,60306,109740
counted-special,independent,0,1,1,eligible,31137,10432,45808,27438,46752
counted-special,independent,0,1,1,mixed,30479,10432,46076,27610,50747
counted-special,independent,0,1,4,eligible,69129,10432,93936,55285,102780
counted-special,independent,0,1,4,mixed,59847,10432,50835,48851,96175
counted-special,independent,0,16,1,eligible,38715,12571,54932,35244,100805
counted-special,independent,0,16,1,mixed,45576,14418,44268,40308,81161
counted-special,independent,0,16,4,eligible,88074,12571,78356,77631,141091
counted-special,independent,0,16,4,mixed,107003,17867,148177,108789,150590
counted-special,independent,3,0,1,eligible,153239,61834,215707,112190,305257
counted-special,independent,3,0,1,mixed,151710,61834,200648,124040,221625
counted-special,independent,3,0,4,eligible,497195,61834,614584,405152,657057
counted-special,independent,3,0,4,mixed,413610,61834,478033,293254,480474
counted-special,independent,3,1,1,eligible,153757,61983,188916,129630,193318
counted-special,independent,3,1,1,mixed,152685,61983,199670,189421,229988
counted-special,independent,3,1,4,eligible,498490,61983,599307,354259,616344
counted-special,independent,3,1,4,mixed,414668,61983,477785,290044,530962
counted-special,independent,3,16,1,eligible,161527,64218,134050,125928,188476
counted-special,independent,3,16,1,mixed,167654,64218,219507,128619,253089
counted-special,independent,3,16,4,eligible,517915,64218,389828,370112,641508
counted-special,independent,3,16,4,mixed,535888,91012,420368,380034,642249
counted-special,early,0,0,1,eligible,30579,10283,45838,43536,51970
counted-special,early,0,0,1,mixed,28992,10283,43718,24143,78077
counted-special,early,0,0,4,eligible,67194,10283,60073,48543,91719
counted-special,early,0,0,4,mixed,59405,10283,83155,46371,103642
counted-special,early,0,1,1,eligible,31577,10528,47234,45937,51598
counted-special,early,0,1,1,mixed,30919,10528,45853,45417,58587
counted-special,early,0,1,4,eligible,69689,10528,95451,94024,112249
counted-special,early,0,1,4,mixed,60407,10528,55363,46530,90014
counted-special,early,0,16,1,eligible,39155,12667,54725,35309,66088
counted-special,early,0,16,1,mixed,46016,14514,44385,37965,79697
counted-special,early,0,16,4,eligible,88634,12667,134840,131861,190321
counted-special,early,0,16,4,mixed,107563,17963,100413,86576,157860
counted-special,early,3,0,1,eligible,73136,29438,102221,98834,113667
counted-special,early,3,0,1,mixed,71303,29438,114381,94384,135517
counted-special,early,3,0,4,eligible,224312,29438,258934,158508,280065
counted-special,early,3,0,4,mixed,207853,29438,239909,134741,291362
counted-special,early,3,1,1,eligible,74134,29683,93881,66392,97399
counted-special,early,3,1,1,mixed,73230,29683,95773,55155,102335
counted-special,early,3,1,4,eligible,226807,29683,262389,260220,266263
counted-special,early,3,1,4,mixed,197051,29683,228996,218546,243165
counted-special,early,3,16,1,eligible,81712,31822,103901,83903,135830
counted-special,early,3,16,1,mixed,88327,31822,112178,82882,117022
counted-special,early,3,16,4,eligible,245752,31822,301663,173877,354824
counted-special,early,3,16,4,mixed,283929,45766,196338,188700,359044
counted-contextual,common,0,0,1,eligible,24526,8096,23636,13160,25553
counted-contextual,common,0,0,1,mixed,24526,8096,27135,14125,34182
counted-contextual,common,0,0,4,eligible,68962,8096,55319,53926,63590
counted-contextual,common,0,0,4,mixed,58842,8096,49758,27827,53335
counted-contextual,common,0,1,1,eligible,25524,8341,26279,15963,30035
counted-contextual,common,0,1,1,mixed,25839,8341,26687,26483,29374
counted-contextual,common,0,1,4,eligible,71457,8341,60101,58829,67297
counted-contextual,common,0,1,4,mixed,54464,8341,33544,31518,64302
counted-contextual,common,0,16,1,eligible,33102,10480,37152,21284,52654
counted-contextual,common,0,16,1,mixed,35166,10825,41193,40702,47969
counted-contextual,common,0,16,4,eligible,90402,10480,83878,48919,85042
counted-contextual,common,0,16,4,mixed,83396,12883,106075,66473,122346
counted-contextual,common,3,0,1,eligible,110692,30350,81331,58224,90710
counted-contextual,common,3,0,1,mixed,112612,30350,82969,63423,89051
counted-contextual,common,3,0,4,eligible,404170,30350,224146,159356,272733
counted-contextual,common,3,0,4,mixed,344044,30350,260973,249920,271425
counted-contextual,common,3,1,1,eligible,111690,30595,97485,49713,106202
counted-contextual,common,3,1,1,mixed,113541,30595,84028,50661,85865
counted-contextual,common,3,1,4,eligible,406665,30595,169619,164951,274149
counted-contextual,common,3,1,4,mixed,297612,30595,151255,138202,167301
counted-contextual,common,3,16,1,eligible,119268,32734,82625,64113,117615
counted-contextual,common,3,16,1,mixed,122100,32734,93005,63148,99716
counted-contextual,common,3,16,4,eligible,425610,32734,191442,190345,235278
counted-contextual,common,3,16,4,mixed,364140,33543,318784,211357,379080
counted-contextual,independent,0,0,1,eligible,24174,8000,24037,13628,26580
counted-contextual,independent,0,0,1,mixed,24126,8000,24452,16755,28986
counted-contextual,independent,0,0,4,eligible,68466,8000,54976,41742,59272
counted-contextual,independent,0,0,4,mixed,58298,8000,53914,36043,66342
counted-contextual,independent,0,1,1,eligible,25172,8245,29631,17336,38447
counted-contextual,independent,0,1,1,mixed,25439,8245,29204,28093,43613
counted-contextual,independent,0,1,4,eligible,70961,8245,62049,58361,80968
counted-contextual,independent,0,1,4,mixed,53920,8245,52596,52481,53188
counted-contextual,independent,0,16,1,eligible,32750,10384,24799,20119,40550
counted-contextual,independent,0,16,1,mixed,34766,10729,40681,40181,41284
counted-contextual,independent,0,16,4,eligible,89906,10384,65063,57221,93597
counted-contextual,independent,0,16,4,mixed,82852,12787,94783,92423,225967
counted-contextual,independent,3,0,1,eligible,175056,39900,114210,98853,142454
counted-contextual,independent,3,0,1,mixed,183297,39900,123103,94876,123555
counted-contextual,independent,3,0,4,eligible,628542,39900,282270,269070,433097
counted-contextual,independent,3,0,4,mixed,439607,39900,344628,215677,367528
counted-contextual,independent,3,1,1,eligible,175574,40049,126985,79172,135245
counted-contextual,independent,3,1,1,mixed,183746,40049,141999,132901,167914
counted-contextual,independent,3,1,4,eligible,629837,40049,352348,255822,452701
counted-contextual,independent,3,1,4,mixed,437201,40049,343170,226580,377800
counted-contextual,independent,3,16,1,eligible,183344,42284,149467,96773,175865
counted-contextual,independent,3,16,1,mixed,191153,42284,158079,156705,222180
counted-contextual,independent,3,16,4,eligible,649262,42284,403009,302026,472091
counted-contextual,independent,3,16,4,mixed,502865,42284,347217,296344,508677
counted-contextual,early,0,0,1,eligible,24526,8096,24328,13821,25964
counted-contextual,early,0,0,1,mixed,24526,8096,24551,16776,27137
counted-contextual,early,0,0,4,eligible,68962,8096,54945,32983,61992
counted-contextual,early,0,0,4,mixed,58842,8096,51368,50280,53780
counted-contextual,early,0,1,1,eligible,25524,8341,26034,16287,32597
counted-contextual,early,0,1,1,mixed,25839,8341,27164,19683,29392
counted-contextual,early,0,1,4,eligible,71457,8341,69691,33673,76126
counted-contextual,early,0,1,4,mixed,54464,8341,57219,31857,87823
counted-contextual,early,0,16,1,eligible,33102,10480,36390,25653,46724
counted-contextual,early,0,16,1,mixed,35166,10825,42542,35912,58391
counted-contextual,early,0,16,4,eligible,90402,10480,85564,82469,101017
counted-contextual,early,0,16,4,mixed,83396,12883,109279,78076,126884
counted-contextual,early,3,0,1,eligible,68094,19564,54558,32657,66055
counted-contextual,early,3,0,1,mixed,70013,19564,56947,55853,64665
counted-contextual,early,3,0,4,eligible,234093,19564,173699,162331,225526
counted-contextual,early,3,0,4,mixed,201206,19564,155581,108409,171121
counted-contextual,early,3,1,1,eligible,69092,19809,62083,60224,75199
counted-contextual,early,3,1,1,mixed,70942,19809,63040,44122,64903
counted-contextual,early,3,1,4,eligible,236588,19809,167133,122570,198422
counted-contextual,early,3,1,4,mixed,177598,19809,142420,83005,157709
counted-contextual,early,3,16,1,eligible,76670,21948,72483,65485,86361
counted-contextual,early,3,16,1,mixed,79501,21948,73655,43059,80861
counted-contextual,early,3,16,4,eligible,255533,21948,189213,121661,235153
counted-contextual,early,3,16,4,mixed,221326,23213,161819,138871,223105
counted-demand,common,0,0,1,eligible,25710,7816,24643,13917,25736
counted-demand,common,0,0,1,mixed,27326,7816,25864,18366,40007
counted-demand,common,0,0,4,eligible,75690,7816,67256,57646,159524
counted-demand,common,0,0,4,mixed,68386,7816,52715,34404,53917
counted-demand,common,0,1,1,eligible,26708,8061,19342,16201,38827
counted-demand,common,0,1,1,mixed,28639,8061,30232,17861,30869
counted-demand,common,0,1,4,eligible,78185,8061,77437,40444,96065
counted-demand,common,0,1,4,mixed,63768,8061,57717,33266,66652
counted-demand,common,0,16,1,eligible,34286,10200,38587,36717,43778
counted-demand,common,0,16,1,mixed,37966,11063,41232,32169,48310
counted-demand,common,0,16,4,eligible,97130,10200,102201,100749,111209
counted-demand,common,0,16,4,mixed,92700,12811,88741,87310,101227
counted-demand,common,3,0,1,eligible,109988,30278,81558,48061,98360
counted-demand,common,3,0,1,mixed,113524,30278,63121,48950,118350
counted-demand,common,3,0,4,eligible,403346,30278,249274,208318,293344
counted-demand,common,3,0,4,mixed,369988,30278,257805,153381,290754
counted-demand,common,3,1,1,eligible,110986,30523,81304,80557,83109
counted-demand,common,3,1,1,mixed,114453,30523,82562,63389,83274
counted-demand,common,3,1,4,eligible,405841,30523,192346,156379,309107
counted-demand,common,3,1,4,mixed,320868,30523,227288,225982,305852
counted-demand,common,3,16,1,eligible,118564,32662,90755,89389,95822
counted-demand,common,3,16,1,mixed,123012,32662,61763,56220,100891
counted-demand,common,3,16,4,eligible,424786,32662,298887,195860,315913
counted-demand,common,3,16,4,mixed,387396,33543,329523,253080,398743
counted-demand,independent,0,0,1,eligible,25358,7720,24594,13321,24844
counted-demand,independent,0,0,1,mixed,26926,7720,26023,25179,26796
counted-demand,independent,0,0,4,eligible,75194,7720,56769,30726,62020
counted-demand,independent,0,0,4,mixed,67842,7720,54296,29750,71600
counted-demand,independent,0,1,1,eligible,26356,7965,27490,15500,28637
counted-demand,independent,0,1,1,mixed,28239,7965,31093,18119,36064
counted-demand,independent,0,1,4,eligible,77689,7965,71077,39921,105094
counted-demand,independent,0,1,4,mixed,63224,7965,54168,31220,56634
counted-demand,independent,0,16,1,eligible,33934,10104,35009,33049,46828
counted-demand,independent,0,16,1,mixed,37566,10967,40117,27941,44888
counted-demand,independent,0,16,4,eligible,96634,10104,96322,60611,111362
counted-demand,independent,0,16,4,mixed,92156,12715,89315,87188,120474
counted-demand,independent,3,0,1,eligible,173488,35676,76018,67706,114808
