kind	family	mode	repetitions	total_ns	preparation_ns	setup_ns	execution_ns	disposal_ns	first_ns_sum	raw	min_ns	max_ns	memory_exact_replay	requested_bytes	allocation_calls	peak_live
time	duplicate	global-index	5	3257856	7731	317679	2857056	77041	2450260	164	2846689	4085822	NA	NA	NA	NA
time	duplicate	global-scan	5	1885545	6647	264320	1530218	88135	1194590	164	1741175	2441020	NA	NA	NA	NA
time	duplicate	graph	5	4726719	1226	28532	4610989	89825	4601451	164	4494686	5252212	NA	NA	NA	NA
time	duplicate	words	5	271790	30407	7146	170709	64565	8621	164	263224	306932	NA	NA	NA	NA
time	nested	active-index	5	1360698	6905	184801	1123955	45156	761702	136	1230515	1686200	NA	NA	NA	NA
time	nested	conditional	5	2844369	6586	17057	2757361	62424	1051718	136	2659232	3654712	NA	NA	NA	NA
time	nested	global-index	5	2095992	7410	184836	1865976	41635	1521070	136	1937549	2218008	NA	NA	NA	NA
time	nested	global-scan	5	1324063	6176	161335	1116992	38838	875799	136	1310878	1536967	NA	NA	NA	NA
time	nested	graph	5	2877377	1184	11944	2820358	43891	2812323	136	2704256	3655680	NA	NA	NA	NA
time	nested	words	5	207997	23712	4977	142798	32667	5084	136	196377	253626	NA	NA	NA	NA
time	plain	conditional	5	1072693	2794	54282	995661	19956	993621	16	1004126	1249937	NA	NA	NA	NA
time	plain	global-index	5	364132	3335	79898	273967	4240	273029	16	318735	413229	NA	NA	NA	NA
time	plain	global-scan	5	263340	3140	75887	176114	5828	175120	16	219619	321859	NA	NA	NA	NA
time	plain	graph	5	412625	706	36065	361066	14788	356231	16	367378	495091	NA	NA	NA	NA
time	shared	conditional	5	4044744	11477	99237	3867064	66206	1915296	256	3509549	4567985	NA	NA	NA	NA
time	shared	global-index	5	6615857	4419	409892	6190434	39448	5832689	256	6227926	8132107	NA	NA	NA	NA
time	shared	global-scan	5	3427112	3412	281686	3112235	36462	2808197	256	3313458	3725684	NA	NA	NA	NA
time	shared	graph	5	2162670	848	65763	2034115	55449	2022061	256	1803679	3210165	NA	NA	NA	NA
