
running 1 test
test registered_work_attribution ... WORK_HEADER,policy,family,bits,depth,work_first,resource,answers,graph_boxes,demand_boxes,demand_work_results
WORK,StaticBirth,opaque,3,32,false,false,8,32,32,33
WORK,CurrentContext,opaque,3,32,false,true,8,32,249,257
WORK,StaticBirth,opaque,3,32,false,true,8,32,32,33
WORK,CurrentContext,opaque,3,32,true,false,8,32,249,257
WORK,StaticBirth,opaque,3,32,true,false,8,32,32,33
WORK,CurrentContext,opaque,3,32,true,true,8,32,249,257
WORK,StaticBirth,opaque,3,32,true,true,8,32,32,33
WORK,CurrentContext,discriminate,1,0,false,false,2,0,0,2
WORK,StaticBirth,discriminate,1,0,false,false,2,0,0,2
WORK,CurrentContext,discriminate,1,0,false,true,2,0,0,2
WORK,StaticBirth,discriminate,1,0,false,true,2,0,0,2
WORK,CurrentContext,discriminate,1,0,true,false,2,0,0,2
WORK,StaticBirth,discriminate,1,0,true,false,2,0,0,2
WORK,CurrentContext,discriminate,1,0,true,true,2,0,0,2
WORK,StaticBirth,discriminate,1,0,true,true,2,0,0,2
WORK,CurrentContext,discriminate,1,1,false,false,2,2,2,4
WORK,StaticBirth,discriminate,1,1,false,false,2,2,2,4
WORK,CurrentContext,discriminate,1,1,false,true,2,2,2,4
WORK,StaticBirth,discriminate,1,1,false,true,2,2,2,4
WORK,CurrentContext,discriminate,1,1,true,false,2,2,2,4
WORK,StaticBirth,discriminate,1,1,true,false,2,2,2,4
WORK,CurrentContext,discriminate,1,1,true,true,2,2,2,4
WORK,StaticBirth,discriminate,1,1,true,true,2,2,2,4
WORK,CurrentContext,discriminate,1,8,false,false,2,16,16,18
WORK,StaticBirth,discriminate,1,8,false,false,2,16,16,18
WORK,CurrentContext,discriminate,1,8,false,true,2,16,16,18
WORK,StaticBirth,discriminate,1,8,false,true,2,16,16,18
WORK,CurrentContext,discriminate,1,8,true,false,2,16,16,18
WORK,StaticBirth,discriminate,1,8,true,false,2,16,16,18
WORK,CurrentContext,discriminate,1,8,true,true,2,16,16,18
WORK,StaticBirth,discriminate,1,8,true,true,2,16,16,18
WORK,CurrentContext,discriminate,1,32,false,false,2,64,64,66
WORK,StaticBirth,discriminate,1,32,false,false,2,64,64,66
WORK,CurrentContext,discriminate,1,32,false,true,2,64,64,66
WORK,StaticBirth,discriminate,1,32,false,true,2,64,64,66
WORK,CurrentContext,discriminate,1,32,true,false,2,64,64,66
WORK,StaticBirth,discriminate,1,32,true,false,2,64,64,66
WORK,CurrentContext,discriminate,1,32,true,true,2,64,64,66
WORK,StaticBirth,discriminate,1,32,true,true,2,64,64,66
WORK,CurrentContext,discriminate,3,0,false,false,8,0,0,8
WORK,StaticBirth,discriminate,3,0,false,false,8,0,0,8
WORK,CurrentContext,discriminate,3,0,false,true,8,0,0,8
WORK,StaticBirth,discriminate,3,0,false,true,8,0,0,8
WORK,CurrentContext,discriminate,3,0,true,false,8,0,0,8
WORK,StaticBirth,discriminate,3,0,true,false,8,0,0,8
WORK,CurrentContext,discriminate,3,0,true,true,8,0,0,8
WORK,StaticBirth,discriminate,3,0,true,true,8,0,0,8
WORK,CurrentContext,discriminate,3,1,false,false,8,8,8,16
WORK,StaticBirth,discriminate,3,1,false,false,8,8,8,16
WORK,CurrentContext,discriminate,3,1,false,true,8,8,8,16
WORK,StaticBirth,discriminate,3,1,false,true,8,8,8,16
WORK,CurrentContext,discriminate,3,1,true,false,8,8,8,16
WORK,StaticBirth,discriminate,3,1,true,false,8,8,8,16
WORK,CurrentContext,discriminate,3,1,true,true,8,8,8,16
WORK,StaticBirth,discriminate,3,1,true,true,8,8,8,16
WORK,CurrentContext,discriminate,3,8,false,false,8,64,64,72
WORK,StaticBirth,discriminate,3,8,false,false,8,64,64,72
WORK,CurrentContext,discriminate,3,8,false,true,8,64,64,72
WORK,StaticBirth,discriminate,3,8,false,true,8,64,64,72
WORK,CurrentContext,discriminate,3,8,true,false,8,64,64,72
WORK,StaticBirth,discriminate,3,8,true,false,8,64,64,72
WORK,CurrentContext,discriminate,3,8,true,true,8,64,64,72
WORK,StaticBirth,discriminate,3,8,true,true,8,64,64,72
WORK,CurrentContext,discriminate,3,32,false,false,8,256,256,264
WORK,StaticBirth,discriminate,3,32,false,false,8,256,256,264
