# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 695  of event 'cpu_core/cycles/u'
# Event count (approx.): 2488438872
#
# Children      Self  Symbol                                                                                                                                                                                                                                                                                                                                          IPC   [IPC Coverage]
# ........  ........  ..............................................................................................................................................................................................................................................................................................................................................  ....................
#
     2.48%     0.46%  [.] _RNvNtCs4NRVxsYgnAr_4core3fmt5write                                                                                                                                                                                                                                                                                                         -      -
     2.08%     2.08%  [.] _RNvXs9_NtCsgHgHTXaw02S_17chr_direct_choice6demandNtB5_4NodeNtNtCs4NRVxsYgnAr_4core5clone5Clone5clone                                                                                                                                                                                                                                       -      -
     2.05%     0.85%  [.] _RNvXNtNtNtCscdodAO9FK5_5alloc11collections5btree3mapINtB2_8BTreeMapNtCs5PyYPRahy7j_10chr_syntax3VarNtNtB4_7set_val9SetValZSTENtNtNtCs4NRVxsYgnAr_4core3ops4drop4Drop4dropCsgHgHTXaw02S_17chr_direct_choice                                                                                                                                 -      -
     1.72%     0.00%  [.] _RNvNtNtCs8IslNjYkvvZ_20continuing_lifecycle4gate6oracle8same_raw                                                                                                                                                                                                                                                                           -      -
     1.52%     0.00%  [.] _RINvNtCs4NRVxsYgnAr_4core3ptr9drop_glueNtNtCs8IslNjYkvvZ_20continuing_lifecycle4gate8DeliveryEBF_                                                                                                                                                                                                                                          -      -
     1.44%     0.15%  [.] _RINvNtCs4NRVxsYgnAr_4core3ptr9drop_glueNtCs5PyYPRahy7j_10chr_syntax6AnswerECs8IslNjYkvvZ_20continuing_lifecycle                                                                                                                                                                                                                            -      -
     1.37%     0.92%  [.] _RNvXNtNtNtCscdodAO9FK5_5alloc11collections5btree3mapINtB2_8BTreeMapjbENtNtNtCs4NRVxsYgnAr_4core3ops4drop4Drop4dropCs8IslNjYkvvZ_20continuing_lifecycle                                                                                                                                                                                     -      -
     1.14%     1.14%  [.] 0x00000000000a1806                                                                                                                                                                                                                                                                                                                          -      -


#
# (Cannot load tips.txt file, please install perf!)
#
