kind,rep,family,mode,reuse,total_ns,execution_ns,setup_ns,preparation_ns,disposal_ns,first_prepared_owner_ns,cancel_ns,requested_bytes,peak_increment_bytes
time,0,spine,checkpoint1,8,2022920,1961033,14224,9066,38597,47477,41709,,
time,0,compatible-small,indexed,1,79098,62977,11742,2338,2041,76947,70335,,
time,0,late,indexed,8,5843347,5527802,274485,24464,16596,757101,693903,,
time,0,small,checkpoint4,1,381743,365061,2243,10261,4178,362645,363237,,
time,0,retained,indexed-cow,1,759378,648448,55142,26139,29649,539651,594458,,
time,0,small,replay,8,23061259,23015452,12201,10364,23242,2715053,2713989,,
time,0,linear,indexed,8,1079628,748263,295501,18709,17155,127465,105534,,
time,0,early,checkpoint1,8,4715372,4576017,112479,10441,16435,623581,612891,,
time,0,late,trail,8,29725606,29477415,184059,18195,45937,4078922,3839754,,
time,0,early,copy,1,566593,543805,9722,9521,3545,562938,587176,,
time,0,spine,checkpoint4,1,441715,426042,2192,9575,3906,83262,69270,,
time,0,late,checkpoint1,1,1782706,1752342,10327,16040,3997,1778587,1769780,,
time,0,retained,trail,8,6861799,5915341,471474,23059,451925,594052,643782,,
time,0,late,replay,8,279968940,279779891,154757,11665,22627,36563751,34443448,,
time,0,compatible-large,copy,8,5443630,4558525,868156,386,16563,624026,660202,,
time,0,mutation,checkpoint4,1,23432150,23320164,21643,24612,65731,23187337,23658076,,
time,0,linear,checkpoint1,1,91697,70323,9286,8885,3203,88394,83663,,
time,0,compatible-large,replay,8,5474026,4539418,915639,363,18606,635851,681647,,
time,0,compatible-large,copy,1,637805,540101,95102,379,2223,635449,638512,,
time,0,work,trail,1,9789748,9588873,4630,188699,7546,9121722,9527099,,
time,0,compatible-alias,trail,1,104688,90854,5898,4379,3557,101010,108723,,
time,0,early,indexed,1,470259,418959,26347,21187,3766,466359,446968,,
time,0,mutation,trail,8,475271667,473979924,412768,16058,862917,56641387,55116165,,
time,0,mutation,copy,8,52801311,52051408,456342,22943,270618,6163385,6640740,,
time,0,spine,copy,8,1277351,1237551,10027,8547,21226,38940,26619,,
time,0,linear,copy,8,695813,567002,104954,8945,14912,102429,79313,,
time,0,retained,checkpoint16,1,2671697,2607328,21447,11355,31567,2519426,2657947,,
time,0,spine,checkpoint16,8,10038274,9986468,11361,8352,32093,169868,160111,,
time,0,deep,checkpoint1,1,2313359,2249571,1804,6135,55849,2110964,2255126,,
time,0,deep,replay,8,683111473,682755445,33995,61496,260537,79579191,79966028,,
time,0,small,replay,1,3030518,3012120,2301,11350,4747,2824341,2850273,,
time,0,mutation,indexed-cow,8,21323326,20184155,831476,51692,256003,2393560,2499621,,
time,0,compatible-small,indexed,8,545960,447672,78294,3219,16775,73925,63767,,
