kind,rep,family,mode,reuse,total_ns,execution_ns,setup_ns,preparation_ns,disposal_ns,first_cold_ns,cancel_ns,requested_bytes,peak_increment_bytes
time,0,late,checkpoint16,1,17577007,17550227,11002,11875,3903,17572966,17368890,,
time,0,retained,replay,8,50836696,50329383,321102,9415,176796,5725038,5873145,,
time,0,mutation,checkpoint4,8,1185172327,1184416704,414512,22797,318314,145325344,175560049,,
time,0,spine,checkpoint16,8,12066590,12004242,18259,11749,32340,230620,313768,,
time,0,early,copy,8,14074961,13891068,152036,9535,22322,1650534,1638877,,
time,0,spine,checkpoint1,8,1630203,1583569,14319,8900,23415,54279,34512,,
time,0,late,checkpoint16,8,188808426,188583183,186842,12555,25846,22348482,21694981,,
time,0,early,indexed,1,613907,553137,27564,28642,4564,609181,505229,,
time,0,late,indexed-cow,8,5823899,5509641,264460,26819,22979,774831,744432,,
time,0,late,copy,1,2198794,2172073,10483,12272,3966,2194703,2345207,,
time,0,spine,checkpoint1,1,203830,187911,2834,9261,3824,45699,34694,,
time,0,small,checkpoint16,1,1167657,1151255,2279,10231,3892,1139908,1126723,,
time,0,spine,indexed-cow,1,235482,194985,8668,27720,4109,86164,61212,,
time,0,spine,replay,8,43331430,43278341,18515,10740,23834,206148,202652,,
time,0,work,indexed,8,8196122,7857769,265062,48023,25268,981356,982920,,
time,0,deep,checkpoint1,1,2181811,2134215,2022,7577,37997,2009317,2226133,,
time,0,linear,indexed,1,126284,76782,28041,17885,3576,122599,158718,,
time,0,small,replay,8,25282366,25235957,13972,8736,23701,2839266,2973776,,
time,0,mutation,checkpoint4,1,145227141,145120034,20594,17068,69445,144949556,142548407,,
time,0,deep,replay,1,84599866,84506785,3500,60014,29567,79819641,77060808,,
time,0,small,trail,1,348088,336700,2171,5204,4013,300167,321014,,
time,0,deep,checkpoint4,1,4961546,4930781,1854,5550,23361,4704832,4647894,,
time,0,work,trail,1,8897492,8747249,3027,141052,6164,8331848,9457351,,
time,0,mutation,indexed,8,19553764,18593079,712041,41985,206659,2155440,2250715,,
time,0,linear,copy,1,86447,66167,8842,8480,2958,83390,80500,,
time,0,small,indexed,8,1638196,1460221,130911,28809,18255,216482,189579,,
time,0,late,checkpoint1,8,23515994,23365760,125175,9264,15795,2889899,2868627,,
time,0,deep,indexed-cow,8,23295039,20994949,639044,48291,1612755,2720674,4297255,,
time,0,work,indexed-cow,8,7419858,7152665,206887,38259,22047,896540,929852,,
time,0,late,trail,8,38126629,37889228,175479,17294,44628,4779328,5063256,,
time,0,mutation,trail,8,825102508,824070065,275496,15846,741101,98422310,99415205,,
time,0,work,checkpoint16,1,18318842,18298137,2642,12938,5125,18270620,18053626,,
time,0,spine,checkpoint4,1,402734,388101,2141,9053,3439,67251,55396,,
time,0,small,copy,8,1051825,1012508,8330,7800,23187,136973,118621,,
time,0,work,checkpoint4,1,5712328,5689567,5680,12549,4532,5680769,5865871,,
time,0,early,trail,1,1275865,1249750,8960,11084,6071,1269658,1323531,,
time,0,linear,copy,8,623494,505718,96429,8031,13316,80938,83029,,
time,0,mutation,copy,8,442384631,441630406,464231,23015,266979,55247719,55771214,,
time,0,late,checkpoint4,8,49431223,49268278,135516,9595,17834,6195786,6601784,,
time,0,work,checkpoint16,8,153681716,153628275,16334,14423,22684,18510205,19213979,,
time,0,deep,checkpoint16,8,112359948,112085551,27026,60119,187252,13649276,13608382,,
time,0,late,indexed,1,715694,658387,27108,26091,4108,711453,701109,,
time,0,deep,replay,8,691082017,690710173,38806,56698,276340,77561757,78169756,,
time,0,linear,checkpoint4,1,237479,215716,9689,8913,3161,234188,222768,,
time,0,small,trail,8,2672669,2635003,9714,4940,23012,301567,319426,,
time,0,early,checkpoint16,1,12021446,11995095,11557,10841,3953,12017322,11604413,,
time,0,mutation,checkpoint1,8,499275761,498597846,411454,23814,242647,62279430,60892211,,
time,0,spine,trail,8,2209597,2147567,11757,26632,23641,72977,46494,,
time,0,retained,checkpoint16,1,2760173,2703014,20802,10830,25527,2609323,2634683,,
time,0,work,indexed-cow,1,969596,917517,6093,41215,4771,937336,1047773,,
time,0,deep,copy,8,15298720,15019969,15655,65387,197709,1794827,1769655,,
time,0,work,replay,8,2446691009,2446623696,25223,14627,27463,300418004,299837449,,
time,0,work,replay,1,305966029,305940451,4181,15889,5508,302877274,308154275,,
time,0,late,checkpoint1,1,2885684,2860904,10057,10999,3724,2881851,2961278,,
time,0,small,checkpoint16,8,8595267,8558646,8717,8295,19609,1044622,1051843,,
time,0,early,trail,8,11007768,10828231,128176,10253,41108,1364698,1376171,,
time,0,retained,checkpoint1,8,6733031,6187757,353266,10074,181934,602444,1002323,,
time,0,spine,indexed,8,1817856,1662580,83995,23030,48251,88165,58822,,
time,0,deep,copy,1,1869123,1772138,7698,63465,25822,1746464,1748902,,
time,0,linear,checkpoint1,8,898470,778137,99069,7769,13495,114021,109421,,
time,0,linear,indexed,8,784878,531799,223185,16338,13556,112300,105455,,
time,0,small,indexed-cow,8,1529577,1354826,124891,24993,24867,176187,178682,,
time,0,work,checkpoint1,1,2261739,2243698,2012,11849,4180,2247738,2245720,,
time,0,early,replay,8,1550665324,1550480842,150772,10327,23383,193101887,190473586,,
time,0,small,checkpoint1,8,1339928,1304945,8402,8143,18438,165575,161752,,
time,0,late,trail,1,4702111,4666917,10909,17100,7185,4694785,4623757,,
time,0,deep,trail,1,4538301,4424894,1843,6726,104838,3658148,4167341,,
time,0,retained,checkpoint4,8,10236251,9703861,334935,10029,187426,1090942,1388873,,
time,0,small,copy,1,155480,140606,2228,9132,3514,141708,125672,,
time,0,deep,checkpoint1,8,17537822,17249447,15068,62615,210692,2023574,2147753,,
time,0,early,indexed,8,3443361,3176964,230955,20491,14951,441493,428264,,
time,0,work,copy,8,17899079,17854356,10785,11885,22053,2131925,2209189,,
time,0,work,checkpoint1,8,18853746,18817153,10084,5519,20990,2366866,2396600,,
time,0,work,checkpoint4,8,46912549,46876744,10073,5700,20032,5895292,5829461,,
time,0,spine,trail,1,300257,267575,2443,26196,4043,71585,42961,,
time,0,mutation,indexed,1,2428944,2314940,46407,40424,27173,2149975,2293957,,
time,0,work,indexed,1,943276,886228,5905,46619,4524,907325,958122,,
time,0,deep,trail,8,40617151,39784467,44676,9866,778142,3737885,4022032,,
