stage	family	size	depth	variant	lifecycle_ns	lifecycle_ns_min	lifecycle_ns_max	prepare_ns	prepare_ns_min	prepare_ns_max	prepared_drop_ns	prepared_drop_ns_min	prepared_drop_ns_max	harness_ns	harness_ns_min	harness_ns_max	first_query_ns	first_query_ns_min	first_query_ns_max	reused_query_ns	reused_query_ns_min	reused_query_ns_max	setup_ns	setup_ns_min	setup_ns_max	execution_ns	execution_ns_min	execution_ns_max	observe_ns	observe_ns_min	observe_ns_max	engine_drop_ns	engine_drop_ns_min	engine_drop_ns_max	answer_drop_ns	answer_drop_ns_min	answer_drop_ns_max	work	setup_allocation_calls	setup_requested_bytes	execution_allocation_calls	execution_requested_bytes	observe_allocation_calls	observe_requested_bytes	engine_drop_allocation_calls	engine_drop_requested_bytes	answer_drop_allocation_calls	answer_drop_requested_bytes	query_peak_live_bytes	post_answer_live_bytes	prepared_released_bytes
after	nested	64	1	integrated	3420545	3258968	3534896	9176	6252	10122	1227	909	4888	591982	555607	681488	897340	836228	969504	830363.0	803866.6666666666	851590.0	167315.75	151605.25	176551.5	612619.0	587040.75	629976.25	21044.75	19686.5	21400.5	29186.75	28533.25	30180.0	22579.5	20781.25	25497.25	"{""activations"": 257, ""applications"": 129, ""candidate_visits"": 193, ""descriptor_repairs"": 74, ""equality_steps"": 2053, ""index_migrations"": 0, ""indexed_lookups"": 128, ""speculative_applications"": 128, ""steps"": 2385}"	2801	278408	6834	517978	775	35318	0	0	0	0	337917	4754	2424
after	nested	64	8	generated-global-scan	2312758	2152224	2342903	18397	15525	29336	944	823	1063	1490938	1424734	1512996	601603	519332	615299	560897.6666666666	536293.6666666666	570340.0	111531.75	97312.5	124301.75	351781.0	340728.5	364972.75	68545.0	66063.75	71404.75	13277.5	11934.75	13882.0	18238.5	17870.5	19759.5	"{""activation_pushes"": 0, ""applications"": 129, ""binding_slot_copies"": 4804, ""candidate_visits"": 2273, ""dependency_visits"": 0, ""dereferences"": 192, ""generic_template_visits"": 0, ""history_checks"": 2209, ""index_bucket_entries"": 0, ""index_inserts"": 0, ""index_lookups"": 0, ""index_removes"": 0, ""index_repairs"": 0, ""key_normalization_allocations"": 0, ""key_normalization_requests"": 0, ""key_template_visits"": 0, ""key_visits"": 0, ""map_allocations"": 306, ""map_visits"": 1248, ""pairs"": 129, ""pool_entries"": 8321, ""structural_tests"": 4610, ""term_requests"": 770}"	1942	107591	9678	387304	3458	95222	0	0	0	0	183819	4919	2578
after	nested	64	8	generated-indexed	3394619	3240790	3529329	26660	17136	32814	1312	1107	1397	1576019	1445002	1587511	831344	772268	862886	840736.0	809846.0	881747.0	107942.75	99898.5	118195.25	606616.0	593793.0	648465.0	79048.5	71809.0	91262.0	12756.5	11465.25	15468.5	18696.5	18397.75	21103.25	"{""activation_pushes"": 321, ""applications"": 129, ""binding_slot_copies"": 1156, ""candidate_visits"": 449, ""dependency_visits"": 1738, ""dereferences"": 449, ""generic_template_visits"": 0, ""history_checks"": 193, ""index_bucket_entries"": 128, ""index_inserts"": 385, ""index_lookups"": 256, ""index_removes"": 257, ""index_repairs"": 386, ""key_normalization_allocations"": 1, ""key_normalization_requests"": 2113, ""key_template_visits"": 320, ""key_visits"": 2243, ""map_allocations"": 306, ""map_visits"": 2136, ""pairs"": 193, ""pool_entries"": 0, ""structural_tests"": 1026, ""term_requests"": 2883}"	1942	107591	14397	475432	3458	95222	0	0	0	0	215673	4915	2578
after	nested	64	8	generated-scan	3298755	3172052	3396125	24332	18418	28580	1191	829	1570	1479586	1430175	1537115	793118	772727	840044	817701.3333333334	793359.3333333334	857745.3333333334	111244.5	101696.25	113096.75	602568.25	578030.25	634180.5	71657.0	68371.5	72575.0	11686.0	11191.75	12519.5	19593.0	18819.25	20214.75	"{""activation_pushes"": 321, ""applications"": 129, ""binding_slot_copies"": 9220, ""candidate_visits"": 4481, ""dependency_visits"": 1738, ""dereferences"": 320, ""generic_template_visits"": 0, ""history_checks"": 193, ""index_bucket_entries"": 0, ""index_inserts"": 0, ""index_lookups"": 0, ""index_removes"": 0, ""index_repairs"": 0, ""key_normalization_allocations"": 0, ""key_normalization_requests"": 0, ""key_template_visits"": 0, ""key_visits"": 0, ""map_allocations"": 306, ""map_visits"": 1692, ""pairs"": 4225, ""pool_entries"": 6176, ""structural_tests"": 5058, ""term_requests"": 770}"	1942	107591	18013	734672	3458	95222	0	0	0	0	190108	4912	2578
after	nested	64	8	generic-indexed	3329210	3149605	3454861	18420	13753	21122	1010	812	2006	1573612	1466001	1632360	805160	788202	908831	826827.0	782122.6666666666	842712.6666666666	110078.0	104424.75	135994.0	612448.5	569181.75	620053.5	74150.25	70918.5	78274.75	13575.75	11129.75	14416.5	19831.25	18802.0	21554.0	"{""activation_pushes"": 321, ""applications"": 129, ""binding_slot_copies"": 1156, ""candidate_visits"": 449, ""dependency_visits"": 1738, ""dereferences"": 449, ""generic_template_visits"": 1413, ""history_checks"": 193, ""index_bucket_entries"": 128, ""index_inserts"": 385, ""index_lookups"": 256, ""index_removes"": 257, ""index_repairs"": 386, ""key_normalization_allocations"": 1, ""key_normalization_requests"": 2113, ""key_template_visits"": 320, ""key_visits"": 2243, ""map_allocations"": 306, ""map_visits"": 2136, ""pairs"": 193, ""pool_entries"": 0, ""structural_tests"": 1026, ""term_requests"": 2883}"	1942	107591	14397	475432	3458	95222	0	0	0	0	215671	4913	2578
after	nested	64	8	integrated	3912698	3789314	5993147	8420	5850	10810	1365	931	1844	1515763	1423943	5526761	973006	966568	999697	974065.0	938440.0	1661577.0	221988.75	214079.5	226381.0	622253.0	604299.25	627752.0	80506.75	77634.0	590444.0	30225.5	28744.5	34430.25	19659.0	18803.75	20650.5	"{""activations"": 257, ""applications"": 129, ""candidate_visits"": 193, ""descriptor_repairs"": 74, ""equality_steps"": 2053, ""index_migrations"": 0, ""indexed_lookups"": 128, ""speculative_applications"": 128, ""steps"": 2385}"	4188	288414	6834	517978	3463	101174	0	0	0	0	368800	4754	2424
after	repair	64	1	integrated	802271	766268	816339	7664	6675	11508	1155	1045	8617	558892	539471	586505	215462	207543	260763	183668.33333333334	176060.66666666666	197354.0	108349.25	107681.25	114071.0	44353.75	41703.0	46527.75	24550.5	23856.75	27358.0	10689.25	9719.25	10941.75	6825.5	6094.25	6991.5	"{""activations"": 193, ""applications"": 1, ""candidate_visits"": 65, ""descriptor_repairs"": 0, ""equality_steps"": 1, ""index_migrations"": 0, ""indexed_lookups"": 64, ""speculative_applications"": 0, ""steps"": 195}"	1815	175116	1322	78544	839	35318	0	0	0	0	160550	4705	2375
before	batch	8	1	integrated	291066	260985	353934	10306	8927	10681	1164	735	1268	88428	81039	94967	89107	78254	109297	63435.666666666664	57689.666666666664	82486.33333333333	21077.75	18854.0	35223.0	39973.0	35794.5	41285.5	4120.75	3932.0	4397.0	3892.25	3560.0	3986.5	674.5	635.5	687.75	"{""activations"": 33, ""applications"": 17, ""candidate_visits"": 25, ""descriptor_repairs"": 8, ""equality_steps"": 9, ""index_migrations"": 7, ""indexed_lookups"": 16, ""speculative_applications"": 14, ""steps"": 51}"	319	32398	735	37680	100	4240	0	0	0	0	42939	4702	2375
before	batch	8	8	integrated	395206	347683	427706	10894	5823	10991	1206	710	1296	225478	190103	243234	116115	94095	121844	89535.0	82351.66666666667	98042.33333333333	31739.0	28378.25	33984.75	43951.25	38624.25	46934.5	12709.5	11793.75	13894.25	4599.0	4029.5	6214.0	2552.25	2400.25	2772.75	"{""activations"": 33, ""applications"": 17, ""candidate_visits"": 25, ""descriptor_repairs"": 8, ""equality_steps"": 9, ""index_migrations"": 7, ""indexed_lookups"": 16, ""speculative_applications"": 14, ""steps"": 51}"	530	38260	735	37680	436	12472	0	0	0	0	56317	4702	2375
before	batch	64	1	integrated	1899657	1861257	2041557	10516	5375	11199	1183	1151	1228	625575	609199	667834	519706	504888	563098	461033.3333333333	445120.6666666667	490623.0	124290.75	120514.75	127584.0	296635.5	284527.5	332803.0	21307.75	20511.0	22043.0	17805.0	16245.5	18929.0	14316.0	14106.25	14767.5	"{""activations"": 257, ""applications"": 129, ""candidate_visits"": 193, ""descriptor_repairs"": 64, ""equality_steps"": 65, ""index_migrations"": 63, ""indexed_lookups"": 128, ""speculative_applications"": 126, ""steps"": 387}"	2148	233164	5719	417224	775	35318	0	0	0	0	297642	4703	2375
before	batch	64	8	integrated	2346009	2233888	4877631	10809	9855	14498	1365	951	1419	1494951	1415554	3401121	604316	591179	1374670	576506.3333333334	541305.0	1162348.0	166452.25	157605.25	250834.75	301617.25	288936.75	642486.75	74524.0	69964.25	238017.5	17943.5	16074.75	63220.5	19701.0	18225.75	20802.75	"{""activations"": 257, ""applications"": 129, ""candidate_visits"": 193, ""descriptor_repairs"": 64, ""equality_steps"": 65, ""index_migrations"": 63, ""indexed_lookups"": 128, ""speculative_applications"": 126, ""steps"": 387}"	3535	243170	5719	417224	3463	101174	0	0	0	0	367884	4703	2375
before	build	64	1	integrated	894886	844188	943532	7026	6123	10536	1161	820	1418	67030	65195	74830	267664	256326	305056	205237.33333333334	192363.33333333334	222563.33333333334	37816.5	35518.0	40703.0	165682.75	154596.0	173132.75	4937.0	4674.5	5755.75	11939.25	11576.5	13120.25	1551.75	1466.75	1693.0	"{""activations"": 130, ""applications"": 65, ""candidate_visits"": 65, ""descriptor_repairs"": 0, ""equality_steps"": 65, ""index_migrations"": 0, ""indexed_lookups"": 0, ""speculative_applications"": 0, ""steps"": 196}"	623	73351	3249	253325	195	6734	0	0	0	0	176660	4249	1921
before	fanout	64	1	integrated	1406350	1299442	1702031	9598	5972	10649	1266	924	1354	555940	534032	676899	364857	348152	435873	344204.6666666667	314798.0	418537.6666666667	105127.75	95437.5	132849.25	191703.5	180906.0	232728.5	21758.25	20177.5	25382.5	14464.0	13584.5	18391.0	13932.25	12501.25	15734.0	"{""activations"": 257, ""applications"": 129, ""candidate_visits"": 193, ""descriptor_repairs"": 0, ""equality_steps"": 1, ""index_migrations"": 0, ""indexed_lookups"": 128, ""speculative_applications"": 0, ""steps"": 259}"	1686	174472	4560	238960	775	35318	0	0	0	0	217302	4705	2375
before	independent	64	1	integrated	2942141	2845868	3065604	10754	8377	10958	1295	1082	1958	663099	624786	720226	750586	736043	806742	721530.3333333334	698082.3333333334	749509.0	160652.25	147424.75	176436.0	522552.75	510501.75	535288.0	22581.25	20459.25	24275.0	16279.0	15707.5	17096.25	10267.25	9561.25	10717.0	"{""activations"": 320, ""applications"": 192, ""candidate_visits"": 256, ""descriptor_repairs"": 0, ""equality_steps"": 64, ""index_migrations"": 126, ""indexed_lookups"": 128, ""speculative_applications"": 0, ""steps"": 385}"	2681	248050	14848	455928	775	35318	0	0	0	0	259924	4715	2375
before	nested	8	1	integrated	341916	327725	374746	10798	9652	11595	1373	1150	1437	91340	89364	101301	110322	97325	116980	74885.33333333333	70656.0	84127.33333333333	25817.0	25000.25	28216.25	45488.75	45226.25	51140.75	4282.75	4041.5	4821.0	4202.5	3932.0	5818.25	662.5	642.5	749.25	"{""activations"": 33, ""applications"": 17, ""candidate_visits"": 25, ""descriptor_repairs"": 11, ""equality_steps"": 34, ""index_migrations"": 0, ""indexed_lookups"": 16, ""speculative_applications"": 16, ""steps"": 79}"	384	36838	808	41369	100	4240	0	0	0	0	45184	4753	2424
before	nested	8	8	integrated	431310	402502	459278	8605	6894	12641	1179	1067	1229	207558	188039	228398	121086	116454	134115	101603.0	91376.66666666667	105507.33333333333	35672.0	34064.0	38504.75	49550.25	45745.25	53607.0	12320.0	10967.25	13479.5	4593.75	4476.25	5112.0	2525.0	2334.25	3197.75	"{""activations"": 33, ""applications"": 17, ""candidate_visits"": 25, ""descriptor_repairs"": 11, ""equality_steps"": 34, ""index_migrations"": 0, ""indexed_lookups"": 16, ""speculative_applications"": 16, ""steps"": 79}"	596	45300	808	41369	436	12472	0	0	0	0	59458	4753	2424
before	nested	64	1	integrated	3462973	3367873	3502658	11127	9171	12417	1348	1236	1613	697508	569600	715089	914457	875345	954038	841661.3333333334	827373.6666666666	854108.0	157447.0	149194.0	169648.75	630913.25	612803.0	648972.25	19480.75	18180.75	20757.75	32861.0	30510.75	37224.5	15615.75	13613.5	16340.75	"{""activations"": 257, ""applications"": 129, ""candidate_visits"": 193, ""descriptor_repairs"": 74, ""equality_steps"": 2053, ""index_migrations"": 0, ""indexed_lookups"": 128, ""speculative_applications"": 128, ""steps"": 2385}"	2672	277764	7067	537770	775	35318	0	0	0	0	357697	4754	2424
before	nested	64	8	integrated	4074594	3944261	4432668	10372	8757	11787	1332	1122	1638	1504232	1449403	1611154	989371	956559	1083204	1031649.3333333334	985335.6666666666	1140817.3333333333	209091.0	201179.0	221105.5	669961.5	645661.5	709177.75	84013.0	81304.5	115753.75	20117.75	19609.5	21904.5	36824.25	32878.75	38059.25	"{""activations"": 257, ""applications"": 129, ""candidate_visits"": 193, ""descriptor_repairs"": 74, ""equality_steps"": 2053, ""index_migrations"": 0, ""indexed_lookups"": 128, ""speculative_applications"": 128, ""steps"": 2385}"	4059	287770	7067	537770	3463	101174	0	0	0	0	388580	4754	2424
before	repair	64	1	integrated	773227	733608	802745	10428	5249	11262	1096	992	1108	545372	520273	599800	207254	186145	234771	183031.0	180407.33333333334	188014.66666666666	106307.75	101175.0	109473.75	42594.0	40469.5	44819.0	24089.75	23381.25	25720.0	10659.5	10140.0	11067.25	6184.5	5996.0	6574.75	"{""activations"": 193, ""applications"": 1, ""candidate_visits"": 65, ""descriptor_repairs"": 0, ""equality_steps"": 1, ""index_migrations"": 0, ""indexed_lookups"": 64, ""speculative_applications"": 0, ""steps"": 195}"	1686	174472	1322	78544	839	35318	0	0	0	0	160550	4705	2375
