build,mode,family,n,reuse,consumer,requested_bytes,peak_above_start,consumer_retained_bytes,completed_requested_bytes,cancellation_requested_bytes,completed_wall_median_ns,completed_wall_min_ns,completed_wall_max_ns,wall_median_ns,wall_min_ns,wall_max_ns
on,scan,chain,1,1,query,77822,11286,0,24347,53475,53280,33480,56588,143127,95433,152890
on,scan,chain,1,1,prepared,77822,11489,203,24347,53475,51536,45978,64032,148213,131458,170358
on,scan,chain,1,4,query,141020,11286,0,87545,53475,162088,129812,183748,258775,192981,283968
on,scan,chain,1,4,prepared,141020,12098,812,87545,53475,147193,95770,157185,238393,158714,254774
on,scan,chain,3,1,query,155459,19430,0,51291,104168,75997,69789,124521,224315,194709,354872
on,scan,chain,3,1,prepared,155459,19633,203,51291,104168,110381,67668,112349,317984,217183,330068
on,scan,chain,3,4,query,299489,19430,0,195321,104168,333149,245105,488622,487739,364490,731800
on,scan,chain,3,4,prepared,299489,20242,812,195321,104168,436453,220736,516028,651133,327284,717732
on,scan,wide,0,1,query,12405,3100,0,3253,9152,5817,4731,16870,16129,11577,30246
on,scan,wide,0,1,prepared,12405,3251,151,3253,9152,6780,4360,7519,18139,11396,20885
on,scan,wide,0,4,query,21804,3100,0,12652,9152,10823,6611,29514,21381,13594,36055
on,scan,wide,0,4,prepared,21804,3704,604,12652,9152,12671,6609,13583,24561,13864,25490
on,scan,wide,1,1,query,44245,8512,0,16813,27432,25061,24416,33097,72574,70610,93052
on,scan,wide,1,1,prepared,44245,9079,567,16813,27432,27415,24162,38939,78981,70372,101203
on,scan,wide,1,4,query,76372,8512,0,48940,27432,69085,51653,78697,105079,79608,122175
on,scan,wide,1,4,prepared,76372,10780,2268,48940,27432,72882,44520,74522,112393,72760,114620
on,scan,wide,3,1,query,390603,51880,0,197831,192772,221389,155030,240216,413255,285668,444490
on,scan,wide,3,1,prepared,390603,52832,3501,197831,192772,228162,179735,306213,433697,322889,575283
on,scan,wide,3,4,query,824070,51880,0,631298,192772,796092,573915,1000111,982411,706801,1245526
on,scan,wide,3,4,prepared,824070,63335,14004,631298,192772,820983,435474,988334,1019783,546368,1217711
on,scan,choices,0,1,query,16708,5218,0,7278,9430,9825,8471,10192,23155,18822,24014
on,scan,choices,0,1,prepared,16708,5369,151,7278,9430,9563,9331,15046,23022,21940,34820
on,scan,choices,0,4,query,26497,5218,0,17067,9430,18777,13918,24532,29988,22548,40016
on,scan,choices,0,4,prepared,26497,5822,604,17067,9430,23186,20378,28473,36732,32361,44211
on,scan,choices,1,1,query,43428,10431,0,15895,27533,19109,13129,30591,48373,31284,66353
on,scan,choices,1,1,prepared,43428,11181,750,15895,27533,21604,13872,24318,57236,34530,61749
on,scan,choices,1,4,query,79068,10431,0,51535,27533,48756,36981,62250,78651,61560,94880
on,scan,choices,1,4,prepared,79068,13431,3000,51535,27533,40766,35594,87265,63858,54320,137345
on,scan,choices,3,1,query,168144,34907,0,59413,108731,62348,59389,91455,173754,166323,234543
on,scan,choices,3,1,prepared,168144,40339,5432,59413,108731,49843,42114,58985,136557,112415,159527
on,scan,choices,3,4,query,334338,34907,0,225607,108731,226965,142752,404206,330296,207870,578380
on,scan,choices,3,4,prepared,334338,56635,21728,225607,108731,217489,148806,244188,317221,213696,348640
on,scan,mixed_same,0,1,query,18763,5109,0,7279,11484,11474,10801,13186,27854,26143,32044
on,scan,mixed_same,0,1,prepared,18763,5260,151,7279,11484,10783,9619,11557,26985,22980,27762
on,scan,mixed_same,0,4,query,30718,5109,0,19234,11484,23217,21183,26068,37081,30426,39678
on,scan,mixed_same,0,4,prepared,30718,5713,604,19234,11484,28320,21643,34118,44759,34708,53363
on,scan,mixed_same,1,1,query,26987,6534,0,9828,17159,19737,17458,22718,45820,42156,54488
on,scan,mixed_same,1,1,prepared,26987,6793,259,9828,17159,18898,12539,23649,48487,31019,59357
on,scan,mixed_same,1,4,query,46589,6534,0,29430,17159,41140,27267,65498,64197,42960,106464
on,scan,mixed_same,1,4,prepared,46589,7570,1036,29430,17159,45516,30173,58682,72833,46950,94125
on,scan,mixed_same,3,1,query,45027,7899,0,14882,30145,31575,27474,45070,88300,77617,129586
on,scan,mixed_same,3,1,prepared,45027,8374,475,14882,30145,27529,20764,35060,72185,66681,137551
on,scan,mixed_same,3,4,query,79791,7899,0,49646,30145,61131,52726,126136,95566,83573,195244
on,scan,mixed_same,3,4,prepared,79791,9799,1900,49646,30145,87512,67553,109293,131951,105568,165762
on,scan,independent,0,1,query,36209,9770,0,19753,16456,32236,21600,56852,62801,40713,78408
on,scan,independent,0,1,prepared,36209,9921,151,19753,16456,29376,18044,38966,58647,33398,76214
on,scan,independent,0,4,query,53744,9770,0,37288,16456,47972,30698,64363,67473,45029,89592
on,scan,independent,0,4,prepared,53744,10374,604,37288,16456,48627,32658,51615,70937,46989,76446
on,scan,independent,1,1,query,107890,19829,0,43269,64621,74609,59594,86347,176079,149577,210108
on,scan,independent,1,1,prepared,107890,21961,2132,43269,64621,59179,51068,89147,149864,126929,220728
on,scan,independent,1,4,query,195973,20043,0,131352,64621,185951,140388,213284,265744,203850,319948
on,scan,independent,1,4,prepared,195973,28357,8528,131352,64621,215452,124452,277226,311629,182883,398413
on,scan,independent,3,1,query,326600,81893,0,200723,125877,302926,295788,365661,480431,466184,563181
on,scan,independent,3,1,prepared,326600,81893,22016,200723,125877,349483,217730,368911,567647,337116,589832
on,scan,independent,3,4,query,887045,81893,0,761168,125877,830135,716836,1338063,963229,818785,1659131
on,scan,independent,3,4,prepared,887045,147477,88064,761168,125877,799785,733349,1221629,919762,836723,1397714
on,scan,delayed,0,1,query,36609,9962,0,20153,16456,28688,21259,29608,57686,44696,63566
on,scan,delayed,0,1,prepared,36609,10113,151,20153,16456,23875,17764,30661,47636,33308,60342
on,scan,delayed,0,4,query,54144,9962,0,37688,16456,45209,40054,66229,65847,58881,96112
on,scan,delayed,0,4,prepared,54144,10566,604,37688,16456,46012,30709,58100,67012,44365,84341
on,scan,delayed,1,1,query,116534,20245,0,48549,67985,75806,55169,94498,173568,124431,219645
on,scan,delayed,1,1,prepared,116534,22377,2132,48549,67985,81093,47719,118842,191167,110217,219142
on,scan,delayed,1,4,query,219257,20459,0,151272,67985,233201,150229,264518,331152,211130,405032
on,scan,delayed,1,4,prepared,219257,28773,8528,151272,67985,247368,221032,310093,342880,288839,425705
on,scan,delayed,3,1,query,378212,89765,0,255827,122385,425200,395164,530749,636115,568623,758023
on,scan,delayed,3,1,prepared,378212,89765,22016,255827,122385,429202,341705,530354,616805,486782,749548
on,scan,delayed,3,4,query,1102769,89765,0,980384,122385,1482780,911726,1831881,1699480,1006061,2062569
on,scan,delayed,3,4,prepared,1102769,155349,88064,980384,122385,1436809,1028709,2012698,1562751,1140732,2218334
on,resumable,history,0,1,query,7463,2497,0,2708,4755,5041,4701,11897,12817,11745,21068
on,resumable,history,0,1,prepared,7463,2648,151,2708,4755,4836,4003,5284,12752,9194,14585
on,resumable,history,0,4,query,12362,2497,0,7607,4755,10472,8390,12414,19320,14524,19522
on,resumable,history,0,4,prepared,12362,3101,604,7607,4755,10056,8478,15451,19205,16931,28549
on,resumable,history,1,1,query,117178,14533,0,35944,81234,39695,28489,48810,123427,86037,154174
on,resumable,history,1,1,prepared,117178,17976,3443,35944,81234,28771,27241,47994,95587,88293,169818
on,resumable,history,1,4,query,221785,14533,0,140551,81234,102336,98384,148253,156087,149283,231570
on,resumable,history,1,4,prepared,221785,28305,13772,140551,81234,116980,99447,161533,182517,156039,250266
on,resumable,history,3,1,query,275897,35285,0,96568,179329,94198,82295,113789,252423,213075,301019
on,resumable,history,3,1,prepared,275897,45352,10067,96568,179329,116203,91724,127021,311448,247627,331454
on,resumable,history,3,4,query,562376,35285,0,383047,179329,379204,347164,594257,561292,500854,776846
on,resumable,history,3,4,prepared,562376,75553,40268,383047,179329,342326,249745,411155,450439,350712,584762
on,resumable,chain,0,1,query,18561,3884,0,5809,12752,10361,5346,12181,27880,13652,31689
on,resumable,chain,0,1,prepared,18561,4087,203,5809,12752,5811,5437,9742,14436,14040,32353
on,resumable,chain,0,4,query,31734,3884,0,18982,12752,18891,9453,25743,31727,15826,41928
on,resumable,chain,0,4,prepared,31734,4696,812,18982,12752,22272,12428,32119,38214,21180,49409
on,resumable,chain,1,1,query,133245,6572,0,42897,90348,35380,30070,43947,105726,88349,124513
on,resumable,chain,1,1,prepared,133245,6775,203,42897,90348,34460,29617,38576,100092,88745,106158
on,resumable,chain,1,4,query,257682,6572,0,167334,90348,112106,102725,125851,173062,159324,197446
on,resumable,chain,1,4,prepared,257682,7384,812,167334,90348,102191,97645,113500,162779,154669,181405
on,resumable,chain,3,1,query,318090,9964,0,114769,203321,64183,58907,86670,178535,162729,228982
on,resumable,chain,3,1,prepared,318090,10167,203,114769,203321,68816,58797,87165,187257,162339,258766
on,resumable,chain,3,4,query,658143,9964,0,454822,203321,273182,179944,301358,417298,263367,528720
on,resumable,chain,3,4,prepared,658143,10776,812,454822,203321,262426,173660,327838,380301,257504,501974
on,resumable,wide,0,1,query,4756,1215,0,1273,3483,4120,2337,5849,11589,5995,14420
on,resumable,wide,0,1,prepared,4756,1366,151,1273,3483,3403,2270,3941,8312,6709,10504
on,resumable,wide,0,4,query,8383,1215,0,4900,3483,8147,4318,10872,14980,8206,21604
on,resumable,wide,0,4,prepared,8383,1819,604,4900,3483,7269,4129,8141,13150,7597,14250
on,resumable,wide,1,1,query,38103,6532,0,12641,25462,14657,10096,18180,42395,28744,51618
on,resumable,wide,1,1,prepared,38103,7099,567,12641,25462,17890,13278,20164,52857,38203,57390
on,resumable,wide,1,4,query,69402,6532,0,43940,25462,42540,30748,106235,71592,47961,145692
on,resumable,wide,1,4,prepared,69402,8800,2268,43940,25462,40395,30534,63551,62932,50457,100379
on,resumable,wide,3,1,query,274128,40772,0,95479,178649,99566,83475,105156,283957,229735,308941
on,resumable,wide,3,1,prepared,274128,44273,3501,95479,178649,103516,101008,117192,291003,290584,337952
on,resumable,wide,3,4,query,514119,40772,0,335470,178649,338243,241407,383435,517653,369442,573897
on,resumable,wide,3,4,prepared,514119,54776,14004,335470,178649,422879,298824,463241,625199,456195,707865
on,resumable,choices,0,1,query,8102,3136,0,3347,4755,5179,2965,7176,11572,6414,16965
on,resumable,choices,0,1,prepared,8102,3287,151,3347,4755,5923,4315,6055,14422,8868,14803
on,resumable,choices,0,4,query,13001,3136,0,8246,4755,11522,8761,16559,19656,14968,24302
on,resumable,choices,0,4,prepared,13001,3740,604,8246,4755,9164,6077,12518,15159,9939,20699
on,resumable,choices,1,1,query,35094,6846,0,11726,23368,15587,10177,18833,48179,25448,49796
on,resumable,choices,1,1,prepared,35094,7596,750,11726,23368,16557,14102,17028,45731,40260,46626
on,resumable,choices,1,4,query,65130,6846,0,41762,23368,46870,24478,54573,73380,38448,84596
on,resumable,choices,1,4,prepared,65130,9846,3000,41762,23368,48513,26969,50747,74108,41697,77373
on,resumable,choices,3,1,query,167694,21530,0,55938,111756,70184,39824,79804,183006,104224,197822
on,resumable,choices,3,1,prepared,167694,26962,5432,55938,111756,68896,39587,83505,185828,109284,209601
on,resumable,choices,3,4,query,330366,21530,0,218610,111756,184366,136488,232743,270339,195206,335203
on,resumable,choices,3,4,prepared,330366,43258,21728,218610,111756,196750,151476,237964,287904,222565,347115
on,resumable,mixed_same,0,1,query,9497,2978,0,3470,6027,5868,4781,6978,14280,9923,17661
on,resumable,mixed_same,0,1,prepared,9497,3129,151,3470,6027,7117,6334,7839,16236,14715,19587
on,resumable,mixed_same,0,4,query,15668,2978,0,9641,6027,12217,10315,14112,20949,17795,25107
on,resumable,mixed_same,0,4,prepared,15668,3582,604,9641,6027,10935,7091,15983,17836,11593,25359
on,resumable,mixed_same,1,1,query,24152,4657,0,7819,16333,9056,7379,12638,22093,19012,42123
on,resumable,mixed_same,1,1,prepared,24152,4916,259,7819,16333,10128,7029,13446,26844,18394,35462
on,resumable,mixed_same,1,4,query,43370,4657,0,27037,16333,19809,16851,30018,32464,27091,49981
on,resumable,mixed_same,1,4,prepared,43370,5693,1036,27037,16333,23846,19433,32665,40223,32391,61253
on,resumable,mixed_same,3,1,query,52442,6047,0,16517,35925,17396,16405,107219,49926,45983,154234
on,resumable,mixed_same,3,1,prepared,52442,6522,475,16517,35925,25921,11661,29710,64771,32632,107527
on,resumable,mixed_same,3,4,query,97754,6047,0,61829,35925,49699,39176,101051,89406,65575,128008
on,resumable,mixed_same,3,4,prepared,97754,7947,1900,61829,35925,35952,35594,71596,55604,55396,111451
on,resumable,independent,0,1,query,19645,6913,0,8530,11115,11330,7717,14369,21110,13464,27269
on,resumable,independent,0,1,prepared,19645,7064,151,8530,11115,12591,10183,13705,23134,19429,25097
on,resumable,independent,0,4,query,30904,6913,0,19789,11115,16973,12362,20612,26195,17764,31358
on,resumable,independent,0,4,prepared,30904,7517,604,19789,11115,18409,11979,21694,27959,17149,33029
on,resumable,independent,1,1,query,164428,17856,0,55984,108444,56801,40946,62360,153155,104755,176862
on,resumable,independent,1,1,prepared,164428,19988,2132,55984,108444,51191,37575,68579,132002,102363,184395
on,resumable,independent,1,4,query,318049,17856,0,209605,108444,155448,86624,187551,230065,136550,421521
on,resumable,independent,1,4,prepared,318049,26384,8528,209605,108444,119876,114628,198339,178277,174249,293118
on,resumable,independent,3,1,query,1082812,62639,0,441944,640868,334814,227644,404087,812776,553638,939272
on,resumable,independent,3,1,prepared,1082812,84655,22016,441944,640868,326272,307316,368460,781535,753431,897873
on,resumable,independent,3,4,query,2394313,62639,0,1753445,640868,1493796,1282187,1757936,1907709,1749961,2366748
on,resumable,independent,3,4,prepared,2394313,150703,88064,1753445,640868,1127319,959563,1889686,1523428,1294822,2638920
on,resumable,delayed,0,1,query,19845,7113,0,8730,11115,11050,9524,14316,21505,16724,26107
on,resumable,delayed,0,1,prepared,19845,7264,151,8730,11115,10107,8490,11201,20360,14793,20832
on,resumable,delayed,0,4,query,31104,7113,0,19989,11115,19676,19213,21170,29104,27180,32220
on,resumable,delayed,0,4,prepared,31104,7717,604,19989,11115,18006,16086,20899,26320,23712,30457
on,resumable,delayed,1,1,query,230760,18056,0,78228,152532,68721,46436,74726,179967,115801,193264
on,resumable,delayed,1,1,prepared,230760,20188,2132,78228,152532,57956,46778,73883,146140,117129,195765
on,resumable,delayed,1,4,query,450513,18056,0,297981,152532,197641,134950,275480,290556,272331,384799
on,resumable,delayed,1,4,prepared,450513,26584,8528,297981,152532,156209,140014,167851,231632,205224,242728
on,resumable,delayed,3,1,query,1557482,62839,0,657732,899750,458714,339766,511411,1166730,783693,1463919
on,resumable,delayed,3,1,prepared,1557482,84855,22016,657732,899750,412110,320147,536084,970016,725520,1311103
on,resumable,delayed,3,4,query,3515747,62839,0,2615997,899750,1465571,1354492,1715031,1944543,1862916,2294531
on,resumable,delayed,3,4,prepared,3515747,150903,88064,2615997,899750,1466162,1090769,1708058,1967426,1584174,2249512
on,declared,history,0,1,query,22940,5701,0,9011,13929,12397,8233,15671,27813,15877,33581
on,declared,history,0,1,prepared,22940,5996,295,9011,13929,10904,7551,16906,23827,15634,37222
on,declared,history,0,4,query,41492,5701,0,27563,13929,22760,13124,25217,34409,20310,41239
on,declared,history,0,4,prepared,41492,6881,1180,27563,13929,25602,24533,28407,38958,36787,43250
on,declared,history,1,1,query,524306,21720,0,413727,110579,501179,384000,554372,640965,480994,693682
on,declared,history,1,1,prepared,524306,21720,4931,413727,110579,466540,309237,572257,591371,401933,729755
on,declared,history,1,4,query,1757006,21720,0,1646427,110579,1012597,812758,2346839,1085378,869931,2499903
on,declared,history,1,4,prepared,1757006,36513,19724,1646427,110579,1122268,978714,1871499,1201318,1043591,1967913
on,declared,history,3,1,query,2558714,43692,0,2368639,190075,1326605,1265534,2970907,1481091,1418187,3191245
on,declared,history,3,1,prepared,2558714,43692,11555,2368639,190075,1514140,1260699,2886179,1720612,1411596,3235087
on,declared,history,3,4,query,9656150,43692,0,9466075,190075,5921518,5493472,9400842,6082211,5639562,9608583
on,declared,history,3,4,prepared,9656150,78357,46220,9466075,190075,5610613,5523400,10708438,5762713,5643096,11088043
on,declared,chain,0,1,query,47604,7286,0,17647,29957,24954,15495,31650,60316,35301,73277
on,declared,chain,0,1,prepared,47604,7585,299,17647,29957,26616,18432,32945,62769,42368,68525
on,declared,chain,0,4,query,89253,7286,0,59296,29957,47461,37313,63373,71934,56300,95107
on,declared,chain,0,4,prepared,89253,8482,1196,59296,29957,71748,40671,83864,108321,61688,123313
on,declared,chain,1,1,query,213411,13120,0,138911,74500,164303,105771,212356,246320,161279,319899
on,declared,chain,1,1,prepared,213411,13120,299,138911,74500,164060,148149,229673,246735,222560,348095
on,declared,chain,1,4,query,618852,13120,0,544352,74500,570184,370914,1002201,644322,422820,1112153
on,declared,chain,1,4,prepared,618852,14017,1196,544352,74500,688990,491983,776118,791010,554222,875465
on,declared,chain,3,1,query,480835,22296,0,376503,104332,411954,289737,836981,537009,387354,1005607
on,declared,chain,3,1,prepared,480835,22296,299,376503,104332,386056,244049,571020,502255,328849,772323
on,declared,chain,3,4,query,1599052,22296,0,1494720,104332,1548518,995700,2481752,1675064,1163014,2670208
on,declared,chain,3,4,prepared,1599052,23193,1196,1494720,104332,1361024,1114869,1873500,1459604,1219230,2027889
on,declared,wide,0,1,query,20217,3274,0,6288,13929,8008,6456,8761,24919,17759,27466
on,declared,wide,0,1,prepared,20217,3569,295,6288,13929,6988,6181,7392,20775,18019,25718
on,declared,wide,0,4,query,38769,3274,0,24840,13929,14128,11446,23803,23314,18432,38306
on,declared,wide,0,4,prepared,38769,4454,1180,24840,13929,21475,17080,26131,33557,27038,41604
on,declared,wide,1,1,query,121363,10595,0,55464,65899,65192,40225,82006,134555,83705,161657
on,declared,wide,1,1,prepared,121363,10799,711,55464,65899,83068,44584,86874,171452,93913,186896
on,declared,wide,1,4,query,269971,10595,0,204072,65899,212879,174729,222510,275216,226363,290605
on,declared,wide,1,4,prepared,269971,12932,2844,204072,65899,209928,152371,264642,275503,199760,345009
on,declared,wide,3,1,query,1262611,63045,0,1093274,169337,1045832,600966,1192290,1232647,739002,1327539
on,declared,wide,3,1,prepared,1262611,64168,4989,1093274,169337,1130190,495032,1331118,1326512,594737,1565975
on,declared,wide,3,4,query,4385371,63045,0,4216034,169337,2343483,2142820,5114445,2473520,2324713,5296943
on,declared,wide,3,4,prepared,4385371,79135,19956,4216034,169337,3061211,2583989,4680881,3220958,2713689,4922117
on,declared,choices,0,1,query,23579,6340,0,9650,13929,12093,6063,14082,27862,13486,33003
on,declared,choices,0,1,prepared,23579,6635,295,9650,13929,12793,9534,13998,29257,21895,32536
on,declared,choices,0,4,query,42131,6340,0,28202,13929,25163,21911,26559,39547,34012,40976
on,declared,choices,0,4,prepared,42131,7520,1180,28202,13929,21646,14082,27908,33911,21725,41601
on,declared,choices,1,1,query,79542,8950,0,32554,46988,49483,26458,66425,118994,59725,131064
on,declared,choices,1,1,prepared,79542,9777,942,32554,46988,49041,38885,51319,113440,90675,127562
on,declared,choices,1,4,query,166806,8950,0,119818,46988,145700,86594,160768,199808,118519,220094
on,declared,choices,1,4,prepared,166806,12603,3768,119818,46988,138530,86257,170628,191238,119873,235930
on,declared,choices,3,1,query,172070,15180,0,104826,67244,149585,111452,224809,219200,153806,322618
on,declared,choices,3,1,prepared,172070,15305,5432,104826,67244,137132,112149,220044,195501,151520,296691
on,declared,choices,3,4,query,476150,15180,0,408906,67244,580700,397862,689035,645648,440170,770627
on,declared,choices,3,4,prepared,476150,31601,21728,408906,67244,617507,400954,805956,693207,438861,891543
on,required,history,0,1,query,22940,5701,0,9011,13929,11337,6921,13545,24400,14310,29751
on,required,history,0,1,prepared,22940,5996,295,9011,13929,11067,10305,15660,24336,21529,33807
on,required,history,0,4,query,41492,5701,0,27563,13929,21553,14773,43277,33397,22420,61391
on,required,history,0,4,prepared,41492,6881,1180,27563,13929,22677,18283,26707,34287,27626,40451
on,required,history,1,1,query,524306,21720,0,413727,110579,255397,222451,596821,326967,291644,747885
on,required,history,1,1,prepared,524306,21720,4931,413727,110579,452169,295300,516394,582749,371903,649651
on,required,history,1,4,query,1757006,21720,0,1646427,110579,1217777,920993,1231959,1293349,985064,1319041
on,required,history,1,4,prepared,1757006,36513,19724,1646427,110579,1077943,1053576,1798624,1149876,1121847,1910369
on,required,history,3,1,query,2558714,43692,0,2368639,190075,1559288,1341307,2590441,1726359,1489041,2846841
on,required,history,3,1,prepared,2558714,43692,11555,2368639,190075,1322641,1174870,2525029,1478744,1351080,2778065
on,required,history,3,4,query,9656150,43692,0,9466075,190075,6304622,5531379,6986454,6474620,5691033,7218215
on,required,history,3,4,prepared,9656150,78357,46220,9466075,190075,6767753,5465405,9305736,6954451,5603071,9468427
on,required,chain,0,1,query,47604,7286,0,17647,29957,29402,22436,57820,69544,54858,82517
on,required,chain,0,1,prepared,47604,7585,299,17647,29957,28594,22334,40098,69207,50414,89293
on,required,chain,0,4,query,89253,7286,0,59296,29957,65420,30397,84722,100655,45734,126422
on,required,chain,0,4,prepared,89253,8482,1196,59296,29957,65005,41104,81101,97905,61258,120634
on,required,chain,1,1,query,213411,13120,0,138911,74500,163910,99221,208021,246134,156692,309618
on,required,chain,1,1,prepared,213411,13120,299,138911,74500,119102,108151,148580,181507,161951,224023
on,required,chain,1,4,query,618852,13120,0,544352,74500,579937,380871,797563,637625,432450,903918
on,required,chain,1,4,prepared,618852,14017,1196,544352,74500,621468,587767,823745,692571,662020,925465
on,required,chain,3,1,query,480835,22296,0,376503,104332,494408,254106,547475,601425,339847,720293
on,required,chain,3,1,prepared,480835,22296,299,376503,104332,464456,407747,536052,599697,527972,700379
on,required,chain,3,4,query,1599052,22296,0,1494720,104332,1185105,949532,2080141,1277280,1042595,2284871
on,required,chain,3,4,prepared,1599052,23193,1196,1494720,104332,1759344,1048704,2090515,1941381,1144152,2269419
on,required,wide,0,1,query,20217,3274,0,6288,13929,5530,4793,7372,14933,12845,21247
on,required,wide,0,1,prepared,20217,3569,295,6288,13929,6025,4369,7838,18376,12109,22856
on,required,wide,0,4,query,38769,3274,0,24840,13929,19489,14475,25383,31716,23263,42453
on,required,wide,0,4,prepared,38769,4454,1180,24840,13929,22316,13414,24195,34685,21208,39506
on,required,wide,1,1,query,121363,10595,0,55464,65899,46270,37895,72552,92418,78085,150045
on,required,wide,1,1,prepared,121363,10799,711,55464,65899,39555,33668,64201,85041,72618,139104
on,required,wide,1,4,query,269971,10595,0,204072,65899,229363,189247,317630,292787,239793,356819
on,required,wide,1,4,prepared,269971,12932,2844,204072,65899,162576,152387,310016,213042,200008,397787
on,required,wide,3,1,query,1262611,63045,0,1093274,169337,804304,595727,1452058,944766,719388,1641759
on,required,wide,3,1,prepared,1262611,64168,4989,1093274,169337,933397,659849,1211283,1143602,791357,1423469
on,required,wide,3,4,query,4385371,63045,0,4216034,169337,2530811,2248307,5403066,2662606,2446837,5556449
on,required,wide,3,4,prepared,4385371,79135,19956,4216034,169337,2577167,2231582,4590666,2726078,2340203,4788906
on,required,choices,0,1,query,23579,6340,0,9650,13929,10707,8765,12277,24423,20276,27855
on,required,choices,0,1,prepared,23579,6635,295,9650,13929,10318,8514,13182,22590,19091,30382
on,required,choices,0,4,query,42131,6340,0,28202,13929,20219,16440,25894,32033,25137,40257
on,required,choices,0,4,prepared,42131,7520,1180,28202,13929,22117,14597,26161,34251,22439,40470
on,required,choices,1,1,query,79542,8950,0,32554,46988,46330,31960,48826,107029,73915,114152
on,required,choices,1,1,prepared,79542,9777,942,32554,46988,43190,34320,62321,107189,72827,133607
on,required,choices,1,4,query,166806,8950,0,119818,46988,137135,87350,146286,186799,120232,198281
on,required,choices,1,4,prepared,166806,12603,3768,119818,46988,140417,130221,150995,195586,180866,206229
on,required,choices,3,1,query,172070,15180,0,104826,67244,158411,125782,214367,224609,170256,313486
on,required,choices,3,1,prepared,172070,15305,5432,104826,67244,169288,131661,191465,235854,176986,265127
on,required,choices,3,4,query,476150,15180,0,408906,67244,566460,401353,737734,623674,439736,802453
on,required,choices,3,4,prepared,476150,31601,21728,408906,67244,436027,340522,569650,476724,373582,629709
