family,choices,depth,history,reverse,consumer,mode,counted,median_ns,min_ns,max_ns,requested_bytes,peak_excess,signal_limited
common,0,0,False,False,window,indexed,True,141271,137099,308613,102384,17173,False
common,0,0,False,False,window,native-indexed,False,140773,129885,251584,93507,16542,False
common,0,0,False,False,window,native-indexed,True,176535,132098,223329,99888,17069,False
common,0,0,False,False,window,native-scan,False,132476,110399,198812,78555,14454,False
common,0,0,False,False,window,native-scan,True,145431,134722,176859,84936,14981,False
common,0,0,False,False,window,scan,False,114016,98596,187244,74843,14222,False
common,0,0,False,False,window,scan,True,144654,114294,184924,81224,14749,False
common,0,0,False,False,window,sealed-indexed,False,140159,119651,200637,96625,17310,False
common,0,0,False,False,window,sealed-indexed,True,145760,134154,230439,103006,17837,False
common,0,0,False,False,window,sealed-scan,False,115531,98715,152348,75465,14886,False
common,0,0,False,False,window,sealed-scan,True,139657,112769,187462,81846,15413,False
common,0,0,False,True,all,active-indexed,False,134875,123921,204039,88507,17334,False
common,0,0,False,True,all,active-indexed,True,158109,137107,270195,94888,17861,False
common,0,0,False,True,all,active-native-indexed,False,162728,132436,590352,89019,17358,False
common,0,0,False,True,all,active-native-indexed,True,155215,130831,219578,95400,17885,False
common,0,0,False,True,all,active-native-scan,False,151441,133534,300871,81563,16270,False
common,0,0,False,True,all,active-native-scan,True,154333,131880,203171,87944,16797,False
common,0,0,False,True,all,active-scan,False,110077,104595,163591,78203,16038,False
common,0,0,False,True,all,active-scan,True,145351,116431,197908,84584,16565,False
common,0,0,False,True,all,birth,False,94751,84148,144417,79483,17641,False
common,0,0,False,True,all,birth,True,110214,102102,189256,85864,18168,False
common,0,0,False,True,all,birth-miss,False,95204,86767,119144,79455,17649,False
common,0,0,False,True,all,birth-miss,True,116756,105315,167494,85836,18176,False
common,0,0,False,True,all,birth-miss-template,False,119095,112646,162556,95715,20425,False
common,0,0,False,True,all,birth-miss-template,True,143194,127105,197049,102096,20952,False
common,0,0,False,True,all,conditional,False,336697,247086,470496,273432,21786,False
common,0,0,False,True,all,conditional,True,273513,258151,379987,279813,22313,False
common,0,0,False,True,all,indexed,False,130504,115863,282396,96003,17382,False
common,0,0,False,True,all,indexed,True,180234,140330,275915,102384,17909,False
common,0,0,False,True,all,native-indexed,False,155685,125718,200184,93507,17278,False
common,0,0,False,True,all,native-indexed,True,153148,146481,246555,99888,17805,False
common,0,0,False,True,all,native-scan,False,130003,119041,205938,78555,15190,False
common,0,0,False,True,all,native-scan,True,163259,121920,181920,84936,15717,False
common,0,0,False,True,all,scan,False,115996,103133,131021,74843,14958,False
common,0,0,False,True,all,scan,True,127623,114561,192433,81224,15485,False
common,0,0,False,True,all,sealed-indexed,False,188918,112708,650019,96625,18046,False
common,0,0,False,True,all,sealed-indexed,True,155790,135797,243114,103006,18573,False
common,0,0,False,True,all,sealed-scan,False,112323,104623,166530,75465,15622,False
common,0,0,False,True,all,sealed-scan,True,128313,115959,267811,81846,16149,False
common,0,0,False,True,immediate,active-indexed,False,139552,117871,156486,88507,15126,False
common,0,0,False,True,immediate,active-indexed,True,151933,132497,203863,94888,15653,False
common,0,0,False,True,immediate,active-native-indexed,False,142199,133541,262352,89019,15150,False
common,0,0,False,True,immediate,active-native-indexed,True,171583,137466,190333,95400,15677,False
common,0,0,False,True,immediate,active-native-scan,False,136451,115743,205026,81563,14062,False
common,0,0,False,True,immediate,active-native-scan,True,154129,137934,196063,87944,14589,False
common,0,0,False,True,immediate,active-scan,False,132391,114225,198722,78203,13830,False
common,0,0,False,True,immediate,active-scan,True,138691,118845,191790,84584,14357,False
common,0,0,False,True,immediate,birth,False,96344,78681,110541,79483,13921,False
common,0,0,False,True,immediate,birth,True,118292,105508,155836,85864,14448,False
common,0,0,False,True,immediate,birth-miss,False,98035,87313,122669,79455,13929,False
common,0,0,False,True,immediate,birth-miss,True,119806,113520,131276,85836,14456,False
common,0,0,False,True,immediate,birth-miss-template,False,135148,110310,244155,95715,16705,False
common,0,0,False,True,immediate,birth-miss-template,True,129387,124516,185863,102096,17232,False
common,0,0,False,True,immediate,conditional,False,256336,251824,382910,273432,19434,False
common,0,0,False,True,immediate,conditional,True,278006,223557,290397,279813,19961,False
common,0,0,False,True,immediate,indexed,False,151918,122779,223969,96003,15174,False
common,0,0,False,True,immediate,indexed,True,146135,141228,268740,102384,15701,False
common,0,0,False,True,immediate,native-indexed,False,148724,131372,204273,93507,15070,False
common,0,0,False,True,immediate,native-indexed,True,155399,139824,203725,99888,15597,False
common,0,0,False,True,immediate,native-scan,False,133884,122958,197413,78555,12982,False
common,0,0,False,True,immediate,native-scan,True,152424,143414,237698,84936,13509,False
common,0,0,False,True,immediate,scan,False,114929,100050,147915,74843,12750,False
common,0,0,False,True,immediate,scan,True,136479,113151,145848,81224,13277,False
common,0,0,False,True,immediate,sealed-indexed,False,150853,123857,198655,96625,15838,False
common,0,0,False,True,immediate,sealed-indexed,True,159931,148881,252776,103006,16365,False
common,0,0,False,True,immediate,sealed-scan,False,113746,101252,125266,75465,13414,False
common,0,0,False,True,immediate,sealed-scan,True,138074,122170,189608,81846,13941,False
common,0,0,False,True,window,active-indexed,False,135442,115666,151972,88507,16598,False
common,0,0,False,True,window,active-indexed,True,148194,139863,176437,94888,17125,False
common,0,0,False,True,window,active-native-indexed,False,142349,139571,189743,89019,16622,False
common,0,0,False,True,window,active-native-indexed,True,156017,153790,255539,95400,17149,False
common,0,0,False,True,window,active-native-scan,False,133852,114677,158152,81563,15534,False
common,0,0,False,True,window,active-native-scan,True,144369,137620,165677,87944,16061,False
common,0,0,False,True,window,active-scan,False,120083,114943,135460,78203,15302,False
common,0,0,False,True,window,active-scan,True,130521,115999,176996,84584,15829,False
common,0,0,False,True,window,birth,False,100082,82408,168517,79483,16401,False
common,0,0,False,True,window,birth,True,113176,105208,131689,85864,16928,False
common,0,0,False,True,window,birth-miss,False,94695,88330,104317,79455,16409,False
common,0,0,False,True,window,birth-miss,True,119266,104434,122557,85836,16936,False
common,0,0,False,True,window,birth-miss-template,False,107644,105394,135112,95715,19185,False
common,0,0,False,True,window,birth-miss-template,True,145891,128001,147922,102096,19712,False
common,0,0,False,True,window,conditional,False,260314,219540,279481,273432,21002,False
common,0,0,False,True,window,conditional,True,262038,245561,303273,279813,21529,False
common,0,0,False,True,window,indexed,False,139432,133731,147283,96003,16646,False
common,0,0,False,True,window,indexed,True,147258,131364,182697,102384,17173,False
common,0,0,False,True,window,native-indexed,False,147753,137005,163074,93507,16542,False
common,0,0,False,True,window,native-indexed,True,159887,151194,177834,99888,17069,False
common,0,0,False,True,window,native-scan,False,120113,108969,169617,78555,14454,False
common,0,0,False,True,window,native-scan,True,140592,128332,153328,84936,14981,False
common,0,0,False,True,window,scan,False,117136,103130,131003,74843,14222,False
common,0,0,False,True,window,scan,True,118999,107248,141875,81224,14749,False
common,0,0,False,True,window,sealed-indexed,False,145205,133623,202640,96625,17310,False
common,0,0,False,True,window,sealed-indexed,True,153106,140626,190809,103006,17837,False
common,0,0,False,True,window,sealed-scan,False,123706,103752,140598,75465,14886,False
common,0,0,False,True,window,sealed-scan,True,127798,109243,152995,81846,15413,False
common,0,0,True,False,all,active-indexed,False,157871,131500,203633,95695,17574,False
common,0,0,True,False,all,active-indexed,True,165268,155046,187486,102220,18101,False
common,0,0,True,False,all,active-native-indexed,False,149038,142904,170258,94831,17598,False
common,0,0,True,False,all,active-native-indexed,True,173077,156031,184061,101356,18125,False
common,0,0,True,False,all,active-native-scan,False,149952,137995,160607,87375,16562,False
common,0,0,True,False,all,active-native-scan,True,168284,136149,203954,93900,17089,False
common,0,0,True,False,all,active-scan,False,142459,136491,195870,85327,16330,False
common,0,0,True,False,all,active-scan,True,167807,138552,194580,91852,16857,False
common,0,0,True,False,all,birth,False,104138,89785,107596,86561,18439,False
common,0,0,True,False,all,birth,True,121594,119310,126562,93086,18966,False
common,0,0,True,False,all,birth-miss,False,97264,93500,103590,86533,18447,False
common,0,0,True,False,all,birth-miss,True,126723,119442,137410,93058,18974,False
common,0,0,True,False,all,birth-miss-template,False,117984,112043,137717,102793,21223,False
