# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 1K of event 'cpu_core/cycles/u'
# Event count (approx.): 4629849000
#
# Children      Self  Symbol                                                                                                                                                                                                                                                                                                                                          IPC   [IPC Coverage]
# ........  ........  ..............................................................................................................................................................................................................................................................................................................................................  ....................
#
     1.70%     0.00%  [.] _RINvXs0_NtNtNtCs4NRVxsYgnAr_4core4iter8adapters3mapINtB6_3MapINtNtNtBc_5slice4iter4IterTRejjNtNtCs8IslNjYkvvZ_20continuing_lifecycle4gate7ReadingEENCNvB1u_3runsb_0ENtNtNtBa_6traits8iterator8Iterator4folduNCINvNvB2C_8for_each4callNtNtCscdodAO9FK5_5alloc6string6StringNCINvMsj_NtB3J_3vecINtB4p_3VecB3F_E14extend_trustedBN_E0E0EB1w_  -      -            
     1.34%     0.00%  [.] __libc_start_main                                                                                                                                                                                                                                                                                                                           -      -            
     1.33%     1.24%  [.] _RNvXs9_NtCsgHgHTXaw02S_17chr_direct_choice6demandNtB5_4NodeNtNtCs4NRVxsYgnAr_4core5clone5Clone5clone                                                                                                                                                                                                                                       -      -            
     1.24%     0.54%  [.] malloc                                                                                                                                                                                                                                                                                                                                      -      -            
     1.16%     0.64%  [.] cfree                                                                                                                                                                                                                                                                                                                                       -      -            
     1.11%     0.07%  [.] _RNvNtNtCs8IslNjYkvvZ_20continuing_lifecycle4gate6oracle8same_raw                                                                                                                                                                                                                                                                           -      -            
     1.07%     0.17%  [.] _RNvNtCs4NRVxsYgnAr_4core3fmt5write                                                                                                                                                                                                                                                                                                         -      -            
     0.86%     0.55%  [.] _RNvXNtNtNtCscdodAO9FK5_5alloc11collections5btree3mapINtB2_8BTreeMapNtCs5PyYPRahy7j_10chr_syntax3VarNtCsgHgHTXaw02S_17chr_direct_choice6NodeIdENtNtNtCs4NRVxsYgnAr_4core3ops4drop4Drop4dropB1B_                                                                                                                                             -      -            
     0.85%     0.30%  [.] _RNvXsa_NtCscdodAO9FK5_5alloc3vecINtB5_3VecNtCs5PyYPRahy7j_10chr_syntax10ConstraintENtNtCs4NRVxsYgnAr_4core5clone5Clone5cloneCs8IslNjYkvvZ_20continuing_lifecycle                                                                                                                                                                           -      -            
     0.84%     0.51%  [.] _RNvXNtNtNtCscdodAO9FK5_5alloc11collections5btree3mapINtB2_8BTreeMapNtCs5PyYPRahy7j_10chr_syntax3VarNtNtB4_7set_val9SetValZSTENtNtNtCs4NRVxsYgnAr_4core3ops4drop4Drop4dropCsgHgHTXaw02S_17chr_direct_choice                                                                                                                                 -      -            
     0.74%     0.00%  [.] _RNvMs_NtCsgHgHTXaw02S_17chr_direct_choice6demandNtB4_3Run6normal                                                                                                                                                                                                                                                                           -      -            
     0.72%     0.08%  [.] _RINvNtCs4NRVxsYgnAr_4core3ptr9drop_glueNtCs5PyYPRahy7j_10chr_syntax6AnswerECs8IslNjYkvvZ_20continuing_lifecycle                                                                                                                                                                                                                            -      -            
     0.68%     0.23%  [.] _RNvXsa_NtCscdodAO9FK5_5alloc3vecINtB5_3VecTNtNtB7_6string6StringNtCs5PyYPRahy7j_10chr_syntax4TermEENtNtCs4NRVxsYgnAr_4core5clone5Clone5cloneCs8IslNjYkvvZ_20continuing_lifecycle                                                                                                                                                           -      -            
     0.64%     0.08%  [.] _RNvXs4_NtCscdodAO9FK5_5alloc6stringNtB5_6StringNtNtCs4NRVxsYgnAr_4core5clone5Clone5clone                                                                                                                                                                                                                                                   -      -            
     0.61%     0.00%  [.] realloc                                                                                                                                                                                                                                                                                                                                     -      -            
     0.60%     0.07%  [.] _RNvXsa_NtCscdodAO9FK5_5alloc3vecINtB5_3VecNtCs5PyYPRahy7j_10chr_syntax4TermENtNtCs4NRVxsYgnAr_4core5clone5Clone5cloneCs8IslNjYkvvZ_20continuing_lifecycle                                                                                                                                                                                  -      -            
     0.56%     0.00%  [.] _RINvNtCs4NRVxsYgnAr_4core3ptr9drop_glueNtNtCs8IslNjYkvvZ_20continuing_lifecycle4gate8DeliveryEBF_                                                                                                                                                                                                                                          -      -            
     0.55%     0.55%  [.] _RNvCs9wFQrvczXsK_7___rustc14___rust_dealloc                                                                                                                                                                                                                                                                                                -      -            
     0.53%     0.53%  [.] 0x00000000000a17db                                                                                                                                                                                                                                                                                                                          -      -            
     0.52%     0.52%  [.] 0x00000000000a26c9                                                                                                                                                                                                                                                                                                                          -      -            


#
# (Cannot load tips.txt file, please install perf!)
#
