# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 1K of event 'cpu_core/cycles/u'
# Event count (approx.): 4405094605
#
# Children      Self  Symbol                                                                                                                                                                                                                                                                                                                                          IPC   [IPC Coverage]
# ........  ........  ..............................................................................................................................................................................................................................................................................................................................................  ....................
#
     2.18%     1.20%  [.] _RNvXNtNtNtCscdodAO9FK5_5alloc11collections5btree3mapINtB2_8BTreeMapNtCsl7mlajFerVc_17chr_direct_choice5LabelbENtNtNtCs4NRVxsYgnAr_4core3ops4drop4Drop4dropB15_                                                                                                                                                                             -      -            
     1.77%     0.15%  [.] _RNvMs4_NtCscdodAO9FK5_5alloc7raw_vecNtB5_11RawVecInner11finish_growCsl7mlajFerVc_17chr_direct_choice.llvm.7111988575262212203                                                                                                                                                                                                              -      -            
     1.76%     0.08%  [.] _RNvMs3_NtCscdodAO9FK5_5alloc7raw_vecINtB5_6RawVecNtCs5PyYPRahy7j_10chr_syntax3VarE8grow_oneCsl7mlajFerVc_17chr_direct_choice                                                                                                                                                                                                               -      -            
     1.71%     0.55%  [.] _RINvMsN_NtNtNtCscdodAO9FK5_5alloc11collections5btree4nodeINtB6_6HandleINtB6_7NodeRefNtNtB6_6marker3MutNtCs5PyYPRahy7j_10chr_syntax3VarNtCsl7mlajFerVc_17chr_direct_choice6NodeIdNtB1m_4LeafENtB1m_4EdgeE16insert_recursingNtNtBc_5alloc6GlobalNCNvMs4_NtNtB8_3map5entryINtB3W_11VacantEntryB1C_B28_E12insert_entry0EB2a_                   -      -            
     1.66%     1.00%  [.] _RNvMs4_NtNtNtNtCscdodAO9FK5_5alloc11collections5btree3map5entryINtB5_11VacantEntryjjE12insert_entryCsl7mlajFerVc_17chr_direct_choice                                                                                                                                                                                                       -      -            
     1.31%     1.31%  [k] 0xffffffffa9400ba0                                                                                                                                                                                                                                                                                                                          -      -            
     1.27%     0.41%  [.] _RNvMs_NtCsl7mlajFerVc_17chr_direct_choice6demandNtB4_3Run13template_term                                                                                                                                                                                                                                                                   -      -            
     1.19%     1.12%  [.] _RNvXs9_NtCsl7mlajFerVc_17chr_direct_choice6demandNtB5_4NodeNtNtCs4NRVxsYgnAr_4core5clone5Clone5clone                                                                                                                                                                                                                                       -      -            
     1.15%     0.73%  [.] _RINvMsN_NtNtNtCscdodAO9FK5_5alloc11collections5btree4nodeINtB6_6HandleINtB6_7NodeRefNtNtB6_6marker3MutjNtNtB8_7set_val9SetValZSTNtB1m_4LeafENtB1m_4EdgeE16insert_recursingNtNtBc_5alloc6GlobalNCNvMs4_NtNtB8_3map5entryINtB3a_11VacantEntryjB1D_E12insert_entry0ECsl7mlajFerVc_17chr_direct_choice                                         -      -            
     1.12%     0.79%  [.] _RNvXNtNtNtCscdodAO9FK5_5alloc11collections5btree3mapINtB2_8BTreeMapNtCs5PyYPRahy7j_10chr_syntax3VarNtNtB4_7set_val9SetValZSTENtNtNtCs4NRVxsYgnAr_4core3ops4drop4Drop4dropCsl7mlajFerVc_17chr_direct_choice                                                                                                                                 -      -            
     1.06%     0.00%  [.] _RINvNtNtCs2AWtUsOyxgP_3std3sys9backtrace28___rust_begin_short_backtraceFEuuECsbB4RSKN0WtT_20continuing_lifecycle                                                                                                                                                                                                                           -      -            
     1.06%     0.00%  [.] _RNCINvNtCs2AWtUsOyxgP_3std2rt10lang_startuE0CsbB4RSKN0WtT_20continuing_lifecycle                                                                                                                                                                                                                                                           -      -            
     1.06%     0.00%  [.] _RNvNtCs2AWtUsOyxgP_3std2rt19lang_start_internal                                                                                                                                                                                                                                                                                            -      -            
     1.06%     0.00%  [.] _start                                                                                                                                                                                                                                                                                                                                      -      -            
     1.06%     0.00%  [.] main                                                                                                                                                                                                                                                                                                                                        -      -            
     0.90%     0.90%  [.] _RINvNtNtCsl7mlajFerVc_17chr_direct_choice6demand7context7seekingjbEB6_                                                                                                                                                                                                                                                                     -      -            
     0.87%     0.00%  [.] _RINvNtCs4NRVxsYgnAr_4core3ptr9drop_glueNtNtCsbB4RSKN0WtT_20continuing_lifecycle4gate8DeliveryEBF_                                                                                                                                                                                                                                          -      -            
     0.79%     0.79%  [.] 0x00000000000a2671                                                                                                                                                                                                                                                                                                                          -      -            
     0.74%     0.00%  [.] _RNvNtNtCsbB4RSKN0WtT_20continuing_lifecycle4gate6oracle8same_raw                                                                                                                                                                                                                                                                           -      -            
     0.68%     0.00%  [.] _RNvXs_NtNtCscdodAO9FK5_5alloc3vec21spec_from_iter_nestedINtB6_3VecNtNtB8_6string6StringEINtB4_18SpecFromIterNestedB12_INtNtNtNtCs4NRVxsYgnAr_4core4iter8adapters3map3MapINtNtNtB21_5slice4iter4IterTRejjNtNtCsbB4RSKN0WtT_20continuing_lifecycle4gate7ReadingEENCNvB3e_3runsb_0EE9from_iterB3g_                                            -      -            
     0.67%     0.44%  [.] _RINvMsN_NtNtNtCscdodAO9FK5_5alloc11collections5btree4nodeINtB6_6HandleINtB6_7NodeRefNtNtB6_6marker3MutjNtNtB8_7set_val9SetValZSTNtB1m_4LeafENtB1m_4EdgeE16insert_recursingNtNtBc_5alloc6GlobalNCNvMs4_NtNtB8_3map5entryINtB3a_11VacantEntryjB1D_E12insert_entry0ECsl7mlajFerVc_17chr_direct_choice                                         -      -            
     0.66%     0.42%  [.] _RINvMsN_NtNtNtCscdodAO9FK5_5alloc11collections5btree4nodeINtB6_6HandleINtB6_7NodeRefNtNtB6_6marker3MutNtCs5PyYPRahy7j_10chr_syntax3VarNtCsl7mlajFerVc_17chr_direct_choice6NodeIdNtB1m_4LeafENtB1m_4EdgeE16insert_recursingNtNtBc_5alloc6GlobalNCNvMs4_NtNtB8_3map5entryINtB3W_11VacantEntryB1C_B28_E12insert_entry0EB2a_                   -      -            
     0.65%     0.33%  [.] _RNvXsa_NtCscdodAO9FK5_5alloc3vecINtB5_3VecNtCs5PyYPRahy7j_10chr_syntax10ConstraintENtNtCs4NRVxsYgnAr_4core5clone5Clone5cloneCsbB4RSKN0WtT_20continuing_lifecycle                                                                                                                                                                           -      -            
     0.63%     0.24%  [.] _RNvXsa_NtCscdodAO9FK5_5alloc3vecINtB5_3VecNtCs5PyYPRahy7j_10chr_syntax4TermENtNtCs4NRVxsYgnAr_4core5clone5Clone5cloneCsbB4RSKN0WtT_20continuing_lifecycle                                                                                                                                                                                  -      -            
     0.61%     0.00%  [.] __libc_start_main                                                                                                                                                                                                                                                                                                                           -      -            
     0.60%     0.00%  [.] _RINvXs0_NtNtNtCs4NRVxsYgnAr_4core4iter8adapters3mapINtB6_3MapINtNtNtBc_5slice4iter4IterTRejjNtNtCsbB4RSKN0WtT_20continuing_lifecycle4gate7ReadingEENCNvB1u_3runsb_0ENtNtNtBa_6traits8iterator8Iterator4folduNCINvNvB2C_8for_each4callNtNtCscdodAO9FK5_5alloc6string6StringNCINvMsj_NtB3J_3vecINtB4p_3VecB3F_E14extend_trustedBN_E0E0EB1w_  -      -            
     0.60%     0.00%  [.] _RNvNvNtCscdodAO9FK5_5alloc3fmt6format12format_inner                                                                                                                                                                                                                                                                                        -      -            
     0.58%     0.58%  [.] 0x00000000000a1806                                                                                                                                                                                                                                                                                                                          -      -            
     0.57%     0.08%  [.] _RNvMs_NtCsl7mlajFerVc_17chr_direct_choice6demandNtB4_3Run4term                                                                                                                                                                                                                                                                             -      -            
     0.55%     0.08%  [.] _RNvXsa_NtCscdodAO9FK5_5alloc3vecINtB5_3VecTNtNtB7_6string6StringNtCs5PyYPRahy7j_10chr_syntax4TermEENtNtCs4NRVxsYgnAr_4core5clone5Clone5cloneCsbB4RSKN0WtT_20continuing_lifecycle                                                                                                                                                           -      -            
     0.54%     0.02%  [.] _RNvXs4_NtCscdodAO9FK5_5alloc6stringNtB5_6StringNtNtCs4NRVxsYgnAr_4core5clone5Clone5clone                                                                                                                                                                                                                                                   -      -            
     0.54%     0.54%  [.] _RNvXNtNtNtCscdodAO9FK5_5alloc11collections5btree3mapINtB2_8BTreeMapNtCs5PyYPRahy7j_10chr_syntax3VarNtCsl7mlajFerVc_17chr_direct_choice6NodeIdENtNtNtCs4NRVxsYgnAr_4core3ops4drop4Drop4dropB1B_                                                                                                                                             -      -            
     0.51%     0.09%  [.] _RNvNtCs4NRVxsYgnAr_4core3fmt5write                                                                                                                                                                                                                                                                                                         -      -            


#
# (Cannot load tips.txt file, please install perf!)
#
