variant,form,family,choices,depth,reuse,schedule,requested_bytes,peak_above_start,wall_median_ns,wall_min_ns,wall_max_ns
existing,counted,early,3,16,1,mixed,131577,21724,168457,104757,272733
existing,counted,early,3,16,4,eligible,424082,21724,296431,291363,497596
existing,counted,early,3,16,4,mixed,489967,36662,560906,399850,587889
filtered,original,common,0,0,1,eligible,54532,12067,66663,65431,67592
filtered,original,common,0,0,1,mixed,54384,12067,66784,65946,73386
filtered,original,common,0,0,4,eligible,190783,12067,205852,114844,209124
filtered,original,common,0,0,4,mixed,162777,12067,177088,96575,229040
filtered,original,common,0,16,1,eligible,393972,35367,453484,447716,504622
filtered,original,common,0,16,1,mixed,393824,35367,491908,454906,519074
filtered,original,common,0,16,4,eligible,1490943,35367,1678891,929373,2094005
filtered,original,common,0,16,4,mixed,862991,35367,988092,554967,1070784
filtered,original,common,3,0,1,eligible,117320,20816,160856,159933,289282
filtered,original,common,3,0,1,mixed,117172,20816,157328,116192,172021
filtered,original,common,3,0,4,eligible,434369,20816,553142,369999,601216
filtered,original,common,3,0,4,mixed,406223,20816,556399,498274,816579
filtered,original,common,3,16,1,eligible,455608,43732,568797,336684,809395
filtered,original,common,3,16,1,mixed,455460,43732,589154,569064,595453
filtered,original,common,3,16,4,eligible,1731073,43732,1400991,1252632,2536990
filtered,original,common,3,16,4,mixed,1237375,48411,1143918,913826,1568242
filtered,original,independent,0,0,1,eligible,53996,11971,69367,67933,98774
filtered,original,independent,0,0,1,mixed,53848,11971,68710,67797,74053
filtered,original,independent,0,0,4,eligible,188927,11971,135600,108793,216942
filtered,original,independent,0,0,4,mixed,160921,11971,174619,97497,189660
filtered,original,independent,0,16,1,eligible,393436,35271,447241,255505,467488
filtered,original,independent,0,16,1,mixed,393288,35271,452121,257576,555086
filtered,original,independent,0,16,4,eligible,1489087,35271,1697318,967626,1705156
filtered,original,independent,0,16,4,mixed,861135,35271,964892,675216,1022389
filtered,original,independent,3,0,1,eligible,540269,47251,755176,463183,801100
filtered,original,independent,3,0,1,mixed,540121,47251,762849,444055,790861
filtered,original,independent,3,0,4,eligible,2106782,47251,1840777,1678293,2884089
filtered,original,independent,3,0,4,mixed,1475176,47251,1402400,1211820,2036000
filtered,original,independent,3,16,1,eligible,3635733,209558,3500817,2806033,5056623
filtered,original,independent,3,16,1,mixed,3635585,209558,2828365,2665339,3278583
filtered,original,independent,3,16,4,eligible,14436750,209558,12300647,11330196,12616761
filtered,original,independent,3,16,4,mixed,7802606,209558,6111321,5956211,7161189
filtered,original,early,0,0,1,eligible,54532,12067,65753,64909,69877
filtered,original,early,0,0,1,mixed,54384,12067,66187,40350,69651
filtered,original,early,0,0,4,eligible,190783,12067,207461,116230,233559
filtered,original,early,0,0,4,mixed,162777,12067,178422,176322,180812
filtered,original,early,0,16,1,eligible,393972,35367,462856,443955,597079
filtered,original,early,0,16,1,mixed,393824,35367,468729,444440,593217
filtered,original,early,0,16,4,eligible,1490943,35367,1407435,964952,1754927
filtered,original,early,0,16,4,mixed,862991,35367,992961,969699,1378848
filtered,original,early,3,0,1,eligible,107057,18155,137704,80154,141246
filtered,original,early,3,0,1,mixed,106909,18155,135766,106690,136847
filtered,original,early,3,0,4,eligible,393320,18155,296287,258755,500355
filtered,original,early,3,0,4,mixed,365254,18155,415860,263671,442052
filtered,original,early,3,16,1,eligible,708833,51135,835775,776843,964920
filtered,original,early,3,16,1,mixed,708685,51135,824336,509320,958524
filtered,original,early,3,16,4,eligible,2743976,51135,1806588,1775565,3272619
filtered,original,early,3,16,4,mixed,1643294,51135,1269755,1104485,2103686
filtered,counted,common,0,0,1,eligible,58564,13022,86432,73577,95200
filtered,counted,common,0,0,1,mixed,57361,13022,72417,70874,72821
filtered,counted,common,0,0,4,eligible,198121,13022,219972,114378,226809
filtered,counted,common,0,0,4,mixed,166950,13022,189481,188550,210741
filtered,counted,common,0,16,1,eligible,67140,15406,89228,52999,131217
filtered,counted,common,0,16,1,mixed,80913,18534,99681,57957,109364
filtered,counted,common,0,16,4,eligible,219561,15406,254795,134173,264311
filtered,counted,common,0,16,4,mixed,235452,25602,258104,151556,270837
filtered,counted,common,3,0,1,eligible,122924,22161,170369,123174,181787
filtered,counted,common,3,0,1,mixed,121475,22161,172349,168351,207833
filtered,counted,common,3,0,4,eligible,444017,22161,566109,368830,619757
filtered,counted,common,3,0,4,mixed,411968,22161,520522,333290,540308
filtered,counted,common,3,16,1,eligible,131500,24545,185197,180645,209562
filtered,counted,common,3,16,1,mixed,144643,24545,189632,116475,195435
filtered,counted,common,3,16,4,eligible,465457,24545,599019,356561,660649
filtered,counted,common,3,16,4,mixed,612944,49111,537165,488634,804104
filtered,counted,independent,0,0,1,eligible,57820,12926,74147,58033,77387
filtered,counted,independent,0,0,1,mixed,56617,12926,74577,41330,85195
filtered,counted,independent,0,0,4,eligible,196057,12926,214735,126829,221701
filtered,counted,independent,0,0,4,mixed,164886,12926,191566,122848,345508
filtered,counted,independent,0,16,1,eligible,66396,15310,88827,58166,95767
filtered,counted,independent,0,16,1,mixed,80169,18438,98223,59131,99885
filtered,counted,independent,0,16,4,eligible,217497,15310,255040,139765,278708
filtered,counted,independent,0,16,4,mixed,233388,25506,256951,253499,277350
filtered,counted,independent,3,0,1,eligible,552216,48752,554689,468735,799627
filtered,counted,independent,3,0,1,mixed,550599,48752,503446,447018,877232
filtered,counted,independent,3,0,4,eligible,2123313,48752,1764267,1751839,2936658
filtered,counted,independent,3,0,4,mixed,1487300,48752,1464172,1277585,2108783
filtered,counted,independent,3,16,1,eligible,560504,51136,527526,477450,813042
filtered,counted,independent,3,16,1,mixed,572103,51136,672782,491358,844103
filtered,counted,independent,3,16,4,eligible,2144033,51136,1954587,1696364,2099129
filtered,counted,independent,3,16,4,mixed,1666874,60215,1389473,1366995,1426039
filtered,counted,early,0,0,1,eligible,58564,13022,73008,50212,107142
filtered,counted,early,0,0,1,mixed,57361,13022,72106,70811,72509
filtered,counted,early,0,0,4,eligible,198121,13022,221607,121419,255170
filtered,counted,early,0,0,4,mixed,166950,13022,106163,98325,204391
filtered,counted,early,0,16,1,eligible,67140,15406,90233,89588,95059
filtered,counted,early,0,16,1,mixed,80913,18534,99502,98835,107895
filtered,counted,early,0,16,4,eligible,219561,15406,250502,153151,300534
filtered,counted,early,0,16,4,mixed,235452,25602,258813,164153,290283
filtered,counted,early,3,0,1,eligible,112557,19500,145730,99072,162920
filtered,counted,early,3,0,1,mixed,111108,19500,155037,140991,185462
filtered,counted,early,3,0,4,eligible,402864,19500,327026,269759,475893
filtered,counted,early,3,0,4,mixed,370895,19500,483478,439094,497527
filtered,counted,early,3,16,1,eligible,121133,21884,159104,113305,162663
filtered,counted,early,3,16,1,mixed,134276,21884,164693,100531,186178
filtered,counted,early,3,16,4,eligible,424304,21884,346194,328075,515332
filtered,counted,early,3,16,4,mixed,491783,37934,491858,353856,612209
scan,original,common,0,0,1,eligible,24283,8938,33605,18765,61248
scan,original,common,0,0,1,mixed,23751,8938,32588,20695,40580
scan,original,common,0,0,4,eligible,58552,8938,79946,77156,122500
scan,original,common,0,0,4,mixed,53928,8938,71477,67389,73747
scan,original,common,0,16,1,eligible,70323,16806,69805,59987,100010
scan,original,common,0,16,1,mixed,70263,16806,100525,66861,154245
scan,original,common,0,16,4,eligible,204096,16822,299610,183552,334757
scan,original,common,0,16,4,mixed,161734,17385,227249,216455,235054
scan,original,common,3,0,1,eligible,104802,50288,124802,123543,143216
scan,original,common,3,0,1,mixed,104270,50288,123250,71412,140066
scan,original,common,3,0,4,eligible,372522,50288,387403,233051,390394
scan,original,common,3,0,4,mixed,351630,50288,361017,213908,405097
scan,original,common,3,16,1,eligible,335090,93976,547956,462051,747148
scan,original,common,3,16,1,mixed,335030,93976,470828,275328,477689
scan,original,common,3,16,4,eligible,1240946,93976,1048542,954028,1699437
scan,original,common,3,16,4,mixed,880914,93976,680139,653512,1178323
scan,original,independent,0,0,1,eligible,24051,8842,32274,31803,32494
scan,original,independent,0,0,1,mixed,23519,8842,31864,19352,32801
scan,original,independent,0,0,4,eligible,58200,8842,81637,77370,88043
scan,original,independent,0,0,4,mixed,53576,8842,71719,39175,83960
scan,original,independent,0,16,1,eligible,70091,16710,108838,101803,122794
scan,original,independent,0,16,1,mixed,70031,16710,99814,61004,137639
scan,original,independent,0,16,4,eligible,203744,16726,305511,175840,319010
scan,original,independent,0,16,4,mixed,161382,17289,241235,131065,245201
scan,original,independent,3,0,1,eligible,139084,59775,180909,105955,182010
scan,original,independent,3,0,1,mixed,139024,59775,179096,112397,188102
scan,original,independent,3,0,4,eligible,480928,59775,567949,338686,616029
scan,original,independent,3,0,4,mixed,406902,59775,451011,278623,458071
scan,original,independent,3,16,1,eligible,366228,97442,431724,321024,690259
scan,original,independent,3,16,1,mixed,366168,97442,562799,384848,679014
scan,original,independent,3,16,4,eligible,1354296,97442,1335627,1178789,2068963
scan,original,independent,3,16,4,mixed,952252,97442,1151102,770081,1332983
scan,original,early,0,0,1,eligible,24283,8938,32803,32527,38456
scan,original,early,0,0,1,mixed,23751,8938,33336,32886,35458
scan,original,early,0,0,4,eligible,58552,8938,77841,52527,78709
scan,original,early,0,0,4,mixed,53928,8938,72863,71066,79384
scan,original,early,0,16,1,eligible,70323,16806,102441,60027,117528
scan,original,early,0,16,1,mixed,70263,16806,102537,94431,109659
scan,original,early,0,16,4,eligible,204096,16822,295119,180039,333281
scan,original,early,0,16,4,mixed,161734,17385,227868,216977,249640
scan,original,early,3,0,1,eligible,65148,27503,84848,48573,89057
scan,original,early,3,0,1,mixed,64616,27503,83152,49960,96480
scan,original,early,3,0,4,eligible,213912,27503,237700,135527,299966
scan,original,early,3,0,4,mixed,202092,27503,233489,216000,251230
scan,original,early,3,16,1,eligible,194500,50519,264216,263013,289000
scan,original,early,3,16,1,mixed,194440,50519,264980,158935,304789
scan,original,early,3,16,4,eligible,686656,50519,640269,587458,955109
scan,original,early,3,16,4,mixed,506648,50519,660469,419434,685100
scan,counted,common,0,0,1,eligible,28315,9893,39341,28547,47095
scan,counted,common,0,0,1,mixed,26728,9893,38476,38222,47493
scan,counted,common,0,0,4,eligible,65890,9893,90243,88656,91486
scan,counted,common,0,0,4,mixed,58101,9893,92025,58243,102208
scan,counted,common,0,16,1,eligible,36891,12277,54808,34343,60543
scan,counted,common,0,16,1,mixed,43752,14116,62818,40790,65140
