91,7794
43,535
30,497
29,496
28,492
26,486
28,487
28,487
28,488
27,481
27,484
29,483
29,482
28,480
29,481
26,483
27,481
28,481
27,482
27,483
28,483
27,480
28,483
27,484
28,482
28,488
28,484
28,485
28,483
27,481
27,483
28,484
29,483
27,483
27,484
27,487
28,486
29,484
28,490
27,488
28,492
27,489
29,487
28,497
28,497
28,495
29,486
28,484
28,484
28,482
27,543
29,484
27,485
29,484
26,483
29,492
28,487
27,486
27,484
28,483
28,484
27,483
27,484
28,488
27,486
29,489
26,484
28,487
29,485
27,482
28,484
28,486
28,484
27,492
27,487
28,491
27,482
28,530
27,485
27,484
28,482
28,483
27,485
26,484
29,486
28,482
27,483
26,483
27,491
29,484
27,482
27,484
29,491
27,484
28,490
28,485
28,483
29,484
28,483
27,486
28,483
27,484
28,539
29,483
28,484
28,487
26,484
29,483
29,486
30,485
28,490
26,484
28,487
28,485
28,483
28,484
27,483
28,482
26,482
29,486
27,481
28,490
27,480
26,482
27,484
28,483
28,484
27,484
29,538
29,487
29,484
28,485
29,484
29,485
28,487
27,484
30,486
28,482
29,484
27,483
28,487
27,483
27,482
28,483
29,483
28,481
28,492
27,482
28,486
27,483
27,486
26,482
28,494
27,486
28,487
27,483
29,484
29,485
28,483
28,486
29,484
28,484
28,529
28,491
28,484
27,490
29,483
27,489
28,497
27,489
27,483
27,492
28,491
27,485
28,484
27,490
27,486
28,484
29,484
28,486
28,484
27,491
26,484
28,517
29,484
28,484
28,483
27,484
28,482
28,488
28,482
27,491
28,519
27,483
27,482
27,485
27,487
27,482
28,485
27,484
29,490
27,483
28,486
27,488
28,487
28,482
27,482
28,486
29,486
27,486
27,482
28,550
29,490
28,485
29,488
29,488
28,484
27,483
27,484
28,489
28,486
26,481
27,488
27,488
28,483
27,482
28,489
28,484
29,483
30,484
27,487
28,487
27,484
28,490
28,487
28,488
29,486
29,485
28,487
28,542
29,486
28,486
29,485
28,484
28,487
27,489
29,488
27,484
28,487
28,486
28,485
27,491
27,483
27,508
27,483
27,491
30,544
28,486
28,487
29,487
28,494
27,487
28,488
28,486
28,488
27,486
27,486
28,486
29,485
28,490
27,491
29,500
28,485
27,487
27,490
28,486
27,483
28,493
29,485
28,515
27,487
28,485
28,486
28,482
26,483
27,484
27,485
27,491
27,482
28,484
28,486
29,492
26,483
26,500
28,485
28,484
28,486
29,493
28,486
27,490
27,490
28,488
29,486
28,485
27,486
27,484
28,485
29,487
28,486
27,487
27,490
28,487
27,485
28,484
27,487
28,489
27,481
27,486
27,488
27,483
29,483
27,484
30,483
28,484
27,491
26,486
29,495
27,484
28,484
28,490
29,486
28,486
27,488
28,487
29,486
26,484
28,484
27,488
27,488
28,486
28,488
26,486
28,484
27,487
27,487
27,483
27,484
29,485
29,481
29,485
28,483
28,483
27,486
27,489
27,489
28,486
28,483
27,491
27,542
27,486
28,482
27,484
28,486
27,488
30,492
27,491
28,488
26,490
27,486
26,488
26,488
28,495
28,490
27,488
28,493
28,498
28,485
27,487
28,487
28,491
28,484
26,490
28,490
28,491
28,558
28,492
28,489
29,490
28,487
