kind,rep,family,mode,reuse,total_ns,execution_ns,setup_ns,preparation_ns,disposal_ns,first_cold_ns,cancel_ns,requested_bytes,peak_increment_bytes
time,0,cross-before-success-256-2,graph,1,239640,169664,55907,5423,8646,181427,186525,,
time,0,cross-before-success-64-6,dependencies,1,893744,732813,39622,93320,27989,581401,544532,,
time,0,cross-before-success-64-4,ordinary,1,205099,120376,42485,32610,9628,169829,145868,,
time,0,cross-before-success-1024-4,ordinary,1,1120853,460082,504551,21098,135122,962102,1121653,,
time,0,cross-unique-success-64-6,graph,1,162575206,162338157,19712,120430,96907,3868449,3792833,,
time,0,cross-before-success-256-2,dependencies,1,199390,48252,126038,5158,19942,176152,201880,,
time,0,cross-after-success-1024-6,graph,1,613927662,613437973,255182,82688,151819,4636432,4991369,,
time,0,cross-before-success-64-4,dependencies,1,176409,99131,37673,29674,9931,142353,132339,,
time,0,cross-before-clash-1024-2,specialized,1,1707258,1160892,521497,20733,4136,,1670296,,
time,0,cross-before-clash-1024-6,ordinary,1,1244271,554628,499213,70568,119862,,1277940,,
time,0,cross-before-clash-64-4,graph,1,85345,47825,15403,10513,11604,,66174,,
time,0,cross-before-success-64-6,ordinary,1,964416,783922,38617,114129,27748,667510,627444,,
time,0,cross-unique-success-1024-6,specialized,1,26138321,25225986,533637,240202,138496,17935935,24361358,,
time,0,cross-after-success-1024-6,ordinary,1,2818794,2042761,541177,78819,156037,2377514,2405196,,
time,0,cross-before-clash-1024-6,specialized,1,20367417,19594920,532362,165139,74996,,20483457,,
time,0,cross-before-clash-256-6,dependencies,1,342005,101032,124283,77265,39425,,261028,,
time,0,cross-before-clash-1024-2,graph,1,568970,259279,214600,4541,90550,,541874,,
time,0,cross-after-clash-1024-6,graph,1,559972099,559524627,232410,76266,138796,,563656755,,
time,0,cross-before-success-1024-2,dependencies,1,751811,130136,511371,5385,104919,643069,698184,,
time,0,cross-before-success-64-6,graph,1,90671192,90491218,22354,95884,61736,3666635,3523454,,
time,0,cross-before-clash-1024-2,ordinary,1,682940,62102,495767,5833,119238,,659254,,
time,0,cross-after-clash-1024-6,ordinary,1,1613046,903014,512470,75511,122051,,1549085,,
time,0,cross-after-success-1024-6,dependencies,1,1614779,833234,518730,110013,152802,1184637,1243077,,
time,0,cross-after-clash-1024-6,specialized,1,22527205,21741719,561740,172777,50969,,22433015,,
time,0,cross-before-success-64-2,specialized,1,175065,116664,39146,16366,2889,145651,156281,,
time,0,cross-before-success-256-2,specialized,1,549583,381529,142489,19326,6239,449207,536419,,
time,0,cross-before-success-1024-2,specialized,1,2089230,1492760,572692,17902,5876,1786449,2078630,,
