case	mode	limit	status	steps	raw	failed	answers	exhausted	issued	committed_equations	lookahead_visits	projection_dereferences	max_outstanding	owner_buffered_peak	uncommitted_at_shutdown	calls	pairs	resolve_nodes	occurs_nodes	worker_completion
A04-alpha-residual	Shared	0	pass	7	2	0	1	true	0	0	0	0	0	0	0	0	0	0	0	[]
A04-alpha-residual	Inline	1	pass	7	2	0	1	true	0	0	10	0	0	0	0	0	0	0	0	[]
A04-alpha-residual	Inline	4	pass	7	2	0	1	true	0	0	10	0	0	0	0	0	0	0	0	[]
A04-alpha-residual	Threads(1)	1	pass	7	2	0	1	true	0	0	10	0	0	0	0	0	0	0	0	[]
A04-alpha-residual	Threads(1)	4	pass	7	2	0	1	true	0	0	10	0	0	0	0	0	0	0	0	[]
A04-alpha-residual	Threads(2)	1	pass	7	2	0	1	true	0	0	10	0	0	0	0	0	0	0	0	[]
A04-alpha-residual	Threads(2)	4	pass	7	2	0	1	true	0	0	10	0	0	0	0	0	0	0	0	[]
C01-correlation	Owned	0	pass	10	2	0	2	true	4	4	0	0	0	0	0	4	4	16	4	[]
C01-correlation	Shared	0	pass	10	2	0	2	true	0	0	0	0	0	0	0	0	0	0	0	[]
C01-correlation	Inline	1	pass	10	2	0	2	true	4	4	11	6	1	1	0	4	4	16	4	[]
C01-correlation	Inline	4	pass	10	2	0	2	true	4	4	15	6	2	2	0	4	4	16	4	[]
C01-correlation	Threads(1)	1	pass	10	2	0	2	true	4	4	11	6	1	1	0	4	4	16	4	[(0, 0), (0, 1), (0, 2), (0, 3)]
C01-correlation	Threads(1)	4	pass	10	2	0	2	true	4	4	15	6	2	1	0	4	4	16	4	[(0, 0), (0, 1), (0, 2), (0, 3)]
C01-correlation	Threads(2)	1	pass	10	2	0	2	true	4	4	11	6	1	1	0	4	4	16	4	[(0, 0), (1, 1), (0, 2), (1, 3)]
C01-correlation	Threads(2)	4	pass	10	2	0	2	true	4	4	15	6	2	1	0	4	4	16	4	[(0, 0), (1, 1), (0, 2), (1, 3)]
C02-independent	Owned	0	pass	18	4	0	4	true	6	6	0	0	0	0	0	6	6	24	6	[]
C02-independent	Shared	0	pass	18	4	0	4	true	0	0	0	0	0	0	0	0	0	0	0	[]
C02-independent	Inline	1	pass	18	4	0	4	true	6	6	27	6	1	1	0	6	6	24	6	[]
C02-independent	Inline	4	pass	18	4	0	4	true	6	6	43	6	4	4	0	6	6	24	6	[]
C02-independent	Threads(1)	1	pass	18	4	0	4	true	6	6	27	6	1	1	0	6	6	24	6	[(0, 0), (0, 1), (0, 2), (0, 3), (0, 4), (0, 5)]
C02-independent	Threads(1)	4	pass	18	4	0	4	true	6	6	43	6	4	1	0	6	6	24	6	[(0, 0), (0, 1), (0, 2), (0, 3), (0, 4), (0, 5)]
C02-independent	Threads(2)	1	pass	18	4	0	4	true	6	6	27	6	1	1	0	6	6	24	6	[(0, 0), (1, 1), (0, 2), (1, 3), (0, 4), (1, 5)]
