case	mode	pass	solutions	exhausted	classes	retained_candidates	pattern_nodes	unions	domain_compares	enumeration_cache_hits	domain_cache_hits	filter_candidates	output_nodes	emitted	intersection_pairs	transition_pairs	productivity_checks	witness_nodes	ground_checks	membership_steps	membership_hits	enumeration_checks	size_partitions	enumeration_candidates	allocation_calls	build_requested	compile_requested	output_requested	requested_bytes	baseline_live	peak_live	final_live	build_us	compile_us	output_us
intersect_k-h4-n9	FilterFirst	true	279841	false	4	23	7	0	15	0	3	550	21630	1024	0	0	0	0	9197	7852	122	27	30	550	47879	4331	827230	1108830	1940391	736	1070040	1070040	8	1653	1930
intersect_k-h4-n9	FilterSmallest	true	279841	false	4	23	7	0	18	0	3	23	21630	1024	0	0	0	0	350	350	0	99	146	1928	71884	4331	1388842	1108830	2502003	739	1070043	1070043	8	4099	1771
intersect_k-h4-n9	Intersect	true	279841	false	4	23	7	0	15	0	3	0	21630	1024	4	30	5	2	0	0	0	45	86	68	33853	4331	72890	1108830	1186051	734	1069606	1069606	8	146	2230
disjoint-h1-n1	FilterFirst	true	0	true	1	0	1	0	1	0	0	1	0	0	0	0	0	0	1	1	0	6	3	3	67	811	3761	0	4572	733	3400	821	6	22	0
disjoint-h1-n1	FilterSmallest	true	0	true	1	0	1	0	2	0	0	1	0	0	0	0	0	0	1	1	0	8	4	4	80	811	4868	0	5679	736	3640	824	5	20	0
disjoint-h1-n1	Intersect	true	0	true	1	0	1	0	1	0	0	0	0	0	2	12	6	1	0	0	0	0	0	0	68	811	3403	0	4214	731	3685	819	5	15	0
disjoint-h1-n3	FilterFirst	true	0	true	1	0	1	0	1	0	0	4	0	0	0	0	0	0	10	8	0	18	6	11	143	811	7886	0	8697	733	5551	821	4	22	0
disjoint-h1-n3	FilterSmallest	true	0	true	1	0	1	0	2	0	0	2	0	0	0	0	0	0	4	5	0	24	8	13	162	811	9398	0	10209	736	5554	824	5	21	0
disjoint-h1-n3	Intersect	true	0	true	1	0	1	0	1	0	0	0	0	0	2	12	6	1	0	0	0	0	0	0	68	811	3403	0	4214	731	3685	819	5	12	0
disjoint-h1-n5	FilterFirst	true	0	true	1	0	1	0	1	0	0	18	0	0	0	0	0	0	80	54	0	30	21	47	655	811	30133	0	30944	733	15159	821	4	65	0
disjoint-h1-n5	FilterSmallest	true	0	true	1	0	1	0	2	0	0	4	0	0	0	0	0	0	14	21	1	40	28	51	671	811	29744	0	30555	736	15162	824	7	66	0
disjoint-h1-n5	Intersect	true	0	true	1	0	1	0	1	0	0	0	0	0	2	12	6	1	0	0	0	0	0	0	68	811	3403	0	4214	731	3685	819	3	9	0
disjoint-h1-n7	FilterFirst	true	0	true	1	0	1	0	1	0	0	93	0	0	0	0	0	0	605	353	0	42	48	239	4172	811	164687	0	165498	733	73382	821	4	388	0
disjoint-h1-n7	FilterSmallest	true	0	true	1	0	1	0	2	0	0	9	0	0	0	0	0	0	49	83	7	56	64	248	4038	811	146542	0	147353	736	73385	824	7	370	0
