case	mode	pass	solutions	exhausted	classes	retained_candidates	pattern_nodes	unions	domain_compares	enumeration_cache_hits	domain_cache_hits	filter_candidates	output_nodes	emitted	intersection_pairs	transition_pairs	productivity_checks	witness_nodes	ground_checks	membership_steps	membership_hits	enumeration_checks	size_partitions	enumeration_candidates	allocation_calls	build_requested	compile_requested	output_requested	requested_bytes	baseline_live	peak_live	final_live	build_us	compile_us	output_us
repeated-h1-n9	FilterFirst	true	550	true	1	550	1	0	0	0	0	0	4686	550	0	0	0	0	0	0	0	27	30	550	17798	259	402207	301326	703792	733	482801	482801	3	779	317
repeated-h1-n9	FilterSmallest	true	550	true	1	550	1	0	0	0	0	0	4686	550	0	0	0	0	0	0	0	27	30	550	17798	259	402207	301326	703792	736	482804	482804	2	617	317
repeated-h1-n9	Intersect	true	550	true	1	550	1	0	0	0	0	0	4686	550	0	0	1	1	0	0	0	27	30	550	17807	259	402467	301326	704052	731	482799	482799	5	960	458
repeated-h2-n1	FilterFirst	true	2	true	1	2	3	0	0	0	0	0	6	2	0	0	0	0	0	0	0	3	2	2	49	356	2517	390	3263	733	2611	1502	4	9	0
repeated-h2-n1	FilterSmallest	true	2	true	1	2	3	0	0	0	0	0	6	2	0	0	0	0	0	0	0	3	2	2	49	356	2517	390	3263	736	2614	1505	3	8	0
repeated-h2-n1	Intersect	true	2	true	1	2	3	0	0	0	0	0	6	2	0	0	1	1	0	0	0	3	2	2	58	356	2777	390	3523	731	2796	1500	7	8	0
repeated-h2-n3	FilterFirst	true	6	true	1	6	3	0	0	0	0	0	34	6	0	0	0	0	0	0	0	9	3	6	121	356	4295	1954	6605	733	3825	3462	4	11	2
repeated-h2-n3	FilterSmallest	true	6	true	1	6	3	0	0	0	0	0	34	6	0	0	0	0	0	0	0	9	3	6	121	356	4295	1954	6605	736	3828	3465	2	7	1
repeated-h2-n3	Intersect	true	6	true	1	6	3	0	0	0	0	0	34	6	0	0	1	1	0	0	0	9	3	6	130	356	4555	1954	6865	731	4010	3460	4	12	2
repeated-h2-n5	FilterFirst	true	22	true	1	22	3	0	0	0	0	0	210	22	0	0	0	0	0	0	0	15	8	22	574	356	12519	12114	24989	733	16294	16294	2	17	14
repeated-h2-n5	FilterSmallest	true	22	true	1	22	3	0	0	0	0	0	210	22	0	0	0	0	0	0	0	15	8	22	574	356	12519	12114	24989	736	16297	16297	3	26	22
repeated-h2-n5	Intersect	true	22	true	1	22	3	0	0	0	0	0	210	22	0	0	1	1	0	0	0	15	8	22	583	356	12779	12114	25249	731	16292	16292	4	29	22
repeated-h2-n7	FilterFirst	true	102	true	1	102	3	0	0	0	0	0	1410	102	0	0	0	0	0	0	0	21	17	102	3646	356	60755	76290	137401	733	103302	103302	2	89	94
repeated-h2-n7	FilterSmallest	true	102	true	1	102	3	0	0	0	0	0	1410	102	0	0	0	0	0	0	0	21	17	102	3646	356	60755	76290	137401	736	103305	103305	3	146	149
repeated-h2-n7	Intersect	true	102	true	1	102	3	0	0	0	0	0	1410	102	0	0	1	1	0	0	0	21	17	102	3655	356	61015	76290	137661	731	103300	103300	3	138	140
repeated-h2-n9	FilterFirst	true	550	true	1	550	3	0	0	0	0	0	9922	550	0	0	0	0	0	0	0	27	30	550	25654	356	402207	557890	960453	733	739462	739462	4	939	996
repeated-h2-n9	FilterSmallest	true	550	true	1	550	3	0	0	0	0	0	9922	550	0	0	0	0	0	0	0	27	30	550	25654	356	402207	557890	960453	736	739465	739465	3	915	913
repeated-h2-n9	Intersect	true	550	true	1	550	3	0	0	0	0	0	9922	550	0	0	1	1	0	0	0	27	30	550	25663	356	402467	557890	960713	731	739460	739460	4	1092	1104
repeated-h4-n1	FilterFirst	true	2	true	1	2	7	0	0	0	0	0	14	2	0	0	0	0	0	0	0	3	2	2	65	550	2517	782	3849	733	2805	2088	4	14	1
repeated-h4-n1	FilterSmallest	true	2	true	1	2	7	0	0	0	0	0	14	2	0	0	0	0	0	0	0	3	2	2	65	550	2517	782	3849	736	2808	2091	4	11	1
repeated-h4-n1	Intersect	true	2	true	1	2	7	0	0	0	0	0	14	2	0	0	1	1	0	0	0	3	2	2	74	550	2777	782	4109	731	2990	2086	4	11	1
repeated-h4-n3	FilterFirst	true	6	true	1	6	7	0	0	0	0	0	74	6	0	0	0	0	0	0	0	9	3	6	185	550	4295	3914	8759	733	5616	5616	2	10	5
repeated-h4-n3	FilterSmallest	true	6	true	1	6	7	0	0	0	0	0	74	6	0	0	0	0	0	0	0	9	3	6	185	550	4295	3914	8759	736	5619	5619	9	7	5
repeated-h4-n3	Intersect	true	6	true	1	6	7	0	0	0	0	0	74	6	0	0	1	1	0	0	0	9	3	6	194	550	4555	3914	9019	731	5614	5614	4	12	7
repeated-h4-n5	FilterFirst	true	22	true	1	22	7	0	0	0	0	0	442	22	0	0	0	0	0	0	0	15	8	22	926	550	12519	23482	36551	733	27856	27856	4	26	45
repeated-h4-n5	FilterSmallest	true	22	true	1	22	7	0	0	0	0	0	442	22	0	0	0	0	0	0	0	15	8	22	926	550	12519	23482	36551	736	27859	27859	7	27	43
repeated-h4-n5	Intersect	true	22	true	1	22	7	0	0	0	0	0	442	22	0	0	1	1	0	0	0	15	8	22	935	550	12779	23482	36811	731	27854	27854	4	27	44
repeated-h4-n7	FilterFirst	true	102	true	1	102	7	0	0	0	0	0	2922	102	0	0	0	0	0	0	0	21	17	102	5918	550	60755	150378	211683	733	177584	177584	4	100	223
repeated-h4-n7	FilterSmallest	true	102	true	1	102	7	0	0	0	0	0	2922	102	0	0	0	0	0	0	0	21	17	102	5918	550	60755	150378	211683	736	177587	177587	4	138	301
repeated-h4-n7	Intersect	true	102	true	1	102	7	0	0	0	0	0	2922	102	0	0	1	1	0	0	0	21	17	102	5927	550	61015	150378	211943	731	177582	177582	4	132	269
repeated-h4-n9	FilterFirst	true	550	true	1	550	7	0	0	0	0	0	20394	550	0	0	0	0	0	0	0	27	30	550	41366	550	402207	1071018	1473775	733	1252784	1252784	4	977	2115
repeated-h4-n9	FilterSmallest	true	550	true	1	550	7	0	0	0	0	0	20394	550	0	0	0	0	0	0	0	27	30	550	41366	550	402207	1071018	1473775	736	1252787	1252787	2	606	1410
repeated-h4-n9	Intersect	true	550	true	1	550	7	0	0	0	0	0	20394	550	0	0	1	1	0	0	0	27	30	550	41375	550	402467	1071018	1474035	731	1252782	1252782	3	619	1379
merged-h1-n1	FilterFirst	true	2	true	1	2	1	0	0	0	0	0	2	2	0	0	0	0	0	0	0	3	2	2	41	259	2517	194	2970	731	2512	1207	3	7	0
merged-h1-n1	FilterSmallest	true	2	true	1	2	1	0	0	0	0	0	2	2	0	0	0	0	0	0	0	3	2	2	41	259	2517	194	2970	734	2515	1210	3	8	0
merged-h1-n1	Intersect	true	2	true	1	2	1	0	0	0	0	0	2	2	0	0	1	1	0	0	0	3	2	2	50	259	2777	194	3230	729	2697	1205	2	7	0
merged-h1-n3	FilterFirst	true	6	true	1	6	1	0	0	0	0	0	14	6	0	0	0	0	0	0	0	9	3	6	89	259	4295	974	5528	731	3726	2383	2	7	0
merged-h1-n3	FilterSmallest	true	6	true	1	6	1	0	0	0	0	0	14	6	0	0	0	0	0	0	0	9	3	6	89	259	4295	974	5528	734	3729	2386	3	13	1
merged-h1-n3	Intersect	true	6	true	1	6	1	0	0	0	0	0	14	6	0	0	1	1	0	0	0	9	3	6	98	259	4555	974	5788	729	3911	2381	2	8	0
merged-h1-n5	FilterFirst	true	22	true	1	22	1	0	0	0	0	0	94	22	0	0	0	0	0	0	0	15	8	22	398	259	12519	6430	19208	731	10511	10511	6	26	10
merged-h1-n5	FilterSmallest	true	22	true	1	22	1	0	0	0	0	0	94	22	0	0	0	0	0	0	0	15	8	22	398	259	12519	6430	19208	734	10514	10514	5	25	9
merged-h1-n5	Intersect	true	22	true	1	22	1	0	0	0	0	0	94	22	0	0	1	1	0	0	0	15	8	22	407	259	12779	6430	19468	729	10509	10509	4	44	14
merged-h1-n7	FilterFirst	true	102	true	1	102	1	0	0	0	0	0	654	102	0	0	0	0	0	0	0	21	17	102	2510	259	60755	39246	100260	731	66159	66159	3	136	69
merged-h1-n7	FilterSmallest	true	102	true	1	102	1	0	0	0	0	0	654	102	0	0	0	0	0	0	0	21	17	102	2510	259	60755	39246	100260	734	66162	66162	3	134	65
merged-h1-n7	Intersect	true	102	true	1	102	1	0	0	0	0	0	654	102	0	0	1	1	0	0	0	21	17	102	2519	259	61015	39246	100520	729	66157	66157	3	153	60
merged-h1-n9	FilterFirst	true	550	true	1	550	1	0	0	0	0	0	4686	550	0	0	0	0	0	0	0	27	30	550	17798	259	402207	301326	703792	731	482799	482799	3	952	446
merged-h1-n9	FilterSmallest	true	550	true	1	550	1	0	0	0	0	0	4686	550	0	0	0	0	0	0	0	27	30	550	17798	259	402207	301326	703792	734	482802	482802	3	960	431
merged-h1-n9	Intersect	true	550	true	1	550	1	0	0	0	0	0	4686	550	0	0	1	1	0	0	0	27	30	550	17807	259	402467	301326	704052	729	482797	482797	3	954	447
merged-h2-n1	FilterFirst	true	2	true	1	2	3	1	1	0	0	0	6	2	0	0	0	0	0	0	0	3	2	2	57	615	2541	390	3546	731	2625	1508	7	16	0
merged-h2-n1	FilterSmallest	true	2	true	1	2	3	1	1	0	0	0	6	2	0	0	0	0	0	0	0	3	2	2	57	615	2541	390	3546	734	2628	1511	4	12	0
merged-h2-n1	Intersect	true	2	true	1	2	3	1	1	0	0	0	6	2	0	0	1	1	0	0	0	3	2	2	66	615	2801	390	3806	729	2810	1506	4	12	0
merged-h2-n3	FilterFirst	true	6	true	1	6	3	1	1	0	0	0	34	6	0	0	0	0	0	0	0	9	3	6	129	615	4319	1954	6888	731	3839	3468	4	13	2
merged-h2-n3	FilterSmallest	true	6	true	1	6	3	1	1	0	0	0	34	6	0	0	0	0	0	0	0	9	3	6	129	615	4319	1954	6888	734	3842	3471	4	12	2
merged-h2-n3	Intersect	true	6	true	1	6	3	1	1	0	0	0	34	6	0	0	1	1	0	0	0	9	3	6	138	615	4579	1954	7148	729	4024	3466	4	13	2
merged-h2-n5	FilterFirst	true	22	true	1	22	3	1	1	0	0	0	210	22	0	0	0	0	0	0	0	15	8	22	582	615	12543	12114	25272	731	16300	16300	4	27	20
merged-h2-n5	FilterSmallest	true	22	true	1	22	3	1	1	0	0	0	210	22	0	0	0	0	0	0	0	15	8	22	582	615	12543	12114	25272	734	16303	16303	4	28	21
merged-h2-n5	Intersect	true	22	true	1	22	3	1	1	0	0	0	210	22	0	0	1	1	0	0	0	15	8	22	591	615	12803	12114	25532	729	16298	16298	4	20	14
merged-h2-n7	FilterFirst	true	102	true	1	102	3	1	1	0	0	0	1410	102	0	0	0	0	0	0	0	21	17	102	3654	615	60779	76290	137684	731	103308	103308	3	129	135
merged-h2-n7	FilterSmallest	true	102	true	1	102	3	1	1	0	0	0	1410	102	0	0	0	0	0	0	0	21	17	102	3654	615	60779	76290	137684	734	103311	103311	6	135	157
merged-h2-n7	Intersect	true	102	true	1	102	3	1	1	0	0	0	1410	102	0	0	1	1	0	0	0	21	17	102	3663	615	61039	76290	137944	729	103306	103306	5	148	153
merged-h2-n9	FilterFirst	true	550	true	1	550	3	1	1	0	0	0	9922	550	0	0	0	0	0	0	0	27	30	550	25662	615	402231	557890	960736	731	739468	739468	4	987	1029
