case	mode	pass	quanta	projected_steps	expansions	projected_applications	introductions	projected_introductions	splits	failed	raw	answers	support_reads	support_writes	occurrence_scans	binding_scans	match_candidates	term_visits	term_copies	unification_pairs	occurs_visits	previewed	queue_scans	queue_refs	work_nodes	max_frontier	pending	retained_occurrences	variables	occurrence_births	binding_edges	tokens	support_memberships	observer_pairs	observer_scans	allocation_calls	requested_bytes	baseline_live	peak_live	final_live	elapsed_us
discriminate-k1-w1-n16	Singleton	true	28	28	3	3	20	20	1	0	2	2	101	160	163	10	8	173	1845	2	2	28	28	5	23	2	0	18	1	20	2	3	80	1	0	5134	156974	27893	82257	81769	227
discriminate-k1-w1-n16	Ready	true	28	28	3	3	20	20	1	0	2	2	109	160	249	14	12	184	1864	2	2	32	32	5	23	2	0	18	1	20	2	3	80	1	0	5169	158709	27889	82253	81765	304
discriminate-k1-w8-n0	Singleton	true	40	40	17	17	18	18	1	0	2	2	86	88	61	10	29	156	539	2	2	40	40	19	21	2	0	2	1	18	2	17	44	1	0	1463	77492	4450	18790	18302	110
discriminate-k1-w8-n0	Ready	true	40	40	17	17	18	18	1	0	2	2	129	88	123	14	54	237	824	2	2	72	72	19	21	2	0	2	1	18	2	17	44	1	0	2079	108039	4446	18786	18298	124
discriminate-k1-w8-n16	Singleton	true	56	56	17	17	34	34	1	0	2	2	150	216	765	10	29	292	2307	2	2	56	56	19	37	2	0	18	1	34	2	17	108	1	0	6314	219228	28236	88056	87568	378
discriminate-k1-w8-n16	Ready	true	56	56	17	17	34	34	1	0	2	2	193	216	1467	14	54	373	2592	2	2	88	88	19	37	2	0	18	1	34	2	17	108	1	0	6930	249775	28232	88052	87564	397
discriminate-k1-w64-n0	Singleton	true	264	264	129	129	130	130	1	0	2	2	478	536	397	10	197	1108	21875	2	2	264	264	131	133	2	0	2	1	130	2	129	268	1	0	46131	1391324	7196	66800	66312	2562
discriminate-k1-w64-n0	Ready	true	264	264	129	129	130	130	1	0	2	2	801	536	907	14	390	1749	34872	2	2	520	520	131	133	2	0	2	1	130	2	129	268	1	0	72563	2170983	7192	66796	66308	3239
discriminate-k1-w64-n16	Singleton	true	280	280	129	129	146	146	1	0	2	2	542	664	5581	10	197	1244	23643	2	2	280	280	131	149	2	0	18	1	146	2	129	332	1	0	51039	1583700	30982	136530	136042	3143
discriminate-k1-w64-n16	Ready	true	280	280	129	129	146	146	1	0	2	2	865	664	11211	14	390	1885	36640	2	2	536	536	131	149	2	0	18	1	146	2	129	332	1	0	77471	2363359	30978	136526	136038	4580
discriminate-k2-w1-n0	Singleton	true	27	27	7	7	7	7	3	0	4	4	186	114	100	49	29	118	273	6	6	27	27	13	16	4	0	4	2	7	4	6	48	8	0	696	45472	7587	22493	22005	55
discriminate-k2-w1-n0	Ready	true	26	27	6	7	7	7	3	0	4	4	313	114	195	102	72	241	524	6	6	51	52	13	13	4	0	4	2	7	4	6	48	8	0	1018	58694	7583	22489	22001	63
discriminate-k2-w1-n16	Singleton	true	43	43	7	7	23	23	3	0	4	4	346	434	580	49	29	254	3673	6	6	43	43	13	32	4	0	20	2	23	4	6	176	8	0	9418	281816	47725	138767	138279	565
discriminate-k2-w1-n16	Ready	true	42	43	6	7	23	23	3	0	4	4	473	434	1459	102	72	377	3924	6	6	67	68	13	29	4	0	20	2	23	4	6	176	8	0	9740	295038	47721	138763	138275	607
discriminate-k2-w8-n0	Singleton	true	83	83	35	35	35	35	3	0	4	4	347	226	275	49	99	475	1414	6	6	83	83	41	44	4	0	4	2	35	4	34	104	8	0	3309	164699	7930	34116	33628	245
discriminate-k2-w8-n0	Ready	true	82	83	34	35	35	35	3	0	4	4	1041	226	1175	102	352	1312	3849	6	6	275	276	41	41	4	0	4	2	35	4	34	104	8	0	7761	366333	7926	34112	33624	653
discriminate-k2-w8-n16	Singleton	true	99	99	35	35	51	51	3	0	4	4	507	546	2323	49	99	611	4814	6	6	99	99	41	60	4	0	20	2	51	4	34	232	8	0	12030	400579	48068	149926	149438	990
discriminate-k2-w8-n16	Ready	true	98	99	34	35	51	51	3	0	4	4	1201	546	8711	102	352	1448	7249	6	6	291	292	41	57	4	0	20	2	51	4	34	232	8	0	16482	602213	48064	149922	149434	909
discriminate-k2-w64-n0	Singleton	true	531	531	259	259	259	259	3	0	4	4	1635	1122	1675	49	659	3331	45822	6	6	531	531	265	268	4	0	4	2	259	4	258	552	8	0	94774	2847987	10676	127854	127366	5118
discriminate-k2-w64-n0	Ready	true	530	531	258	259	259	259	3	0	4	4	6865	1122	9015	102	2592	9880	129233	6	6	2067	2068	265	265	4	0	4	2	259	4	258	552	8	0	259274	7668613	10672	127850	127362	11500
discriminate-k2-w64-n16	Singleton	true	547	547	259	259	275	275	3	0	4	4	1795	1442	16267	49	659	3467	49222	6	6	547	547	265	284	4	0	20	2	275	4	258	680	8	0	103495	3083867	50814	243664	243176	5028
discriminate-k2-w64-n16	Ready	true	546	547	258	259	275	275	3	0	4	4	7025	1442	66727	102	2592	10016	132633	6	6	2083	2084	265	281	4	0	20	2	275	4	258	680	8	0	267995	7904493	50810	243660	243172	13294
discriminate-k4-w1-n0	Singleton	true	113	113	31	31	21	21	15	0	16	16	5470	870	4534	605	407	1378	3723	30	30	113	113	61	66	16	0	16	4	21	8	20	320	208	0	5417	268916	33065	99025	98537	303
discriminate-k4-w1-n0	Ready	true	102	113	20	31	21	21	15	0	16	16	30291	870	26882	4449	3475	10609	27713	30	30	593	604	61	33	16	0	16	4	21	8	20	320	208	0	29649	1078806	33061	99021	98533	2075
discriminate-k4-w1-n16	Singleton	true	129	129	31	31	37	37	15	0	16	16	6206	2342	11062	605	407	1514	16915	30	30	129	129	61	82	16	0	32	4	37	8	20	832	208	0	37470	1119132	171075	511075	510587	2281
discriminate-k4-w1-n16	Ready	true	118	129	20	31	37	37	15	0	16	16	31027	2342	84418	4449	3475	10745	40905	30	30	609	620	61	49	16	0	32	4	37	8	20	832	208	0	61702	1929022	171071	511071	510583	3530
discriminate-k4-w8-n0	Singleton	true	337	337	143	143	133	133	15	0	16	16	12050	1318	11842	605	1359	5137	13866	30	30	337	337	173	178	16	0	16	4	133	8	132	544	208	0	22923	944785	33408	143368	142880	1111
discriminate-k4-w8-n0	Ready	true	326	337	132	143	133	133	15	0	16	16	184627	1318	200146	4449	18707	60568	162176	30	30	4177	4188	173	145	16	0	16	4	133	8	132	544	208	0	229659	8042915	33404	143364	142876	13754
discriminate-k4-w8-n16	Singleton	true	353	353	143	143	149	149	15	0	16	16	12786	2790	35394	605	1359	5273	27058	30	30	353	353	173	194	16	0	32	4	149	8	132	1056	208	0	54977	1794793	171418	555882	555394	2729
discriminate-k4-w8-n16	Ready	true	342	353	132	143	149	149	15	0	16	16	185363	2790	530066	4449	18707	60704	175368	30	30	4193	4204	173	161	16	0	32	4	149	8	132	1056	208	0	261713	8892923	171414	555878	555390	14565
discriminate-k4-w64-n0	Singleton	true	2129	2129	1039	1039	1029	1029	15	0	16	16	64690	4902	70306	605	8975	35209	236130	30	30	2129	2129	1069	1074	16	0	16	4	1029	8	1028	2336	208	0	445233	13279513	36154	511010	510522	20782
discriminate-k4-w64-n0	Ready	true	2118	2129	1028	1039	1029	1029	15	0	16	16	1419315	4902	1586258	4449	140563	460240	2649080	30	30	32849	32860	1069	1041	16	0	16	4	1029	8	1028	2336	208	0	4652161	132917483	36150	511006	510518	232435
discriminate-k4-w64-n16	Singleton	true	2145	2145	1039	1039	1045	1045	15	0	16	16	65426	6374	230050	605	8975	35345	249322	30	30	2145	2145	1069	1090	16	0	32	4	1045	8	1028	2848	208	0	477286	14123681	174164	923060	922572	26348
discriminate-k4-w64-n16	Ready	true	2134	2145	1028	1039	1045	1045	15	0	16	16	1420051	6374	4095250	4449	140563	460376	2662272	30	30	32865	32876	1069	1057	16	0	32	4	1045	8	1028	2848	208	0	4684214	133761651	174160	923056	922568	238827
