case	mode	pass	steps	applications	introductions	equations	pairs	dereferences	occurs	head_candidates	splits	failed	raw	answers	max_frontier	pending	map_visits	map_allocations	snapshot_copies	pending_allocations	term_requests	term_nodes	observer_pairs	observer_scans	allocation_calls	requested_bytes	baseline_live	peak_live	final_live	elapsed_us
U02-self	Persistent	true	4	1	1	1	1	6	0	1	0	0	1	1	1	0	2	2	0	2	0	0	0	0	44	3287	2469	4077	3885	14
U02-self	Copy	true	4	1	1	1	1	6	0	1	0	0	1	1	1	0	2	2	0	2	0	0	0	0	44	3287	2463	4071	3879	38
U03-alias	Persistent	true	6	1	1	2	2	8	3	1	0	0	1	1	1	0	9	5	0	4	2	2	0	0	75	4655	2764	5308	4996	21
U03-alias	Copy	true	6	1	1	2	2	8	3	1	0	0	1	1	1	0	9	5	0	4	2	2	0	0	75	4655	2758	5302	4990	23
U04-occurs	Persistent	true	5	1	1	2	2	7	4	1	0	1	0	0	1	0	5	3	0	4	1	1	0	0	51	3529	2510	4741	3949	17
U04-occurs	Copy	true	5	1	1	2	2	7	4	1	0	1	0	0	1	0	5	3	0	4	1	1	0	0	51	3529	2504	4735	3943	14
U05-conditional-occurs	Persistent	true	6	1	1	2	2	7	3	1	1	1	1	1	2	0	4	3	0	4	2	2	0	0	71	4763	2740	5312	5064	19
U05-conditional-occurs	Copy	true	6	1	1	2	2	7	3	1	1	1	1	1	2	0	4	4	1	4	2	2	0	0	73	4843	2734	5306	5058	18
U06-union-cycle	Persistent	true	7	1	1	2	2	12	4	1	1	0	2	2	2	0	8	4	0	4	2	2	1	0	90	5610	3075	6417	5977	28
U06-union-cycle	Copy	true	7	1	1	2	2	12	4	1	1	0	2	2	2	0	8	5	1	4	2	2	1	0	92	5690	3069	6411	5971	27
V01-fresh	Persistent	true	7	2	4	0	0	2	0	2	0	0	1	1	1	0	15	12	0	4	0	0	0	0	69	4162	2331	4158	3774	27
V01-fresh	Copy	true	7	2	4	0	0	2	0	2	0	0	1	1	1	0	15	12	0	4	0	0	0	0	69	4162	2325	4152	3768	18
app-add-decompose	Persistent	true	40	4	4	16	19	44	28	4	4	1	4	4	2	0	138	63	0	33	16	12	10	0	416	21922	5401	13827	12699	47
app-add-decompose	Copy	true	40	4	4	16	19	44	28	4	4	1	4	4	2	0	138	85	22	33	16	12	10	0	448	23490	5395	14263	12693	54
app-add-failure	Persistent	true	24	3	3	9	14	12	9	3	3	4	0	0	2	0	33	24	0	25	16	10	0	0	215	13366	4046	9930	8478	33
app-add-failure	Copy	true	24	3	3	9	14	12	9	3	3	4	0	0	2	0	33	36	12	25	16	10	0	0	233	14230	4040	10052	8472	46
app-add-forward	Persistent	true	25	3	3	9	11	15	11	3	3	3	1	1	2	0	41	27	0	25	16	10	0	0	253	14891	4418	10504	9884	42
app-add-forward	Copy	true	25	3	3	9	11	15	11	3	3	3	1	1	2	0	41	39	12	25	16	10	0	0	271	15755	4412	10498	9878	34
app-add-left	Persistent	true	55	6	6	24	38	37	33	6	6	6	1	1	2	0	159	99	0	49	28	18	0	0	466	28606	4412	13816	11536	107
