case	mode	pass	quanta	projected_steps	expansions	projected_applications	introductions	projected_introductions	splits	failed	raw	answers	support_reads	support_writes	occurrence_scans	binding_scans	match_candidates	term_visits	term_copies	unification_pairs	occurs_visits	previewed	queue_scans	queue_refs	work_nodes	max_frontier	pending	retained_occurrences	variables	occurrence_births	binding_edges	tokens	support_memberships	observer_pairs	observer_scans	allocation_calls	requested_bytes	baseline_live	peak_live	final_live	elapsed_us
carry-k3-w0-n0	Ready	true	36	40	3	7	4	4	7	0	8	8	244	300	30	106	15	50	222	14	14	40	44	21	13	8	0	1	3	4	6	3	112	44	0	685	60955	8206	26267	25779	74
carry-k3-w0-n3	Singleton	true	43	43	7	7	7	7	7	0	8	8	314	432	78	106	15	68	284	14	14	43	43	21	28	8	0	4	3	7	6	3	160	44	0	1016	72270	12059	37353	36865	145
carry-k3-w0-n3	Ready	true	39	43	3	7	7	7	7	0	8	8	310	432	78	106	15	56	276	14	14	43	47	21	16	8	0	4	3	7	6	3	160	44	0	988	70150	12055	37349	36861	91
carry-k3-w1-n0	Singleton	true	56	56	15	15	12	12	7	0	8	8	391	332	158	106	23	103	407	14	14	56	56	29	33	8	0	8	3	12	6	4	128	44	0	1002	89342	8259	30591	30103	283
carry-k3-w1-n0	Ready	true	38	56	4	15	5	12	7	0	8	8	268	332	46	106	23	112	329	14	14	56	74	29	14	8	0	1	3	5	6	4	128	44	0	846	78576	8255	26556	26068	116
carry-k3-w1-n3	Singleton	true	59	59	15	15	15	15	7	0	8	8	457	464	230	106	23	109	461	14	14	59	59	29	36	8	0	11	3	15	6	4	176	44	0	1305	98537	12108	41673	41185	117
carry-k3-w1-n3	Ready	true	41	59	4	15	8	15	7	0	8	8	334	464	118	106	23	118	383	14	14	59	77	29	17	8	0	4	3	8	6	4	176	44	0	1149	87771	12104	37638	37150	118
carry-k3-w4-n0	Singleton	true	104	104	39	39	36	36	7	0	8	8	463	428	290	106	47	226	1178	14	14	104	104	53	57	8	0	8	3	36	6	28	176	44	0	2371	183319	8406	40226	39738	173
carry-k3-w4-n0	Ready	true	44	104	7	39	8	36	7	0	8	8	340	428	94	106	47	340	806	14	14	104	164	53	17	8	0	1	3	8	6	7	176	44	0	1641	139083	8402	27423	26935	138
carry-k3-w4-n3	Singleton	true	107	107	39	39	39	39	7	0	8	8	529	560	506	106	47	232	1232	14	14	107	107	53	60	8	0	11	3	39	6	28	224	44	0	2674	192514	12255	51308	50820	193
carry-k3-w4-n3	Ready	true	47	107	7	39	11	39	7	0	8	8	406	560	310	106	47	346	860	14	14	107	167	53	20	8	0	4	3	11	6	7	224	44	0	1944	148278	12251	38505	38017	201
grid-carry-k0-w0-n0	Singleton	true	2	2	0	0	1	1	0	0	1	1	2	2	2	0	1	4	6	0	0	2	2	0	1	1	0	1	0	1	0	0	2	0	0	62	5411	2319	6076	5764	28
grid-carry-k0-w0-n0	Ready	true	2	2	0	0	1	1	0	0	1	1	2	2	2	0	1	4	6	0	0	2	2	0	1	1	0	1	0	1	0	0	2	0	0	62	5411	2315	6072	5760	20
grid-carry-k0-w0-n16	Singleton	true	18	18	0	0	17	17	0	0	1	1	18	34	34	0	1	140	278	0	0	18	18	0	17	1	0	17	0	17	0	0	34	0	0	1605	55995	18049	51158	50078	107
grid-carry-k0-w0-n16	Ready	true	18	18	0	0	17	17	0	0	1	1	18	34	34	0	1	140	278	0	0	18	18	0	17	1	0	17	0	17	0	0	34	0	0	1605	55995	18045	51154	50074	82
grid-carry-k0-w0-n128	Singleton	true	130	130	0	0	129	129	0	0	1	1	130	258	258	0	1	8260	16518	0	0	130	130	0	129	1	0	129	0	129	0	0	258	0	0	84076	2173027	831955	2129664	2123208	4829
grid-carry-k0-w0-n128	Ready	true	130	130	0	0	129	129	0	0	1	1	130	258	258	0	1	8260	16518	0	0	130	130	0	129	1	0	129	0	129	0	0	258	0	0	84076	2173027	831951	2129660	2123204	4046
grid-carry-k0-w1-n0	Singleton	true	4	4	1	1	2	2	0	0	1	1	5	6	4	0	2	10	17	0	0	4	4	1	2	1	0	1	0	2	0	1	4	0	0	101	8866	2368	6997	6685	28
grid-carry-k0-w1-n0	Ready	true	4	4	1	1	2	2	0	0	1	1	5	6	4	0	2	10	17	0	0	4	4	1	2	1	0	1	0	2	0	1	4	0	0	101	8866	2364	6993	6681	25
grid-carry-k0-w1-n16	Singleton	true	20	20	1	1	18	18	0	0	1	1	21	38	52	0	2	146	289	0	0	20	20	1	18	1	0	17	0	18	0	1	36	0	0	1644	59450	18098	52079	50999	99
grid-carry-k0-w1-n16	Ready	true	20	20	1	1	18	18	0	0	1	1	21	38	52	0	2	146	289	0	0	20	20	1	18	1	0	17	0	18	0	1	36	0	0	1644	59450	18094	52075	50995	95
grid-carry-k0-w1-n128	Singleton	true	132	132	1	1	130	130	0	0	1	1	133	262	388	0	2	8266	16529	0	0	132	132	1	130	1	0	129	0	130	0	1	260	0	0	84115	2176482	832004	2130585	2124129	3919
grid-carry-k0-w1-n128	Ready	true	132	132	1	1	130	130	0	0	1	1	133	262	388	0	2	8266	16529	0	0	132	132	1	130	1	0	129	0	130	0	1	260	0	0	84115	2176482	832000	2130581	2124125	4241
grid-carry-k0-w8-n0	Singleton	true	18	18	8	8	9	9	0	0	1	1	26	34	18	0	9	52	234	0	0	18	18	8	9	1	0	1	0	9	0	8	18	0	0	647	35487	2711	9155	8708	50
grid-carry-k0-w8-n0	Ready	true	18	18	8	8	9	9	0	0	1	1	26	34	18	0	9	52	234	0	0	18	18	8	9	1	0	1	0	9	0	8	18	0	0	647	35487	2707	9151	8704	68
grid-carry-k0-w8-n16	Singleton	true	34	34	8	8	25	25	0	0	1	1	42	66	290	0	9	188	506	0	0	34	34	8	25	1	0	17	0	25	0	8	50	0	0	2191	86439	18441	54470	53390	136
grid-carry-k0-w8-n16	Ready	true	34	34	8	8	25	25	0	0	1	1	42	66	290	0	9	188	506	0	0	34	34	8	25	1	0	17	0	25	0	8	50	0	0	2191	86439	18437	54466	53386	191
grid-carry-k0-w8-n128	Singleton	true	146	146	8	8	137	137	0	0	1	1	154	290	2194	0	9	8308	16746	0	0	146	146	8	137	1	0	129	0	137	0	8	274	0	0	84662	2203471	832347	2132976	2126520	4789
grid-carry-k0-w8-n128	Ready	true	146	146	8	8	137	137	0	0	1	1	154	290	2194	0	9	8308	16746	0	0	146	146	8	137	1	0	129	0	137	0	8	274	0	0	84662	2203471	832343	2132972	2126516	3895
