case	mode	pass	steps	applications	expansions	cache_hits	cache_misses	cache_retained	rules_examined	occurrence_scans	candidates	binding_reads	term_visits	unification_pairs	occurs_visits	fresh_variables	work_nodes	snapshot_entries	introductions	splits	failed	raw	answers	max_frontier	pending	retained_roots	retained_bindings	retained_pending	observer_pairs	observer_scans	allocation_calls	requested_bytes	baseline_live	peak_live	final_live	elapsed_us
M02-nonbinding	Local	true	2	0	0	0	0	0	1	1	1	3	5	0	0	1	1	0	1	0	0	1	1	1	0	0	0	0	0	0	41	3610	1330	3609	2655	10
M02-nonbinding	Cached	true	2	0	0	0	0	0	1	1	1	3	5	0	0	1	1	0	1	0	0	1	1	1	0	0	0	0	0	0	41	3610	1331	3610	2656	8
S01-finite-sibling	General	true	200	98	98	0	0	0	197	195	98	2	6	1	1	1	101	0	99	1	0	1	1	2	1	1	0	0	0	0	937	47041	1706	5259	4308	61
S01-finite-sibling	Local	true	200	98	98	0	0	0	197	98	98	2	6	1	1	1	101	0	99	1	0	1	1	2	1	1	0	0	0	0	840	46265	1704	5257	4306	58
S01-finite-sibling	Cached	true	200	98	98	0	98	98	197	98	98	2	6	1	1	1	101	0	99	1	0	1	1	2	1	1	0	0	0	0	858	56433	1705	33055	33051	72
U01-clash	General	true	3	1	1	0	0	0	1	1	1	0	8	1	0	2	2	0	1	0	1	0	0	1	0	0	0	0	0	0	41	4979	1242	4215	1822	12
U01-clash	Local	true	3	1	1	0	0	0	1	1	1	0	8	1	0	2	2	0	1	0	1	0	0	1	0	0	0	0	0	0	41	4979	1240	4213	1820	11
U01-clash	Cached	true	3	1	1	0	1	1	1	1	1	0	8	1	0	2	2	0	1	0	1	0	0	1	0	0	0	0	0	0	43	6155	1241	5390	3111	11
U02-self	General	true	4	1	1	0	0	0	2	1	1	4	10	1	0	2	2	0	1	0	0	1	1	1	0	0	0	0	0	0	43	5856	1442	4411	2708	12
U02-self	Local	true	4	1	1	0	0	0	2	1	1	4	10	1	0	2	2	0	1	0	0	1	1	1	0	0	0	0	0	0	43	5856	1440	4409	2706	28
U02-self	Cached	true	4	1	1	0	1	1	2	1	1	4	10	1	0	2	2	0	1	0	0	1	1	1	0	0	0	0	0	0	45	7032	1441	5586	3995	13
U03-alias	General	true	6	1	1	0	0	0	2	1	1	6	14	2	3	2	4	1	1	0	0	1	1	1	0	0	0	0	0	0	75	8047	1737	5238	3347	21
U03-alias	Local	true	6	1	1	0	0	0	2	1	1	6	14	2	3	2	4	1	1	0	0	1	1	1	0	0	0	0	0	0	75	8047	1735	5236	3345	14
