case	mode	pass	success	input_nodes	calls	computed	hits	cache_entries	residual_refs	certificate_rules	certificate_terms	residuals	allocation_calls	build_requested	solve_requested	export_requested	requested_bytes	baseline_live	peak_live	final_live	build_us	solve_us	export_us
failure-d0-r64	Memo	true	false	2	1	1	0	1	0	4	18	0	114	7146	456	0	7602	726	6452	1832	10	0	0
failure-d1-r1	Direct	true	false	3	2	2	0	0	0	4	18	0	116	6723	0	0	6723	727	6030	954	10	0	0
failure-d1-r1	Memo	true	false	3	2	2	0	2	0	4	18	0	117	6723	456	0	7179	725	6028	1408	12	0	0
failure-d1-r8	Direct	true	false	3	2	2	0	0	0	4	18	0	116	6779	0	0	6779	727	6086	1010	11	0	0
failure-d1-r8	Memo	true	false	3	2	2	0	2	0	4	18	0	117	6779	456	0	7235	725	6084	1464	11	0	0
failure-d1-r64	Direct	true	false	3	2	2	0	0	0	4	18	0	116	7227	0	0	7227	728	6535	1459	11	0	0
failure-d1-r64	Memo	true	false	3	2	2	0	2	0	4	18	0	117	7227	456	0	7683	726	6533	1913	11	2	0
failure-d4-r1	Direct	true	false	6	5	5	0	0	0	4	18	0	125	6966	0	0	6966	727	6273	1197	11	0	0
failure-d4-r1	Memo	true	false	6	5	5	0	5	0	4	18	0	126	6966	456	0	7422	725	6271	1651	15	0	0
failure-d4-r8	Direct	true	false	6	5	5	0	0	0	4	18	0	125	7022	0	0	7022	727	6329	1253	12	0	0
failure-d4-r8	Memo	true	false	6	5	5	0	5	0	4	18	0	126	7022	456	0	7478	725	6327	1707	11	2	0
failure-d4-r64	Direct	true	false	6	5	5	0	0	0	4	18	0	125	7470	0	0	7470	728	6778	1702	14	0	0
failure-d4-r64	Memo	true	false	6	5	5	0	5	0	4	18	0	126	7470	456	0	7926	726	6776	2156	14	0	0
failure-d8-r1	Direct	true	false	10	9	9	0	0	0	4	18	0	137	7290	0	0	7290	727	6597	1521	13	0	0
failure-d8-r1	Memo	true	false	10	9	9	0	9	0	4	18	0	138	7290	456	0	7746	725	6595	1975	16	0	0
failure-d8-r8	Direct	true	false	10	9	9	0	0	0	4	18	0	137	7346	0	0	7346	727	6653	1577	17	0	0
failure-d8-r8	Memo	true	false	10	9	9	0	9	0	4	18	0	138	7346	456	0	7802	725	6651	2031	17	1	0
failure-d8-r64	Direct	true	false	10	9	9	0	0	0	4	18	0	137	7794	0	0	7794	728	7102	2026	14	0	0
failure-d8-r64	Memo	true	false	10	9	9	0	9	0	4	18	0	138	7794	456	0	8250	726	7100	2480	15	0	0
failure-d12-r1	Direct	true	false	14	13	13	0	0	0	4	18	0	149	7614	0	0	7614	728	6922	1846	15	0	0
failure-d12-r1	Memo	true	false	14	13	13	0	13	0	4	18	0	152	7614	1464	0	9078	726	6920	3308	18	1	0
failure-d12-r8	Direct	true	false	14	13	13	0	0	0	4	18	0	149	7670	0	0	7670	728	6978	1902	15	0	0
failure-d12-r8	Memo	true	false	14	13	13	0	13	0	4	18	0	152	7670	1464	0	9134	726	6976	3364	14	1	0
failure-d12-r64	Direct	true	false	14	13	13	0	0	0	4	18	0	149	8118	0	0	8118	729	7427	2351	15	0	0
failure-d12-r64	Memo	true	false	14	13	13	0	13	0	4	18	0	152	8118	1464	0	9582	727	7425	3813	14	1	0
unshared-d0-r1	Direct	true	true	1	1	1	0	0	0	4	18	0	112	6569	0	76	6645	728	5877	877	14	0	0
