case	mode	pass	steps	pairs	root_reads	output_root_reads	absence_visits	occurs_visits	splits	copied_entries	completed_regions	failed_regions	eager_projection_visits	output_projection_visits	eager_nodes	bindings	raw	answers	max_frontier	retained_regions	observer_pairs	observer_scans	observer_backtracks	allocation_calls	construct_requested	solve_requested	observe_requested	requested_bytes	baseline_live	peak_live	final_live	construct_us	solve_us	observe_us
opaque-k4-w8	Eager	true	32	16	320	224	208	0	0	0	16	0	224	208	224	16	16	16	16	16	1288	0	0	1192	1547	27448	20936	49931	12197	47984	47088	3	65	44
opaque-k4-w8	Named	true	2	1	2	288	21	0	0	0	1	0	0	208	0	1	16	16	1	1	1288	0	0	519	1547	1536	19784	22867	12197	26896	26000	5	3	41
opaque-k4-w64	Eager	true	32	16	1216	1120	1104	0	0	0	16	0	1120	1104	1120	16	16	16	16	16	8008	0	0	5992	5635	110200	64840	180675	56102	205289	204393	12	244	190
opaque-k4-w64	Named	true	2	1	2	1184	77	0	0	0	1	0	0	1104	0	1	16	16	1	1	8008	0	0	2496	5635	3400	63688	72723	56102	118793	117897	12	11	402
opaque-k4-w256	Eager	true	32	16	4288	4192	4176	0	0	0	16	0	4192	4176	4192	16	16	16	16	16	31048	0	0	22488	19651	400856	215368	635875	206631	744618	743722	39	1043	1076
opaque-k4-w256	Named	true	2	1	2	4256	269	0	0	0	1	0	0	4176	0	1	16	16	1	1	31048	0	0	9281	19651	11120	214216	244987	206631	433866	432970	42	35	1006
opaque-k8-w0	Eager	true	512	256	5120	2560	2304	0	0	0	256	0	2560	2304	2560	256	256	256	256	256	96896	0	0	10876	1771	371728	297648	671147	134101	558784	544448	3	546	1400
opaque-k8-w0	Named	true	2	1	2	4608	25	0	0	0	1	0	0	2304	0	1	256	256	1	1	96896	0	0	4211	1771	1736	279216	282723	134101	284368	270032	3	4	1372
opaque-k8-w1	Eager	true	512	256	5376	2816	2560	0	0	0	256	0	2816	2560	2816	256	256	256	256	256	129536	0	0	12159	1844	390416	310192	702452	146645	602633	588297	3	543	1665
opaque-k8-w1	Named	true	2	1	2	4864	26	0	0	0	1	0	0	2560	0	1	256	256	1	1	129536	0	0	4726	1844	1736	291760	295340	146645	309529	295193	3	5	1575
opaque-k8-w8	Eager	true	512	256	7168	4608	4352	0	0	0	256	0	4608	4352	4608	256	256	256	256	256	358016	0	0	21141	2355	521336	398000	921691	234453	909576	895240	3	597	2234
opaque-k8-w8	Named	true	2	1	2	6656	33	0	0	0	1	0	0	4352	0	1	256	256	1	1	358016	0	0	8332	2355	1840	379568	383763	234453	485656	471320	5	4	1966
opaque-k8-w64	Eager	true	512	256	21504	18944	18688	0	0	0	256	0	18944	18688	18944	256	256	256	256	256	2185856	0	0	95303	6443	1833288	1100464	2940195	936918	3365121	3350785	13	4580	22070
opaque-k8-w64	Named	true	2	1	2	20992	89	0	0	0	1	0	0	18688	0	1	256	256	1	1	2185856	0	0	37191	6443	4104	1082032	1092579	936918	1894673	1880337	9	10	20676
