case	mode	pass	steps	pairs	root_reads	output_root_reads	absence_visits	occurs_visits	splits	copied_entries	completed_regions	failed_regions	eager_projection_visits	output_projection_visits	eager_nodes	bindings	raw	answers	max_frontier	retained_regions	observer_pairs	observer_scans	observer_backtracks	allocation_calls	construct_requested	solve_requested	observe_requested	requested_bytes	baseline_live	peak_live	final_live	construct_us	solve_us	observe_us
correlated-k8-w0	Eager	true	2560	2304	13312	0	0	0	0	0	256	0	4608	0	4608	0	256	1	256	256	0	0	0	11682	3382	479304	86832	569518	921	379647	92559	6	1153	742
correlated-k8-w0	Named	true	1022	766	2552	0	0	0	255	2040	256	0	0	0	0	0	256	1	256	256	0	0	0	1443	3382	100920	86832	191134	921	87247	67951	5	93	562
correlated-k8-w1	Eager	true	2816	2560	14336	0	0	0	0	0	256	0	5120	0	5120	0	256	1	256	256	0	0	0	13224	3528	516680	86832	607040	921	417169	92705	3	664	371
correlated-k8-w1	Named	true	1023	767	2554	0	0	0	255	2040	256	0	0	0	0	0	256	1	256	256	0	0	0	1449	3528	100920	86832	191280	921	87393	68097	5	92	549
correlated-k8-w8	Eager	true	4608	4352	21504	0	0	0	0	0	256	0	8704	0	8704	0	256	1	256	256	0	0	0	24020	4550	778520	86832	869902	921	680031	93727	6	1752	317
correlated-k8-w8	Named	true	1030	774	2568	0	0	0	255	2040	256	0	0	0	0	0	256	1	256	256	0	0	0	1493	4550	101128	86832	192510	921	88415	69119	6	102	568
correlated-k8-w64	Eager	true	18944	18688	78848	0	0	0	0	0	256	0	37376	0	37376	0	256	1	256	256	0	0	0	110391	12726	2873840	86832	2973398	922	2783528	101904	22	10511	304
correlated-k8-w64	Named	true	1086	830	2680	0	0	0	255	2040	256	0	0	0	0	0	256	1	256	256	0	0	0	1848	12726	103392	86832	202950	922	96592	77296	29	97	550
correlated-k8-w256	Eager	true	68096	67840	275456	0	0	0	0	0	256	0	135680	0	135680	0	256	1	256	256	0	0	0	406518	40758	10057352	86832	10184942	923	9995073	129937	77	36278	271
correlated-k8-w256	Named	true	1278	1022	3064	0	0	0	255	2040	256	0	0	0	0	0	256	1	256	256	0	0	0	3063	40758	110712	86832	238302	923	124625	105329	86	146	610
discriminate-k0-w0	Eager	true	2	1	4	0	0	0	0	0	1	0	2	0	2	0	1	1	1	1	0	0	0	17	150	846	520	1516	923	2081	1857	1	3	1
discriminate-k0-w0	Named	true	2	1	2	0	0	0	0	0	1	0	0	0	0	0	1	1	1	1	0	0	0	13	150	712	520	1382	923	2081	1857	0	1	1
discriminate-k0-w1	Eager	true	3	2	8	0	0	0	0	0	1	0	4	0	4	0	1	1	1	1	0	0	0	29	296	992	520	1808	923	2227	2003	1	3	1
discriminate-k0-w1	Named	true	3	2	4	0	0	0	0	0	1	0	0	0	0	0	1	1	1	1	0	0	0	19	296	712	520	1528	923	2227	2003	0	3	1
discriminate-k0-w8	Eager	true	10	9	36	0	0	0	0	0	1	0	18	0	18	0	1	1	1	1	0	0	0	115	1318	2318	520	4156	923	4271	3025	2	9	1
discriminate-k0-w8	Named	true	10	9	18	0	0	0	0	0	1	0	0	0	0	0	1	1	1	1	0	0	0	63	1318	1016	520	2854	923	3249	3025	2	4	1
discriminate-k0-w64	Eager	true	66	65	260	0	0	0	0	0	1	0	130	0	130	0	1	1	1	1	0	0	0	805	9494	12558	520	22572	924	22688	11202	17	43	1
discriminate-k0-w64	Named	true	66	65	130	0	0	0	0	0	1	0	0	0	0	0	1	1	1	1	0	0	0	417	9494	3080	520	13094	924	13210	11202	17	11	1
discriminate-k0-w256	Eager	true	258	257	1028	0	0	0	0	0	1	0	514	0	514	0	1	1	1	1	0	0	0	3172	37526	47910	520	85956	925	86073	39235	72	165	1
discriminate-k0-w256	Named	true	258	257	514	0	0	0	0	0	1	0	0	0	0	0	1	1	1	1	0	0	0	1632	37526	10400	520	48446	925	48563	39235	80	31	2
discriminate-k1-w0	Eager	true	5	4	18	0	0	0	0	0	1	1	8	0	8	0	1	1	2	1	0	0	0	50	425	1448	672	2545	923	2492	2204	3	4	1
discriminate-k1-w0	Named	true	5	4	10	0	0	0	1	1	1	1	0	0	0	0	1	1	2	1	0	0	0	28	425	872	672	1969	923	2428	2204	1	2	1
discriminate-k1-w1	Eager	true	7	6	26	0	0	0	0	0	1	1	12	0	12	0	1	1	2	1	0	0	0	68	571	1740	672	2983	923	2930	2350	1	6	1
discriminate-k1-w1	Named	true	6	5	12	0	0	0	1	1	1	1	0	0	0	0	1	1	2	1	0	0	0	34	571	872	672	2115	923	2574	2350	1	2	1
discriminate-k1-w8	Eager	true	21	20	82	0	0	0	0	0	1	1	40	0	40	0	1	1	2	1	0	0	0	197	1593	4192	672	6457	923	6404	3372	2	12	1
discriminate-k1-w8	Named	true	13	12	26	0	0	0	1	1	1	1	0	0	0	0	1	1	2	1	0	0	0	79	1593	1280	672	3545	923	3596	3372	2	3	2
discriminate-k1-w64	Eager	true	133	132	530	0	0	0	0	0	1	1	264	0	264	0	1	1	2	1	0	0	0	1223	9769	22608	672	33049	924	32997	11549	25	88	1
discriminate-k1-w64	Named	true	69	68	138	0	0	0	1	1	1	1	0	0	0	0	1	1	2	1	0	0	0	433	9769	3344	672	13785	924	13589	11549	34	13	50
discriminate-k1-w256	Eager	true	517	516	2066	0	0	0	0	0	1	1	1032	0	1032	0	1	1	2	1	0	0	0	4742	37801	85992	672	124465	925	124414	39582	79	284	1
discriminate-k1-w256	Named	true	261	260	522	0	0	0	1	1	1	1	0	0	0	0	1	1	2	1	0	0	0	1648	37801	10664	672	49137	925	48942	39582	82	30	1
discriminate-k2-w0	Eager	true	11	10	52	0	0	0	0	0	1	3	24	0	24	0	1	1	4	1	0	0	0	104	700	3104	680	4484	923	4103	2527	1	8	1
discriminate-k2-w0	Named	true	8	7	18	0	0	0	2	4	1	2	0	0	0	0	1	1	2	1	0	0	0	39	700	1072	680	2452	923	2751	2527	1	3	1
discriminate-k2-w1	Eager	true	15	14	68	0	0	0	0	0	1	3	32	0	32	0	1	1	4	1	0	0	0	136	846	3992	680	5518	923	5137	2673	1	8	0
discriminate-k2-w1	Named	true	9	8	20	0	0	0	2	4	1	2	0	0	0	0	1	1	2	1	0	0	0	47	846	1376	680	2902	923	2897	2673	1	3	1
discriminate-k2-w8	Eager	true	43	42	180	0	0	0	0	0	1	3	88	0	88	0	1	1	4	1	0	0	0	348	1868	8288	680	10836	923	10455	3695	3	23	1
discriminate-k2-w8	Named	true	16	15	34	0	0	0	2	4	1	2	0	0	0	0	1	1	2	1	0	0	0	91	1868	1584	680	4132	923	3919	3695	3	8	1
discriminate-k2-w64	Eager	true	267	266	1076	0	0	0	0	0	1	3	536	0	536	0	1	1	4	1	0	0	0	2047	10044	43256	680	53980	924	53600	11872	19	137	1
discriminate-k2-w64	Named	true	72	71	146	0	0	0	2	4	1	2	0	0	0	0	1	1	2	1	0	0	0	446	10044	3848	680	14572	924	14184	11872	19	12	1
discriminate-k2-w256	Eager	true	1035	1034	4148	0	0	0	0	0	1	3	2072	0	2072	0	1	1	4	1	0	0	0	7868	38076	162400	680	201156	925	200777	39905	81	607	1
discriminate-k2-w256	Named	true	264	263	530	0	0	0	2	4	1	2	0	0	0	0	1	1	2	1	0	0	0	1659	38076	10864	680	49620	925	49233	39905	81	30	1
discriminate-k4-w0	Eager	true	47	46	316	0	0	0	0	0	1	15	160	0	160	0	1	1	16	1	0	0	0	466	1250	17200	696	19146	923	16669	3941	1	35	1
discriminate-k4-w0	Named	true	14	13	34	0	0	0	4	16	1	4	0	0	0	0	1	1	2	1	0	0	0	59	1250	1640	696	3586	923	3301	3077	1	4	1
discriminate-k4-w1	Eager	true	63	62	380	0	0	0	0	0	1	15	192	0	192	0	1	1	16	1	0	0	0	569	1396	19640	696	21732	923	19255	4087	2	43	7
discriminate-k4-w1	Named	true	15	14	36	0	0	0	4	16	1	4	0	0	0	0	1	1	2	1	0	0	0	66	1396	1744	696	3836	923	3447	3223	2	7	3
discriminate-k4-w8	Eager	true	175	174	828	0	0	0	0	0	1	15	416	0	416	0	1	1	16	1	0	0	0	1285	2418	36200	696	39314	923	36837	5109	4	133	1
discriminate-k4-w8	Named	true	22	21	50	0	0	0	4	16	1	4	0	0	0	0	1	1	2	1	0	0	0	110	2418	1952	696	5066	923	4469	4245	4	9	1
discriminate-k4-w64	Eager	true	1071	1070	4412	0	0	0	0	0	1	15	2208	0	2208	0	1	1	16	1	0	0	0	7016	10594	169280	696	180570	924	178094	13286	23	511	1
discriminate-k4-w64	Named	true	78	77	162	0	0	0	4	16	1	4	0	0	0	0	1	1	2	1	0	0	0	465	10594	4216	696	15506	924	14846	12422	19	12	1
discriminate-k4-w256	Eager	true	4143	4142	16700	0	0	0	0	0	1	15	8352	0	8352	0	1	1	16	1	0	0	0	26663	38626	625112	696	664434	925	661959	41319	61	1616	1
discriminate-k4-w256	Named	true	270	269	546	0	0	0	4	16	1	4	0	0	0	0	1	1	2	1	0	0	0	1680	38626	11536	696	50858	925	50199	40455	96	32	1
discriminate-k8-w0	Eager	true	767	766	8188	0	0	0	0	0	1	255	4608	0	4608	0	1	1	256	1	0	0	0	10837	2350	442664	728	445742	923	378337	22385	2	862	8
discriminate-k8-w0	Named	true	26	25	66	0	0	0	8	64	1	8	0	0	0	0	1	1	2	1	0	0	0	98	2350	2752	728	5830	923	4465	4241	2	9	3
discriminate-k8-w1	Eager	true	1023	1022	9212	0	0	0	0	0	1	255	5120	0	5120	0	1	1	256	1	0	0	0	12379	2496	480040	728	483264	923	415859	22531	3	1053	6
discriminate-k8-w1	Named	true	27	26	68	0	0	0	8	64	1	8	0	0	0	0	1	1	2	1	0	0	0	104	2496	2752	728	5976	923	4611	4387	3	10	3
discriminate-k8-w8	Eager	true	2815	2814	16380	0	0	0	0	0	1	255	8704	0	8704	0	1	1	256	1	0	0	0	23175	3518	741880	728	746126	923	678721	23553	6	1951	5
discriminate-k8-w8	Named	true	34	33	82	0	0	0	8	64	1	8	0	0	0	0	1	1	2	1	0	0	0	148	3518	2960	728	7206	923	5745	5409	6	9	3
discriminate-k8-w64	Eager	true	17151	17150	73724	0	0	0	0	0	1	255	37376	0	37376	0	1	1	256	1	0	0	0	109546	11694	2837200	728	2849622	924	2782218	31730	28	8302	5
discriminate-k8-w64	Named	true	90	89	194	0	0	0	8	64	1	8	0	0	0	0	1	1	2	1	0	0	0	503	11694	5224	728	17646	924	16186	13586	22	15	3
discriminate-k8-w256	Eager	true	66303	66302	270332	0	0	0	0	0	1	255	135680	0	135680	0	1	1	256	1	0	0	0	405673	39726	10020712	728	10061166	925	9993763	59763	82	57175	7
discriminate-k8-w256	Named	true	282	281	578	0	0	0	8	64	1	8	0	0	0	0	1	1	2	1	0	0	0	1718	39726	12544	728	52998	925	51539	41619	81	37	3
cycle-k1-w0	Eager	true	3	2	13	2	3	2	0	0	1	1	5	1	5	1	1	1	2	1	0	0	0	43	354	1650	1007	3011	995	2941	2541	1	5	1
cycle-k1-w0	Named	true	4	3	11	2	7	3	1	1	1	1	0	1	0	1	1	1	2	1	0	0	0	34	354	1408	1007	2769	995	2876	2476	1	4	2
cycle-k1-w1	Eager	true	3	2	14	3	4	2	0	0	1	1	6	2	6	1	1	1	2	1	0	0	0	51	427	1723	1056	3206	1044	3185	2785	1	5	2
cycle-k1-w1	Named	true	4	3	11	3	9	3	1	1	1	1	0	2	0	1	1	1	2	1	0	0	0	39	427	1408	1056	2891	1044	3047	2647	1	4	2
cycle-k1-w8	Eager	true	3	2	21	10	11	2	0	0	1	1	13	9	13	1	1	1	2	1	0	0	0	109	938	2538	1399	4875	1387	4893	4493	1	11	16
cycle-k1-w8	Named	true	4	3	11	10	23	3	1	1	1	1	0	9	0	1	1	1	2	1	0	0	0	76	938	1712	1399	4049	1387	4244	3844	1	5	4
cycle-k1-w64	Eager	true	3	2	77	66	67	2	0	0	1	1	69	65	69	1	1	1	2	1	0	0	0	574	5026	8490	4143	17659	4132	18558	18158	10	32	11
cycle-k1-w64	Named	true	4	3	11	66	135	3	1	1	1	1	0	65	0	1	1	1	2	1	0	0	0	382	5026	4608	4143	13777	4132	13821	13421	11	15	15
cycle-k1-w256	Eager	true	3	2	269	258	259	2	0	0	1	1	261	257	261	1	1	1	2	1	0	0	0	2175	19042	30226	13551	62819	13541	65407	65007	42	115	169
cycle-k1-w256	Named	true	4	3	11	258	519	3	1	1	1	1	0	257	0	1	1	1	2	1	0	0	0	1440	19042	16240	13551	48833	13541	46654	46254	51	73	92
cycle-k2-w0	Eager	true	6	4	26	4	6	4	0	0	2	2	10	2	10	2	2	1	4	2	1	0	0	68	354	2604	1510	4468	995	3429	2886	1	8	4
cycle-k2-w0	Named	true	4	3	11	4	7	3	1	1	1	1	0	2	0	1	2	1	2	1	1	0	0	42	354	1408	1510	3272	995	3019	2476	0	4	3
cycle-k2-w1	Eager	true	6	4	28	6	8	4	0	0	2	2	12	4	12	2	2	1	4	2	2	0	0	81	427	2750	1608	4785	1044	3795	3203	0	7	4
cycle-k2-w1	Named	true	4	3	11	6	9	3	1	1	1	1	0	4	0	1	2	1	2	1	2	0	0	49	427	1408	1608	3443	1044	3239	2647	1	3	3
cycle-k2-w8	Eager	true	6	4	42	20	22	4	0	0	2	2	26	18	26	2	2	1	4	2	9	0	0	174	938	4076	2294	7308	1387	6357	5422	1	11	4
cycle-k2-w8	Named	true	4	3	11	20	23	3	1	1	1	1	0	18	0	1	2	1	2	1	9	0	0	100	938	1712	2294	4944	1387	4779	3844	1	7	8
cycle-k2-w64	Eager	true	6	4	154	132	134	4	0	0	2	2	138	130	138	2	2	1	4	2	65	0	0	928	5026	15148	7782	27956	4132	26854	23175	14	50	21
cycle-k2-w64	Named	true	4	3	11	132	135	3	1	1	1	1	0	130	0	1	2	1	2	1	65	0	0	518	5026	4608	7782	17416	4132	17100	13421	10	11	25
cycle-k2-w256	Eager	true	6	4	538	516	518	4	0	0	2	2	522	514	522	2	2	1	4	2	257	0	0	3522	19042	54812	26598	100452	13541	97127	84040	41	171	97
cycle-k2-w256	Named	true	4	3	11	516	519	3	1	1	1	1	0	514	0	1	2	1	2	1	257	0	0	1960	19042	16240	26598	61880	13541	59341	46254	41	54	111
cycle-k4-w0	Eager	true	24	16	104	16	24	16	0	0	8	8	40	8	40	8	8	1	16	8	7	0	0	222	354	10792	5056	16202	995	7349	6108	0	15	9
cycle-k4-w0	Named	true	4	3	11	16	7	3	1	1	1	1	0	8	0	1	8	1	2	1	7	0	0	91	354	1408	5056	6818	995	3717	2476	2	3	6
cycle-k4-w1	Eager	true	24	16	112	24	32	16	0	0	8	8	48	16	48	8	8	1	16	8	14	0	0	265	427	11376	5448	17251	1044	8447	6863	1	27	7
cycle-k4-w1	Named	true	4	3	11	24	9	3	1	1	1	1	0	16	0	1	8	1	2	1	14	0	0	110	427	1408	5448	7283	1044	4231	2647	0	3	9
cycle-k4-w8	Eager	true	24	16	168	80	88	16	0	0	8	8	104	72	104	8	8	1	16	8	63	0	0	568	938	15768	8192	24898	1387	16133	12148	1	28	17
cycle-k4-w8	Named	true	4	3	11	80	23	3	1	1	1	1	0	72	0	1	8	1	2	1	63	0	0	245	938	1712	8192	10842	1387	7829	3844	1	4	16
cycle-k4-w64	Eager	true	24	16	616	528	536	16	0	0	8	8	552	520	552	8	8	1	16	8	455	0	0	3056	5026	57560	30144	92730	4132	77622	54429	9	130	85
cycle-k4-w64	Named	true	4	3	11	528	135	3	1	1	1	1	0	520	0	1	8	1	2	1	455	0	0	1335	5026	4608	30144	39778	4132	36614	13421	9	13	85
cycle-k4-w256	Eager	true	24	16	2152	2064	2072	16	0	0	8	8	2088	2056	2088	8	8	1	16	8	1799	0	0	11608	19042	204792	105408	329242	13541	288439	199390	51	729	351
cycle-k4-w256	Named	true	4	3	11	2064	519	3	1	1	1	1	0	2056	0	1	8	1	2	1	1799	0	0	5081	19042	16240	105408	140690	13541	135303	46254	39	50	397
cycle-k8-w0	Eager	true	384	256	1664	256	384	256	0	0	128	128	640	128	640	128	128	1	256	128	127	0	0	3254	354	187224	86280	273858	995	93237	73428	0	188	309
cycle-k8-w0	Named	true	4	3	11	256	7	3	1	1	1	1	0	128	0	1	128	1	2	1	127	0	0	1075	354	1408	86280	88042	995	22285	2476	0	4	84
cycle-k8-w1	Eager	true	384	256	1792	384	512	256	0	0	128	128	768	256	768	128	128	1	256	128	254	0	0	3897	427	196568	92552	289547	1044	108975	82943	1	210	355
cycle-k8-w1	Named	true	4	3	11	384	9	3	1	1	1	1	0	256	0	1	128	1	2	1	254	0	0	1334	427	1408	92552	94387	1044	28679	2647	0	3	97
cycle-k8-w8	Eager	true	384	256	2688	1280	1408	256	0	0	128	128	1664	1152	1664	128	128	1	256	128	1143	0	0	8400	938	262280	136456	399674	1387	219141	149548	1	290	321
cycle-k8-w8	Named	true	4	3	11	1280	23	3	1	1	1	1	0	1152	0	1	128	1	2	1	1143	0	0	3149	938	1712	136456	139106	1387	73437	3844	1	6	235
cycle-k8-w64	Eager	true	384	256	9856	8448	8576	256	0	0	128	128	8832	8320	8832	128	128	1	256	128	8255	0	0	45568	5026	918472	487688	1411186	4132	1100470	682389	10	1863	1784
cycle-k8-w64	Named	true	4	3	11	8448	135	3	1	1	1	1	0	8320	0	1	128	1	2	1	8255	0	0	17679	5026	4608	487688	497322	4132	431502	13421	9	17	1275
cycle-k8-w256	Eager	true	384	256	34432	33024	33152	256	0	0	128	128	33408	32896	33408	128	128	1	256	128	32639	0	0	173280	19042	3217064	1691912	4928018	13541	4122167	2509270	41	7195	4529
cycle-k8-w256	Named	true	4	3	11	33024	519	3	1	1	1	1	0	32896	0	1	128	1	2	1	32639	0	0	67505	19042	16240	1691912	1727194	13541	1659151	46254	33	38	4828
