case	mode	pass	steps	applications	introductions	equations	pairs	dereferences	occurs	head_candidates	splits	failed	raw	answers	max_frontier	pending	map_visits	map_allocations	snapshot_copies	pending_allocations	term_requests	term_nodes	observer_pairs	observer_scans	allocation_calls	requested_bytes	baseline_live	peak_live	final_live	elapsed_us
M02-nonbinding	Copy	true	2	0	1	0	0	3	0	1	0	0	1	1	1	0	2	1	0	1	0	0	0	0	41	2725	239710	241301	241109	2
S01-finite-sibling	Persistent	true	200	98	99	1	1	3	1	98	1	0	1	1	2	1	1272	778	0	101	1	1	0	0	2394	94184	239043	249831	249351	140
S01-finite-sibling	Copy	true	200	98	99	1	1	3	1	98	1	0	1	1	2	1	1272	779	1	101	1	1	0	0	2396	94264	239043	249831	249351	133
U01-clash	Persistent	true	3	1	1	1	1	2	0	1	0	1	0	0	1	0	2	2	0	2	2	2	0	0	41	2836	238006	239888	239176	3
U01-clash	Copy	true	3	1	1	1	1	2	0	1	0	1	0	0	1	0	2	2	0	2	2	2	0	0	41	2836	238006	239888	239176	2
U02-self	Persistent	true	4	1	1	1	1	6	0	1	0	0	1	1	1	0	2	2	0	2	0	0	0	0	44	3287	237424	239032	238840	3
U02-self	Copy	true	4	1	1	1	1	6	0	1	0	0	1	1	1	0	2	2	0	2	0	0	0	0	44	3287	237424	239032	238840	2
U03-alias	Persistent	true	6	1	1	2	2	8	3	1	0	0	1	1	1	0	9	5	0	4	2	2	0	0	75	4655	236641	239185	238873	5
U03-alias	Copy	true	6	1	1	2	2	8	3	1	0	0	1	1	1	0	9	5	0	4	2	2	0	0	75	4655	236641	239185	238873	4
U04-occurs	Persistent	true	5	1	1	2	2	7	4	1	0	1	0	0	1	0	5	3	0	4	1	1	0	0	51	3529	235564	237795	237003	3
U04-occurs	Copy	true	5	1	1	2	2	7	4	1	0	1	0	0	1	0	5	3	0	4	1	1	0	0	51	3529	235564	237795	237003	3
U05-conditional-occurs	Persistent	true	6	1	1	2	2	7	3	1	1	1	1	1	2	0	4	3	0	4	2	2	0	0	71	4763	234742	237314	237066	4
U05-conditional-occurs	Copy	true	6	1	1	2	2	7	3	1	1	1	1	1	2	0	4	4	1	4	2	2	0	0	73	4843	234742	237314	237066	4
U06-union-cycle	Persistent	true	7	1	1	2	2	12	4	1	1	0	2	2	2	0	8	4	0	4	2	2	1	0	90	5610	233702	237044	236604	5
U06-union-cycle	Copy	true	7	1	1	2	2	12	4	1	1	0	2	2	2	0	8	5	1	4	2	2	1	0	92	5690	233702	237044	236604	5
V01-fresh	Persistent	true	7	2	4	0	0	2	0	2	0	0	1	1	1	0	15	12	0	4	0	0	0	0	69	4162	232320	234147	233763	5
V01-fresh	Copy	true	7	2	4	0	0	2	0	2	0	0	1	1	1	0	15	12	0	4	0	0	0	0	69	4162	232320	234147	233763	4
app-add-decompose	Persistent	true	40	4	4	16	19	44	28	4	4	1	4	4	2	0	138	63	0	33	16	12	10	0	416	21922	231676	240102	238974	30
app-add-decompose	Copy	true	40	4	4	16	19	44	28	4	4	1	4	4	2	0	138	85	22	33	16	12	10	0	448	23490	231676	240544	238974	29
app-add-failure	Persistent	true	24	3	3	9	14	12	9	3	3	4	0	0	2	0	33	24	0	25	16	10	0	0	215	13366	227970	233854	232402	29
app-add-failure	Copy	true	24	3	3	9	14	12	9	3	3	4	0	0	2	0	33	36	12	25	16	10	0	0	233	14230	227970	233982	232402	17
app-add-forward	Persistent	true	25	3	3	9	11	15	11	3	3	3	1	1	2	0	41	27	0	25	16	10	0	0	253	14891	225617	231703	231083	17
app-add-forward	Copy	true	25	3	3	9	11	15	11	3	3	3	1	1	2	0	41	39	12	25	16	10	0	0	271	15755	225617	231703	231083	18
app-add-left	Persistent	true	55	6	6	24	38	37	33	6	6	6	1	1	2	0	159	99	0	49	28	18	0	0	466	28606	222892	232296	230016	37
app-add-left	Copy	true	55	6	6	24	38	37	33	6	6	6	1	1	2	0	159	150	51	49	28	18	0	0	538	32206	222892	233096	230016	40
app-add-repeated	Persistent	true	46	5	5	20	28	38	25	5	5	5	1	1	2	0	130	73	0	41	20	15	0	0	377	23244	220170	229108	226424	28
app-add-repeated	Copy	true	46	5	5	20	28	38	25	5	5	5	1	1	2	0	130	108	35	41	20	15	0	0	427	25724	220170	229108	226424	28
app-add-right	Persistent	true	25	3	3	9	13	13	16	3	3	3	1	1	2	0	37	26	0	25	18	12	0	0	258	14973	217641	223599	222979	17
app-add-right	Copy	true	25	3	3	9	13	13	16	3	3	3	1	1	2	0	37	38	12	25	18	12	0	0	276	15837	217641	223721	222979	21
app-infer-identity	Persistent	true	54	5	5	18	32	44	25	5	10	10	1	1	3	0	161	74	0	61	65	54	0	0	592	38242	214918	230403	229175	56
app-infer-identity	Copy	true	54	5	5	18	32	44	25	5	10	10	1	1	3	0	161	140	66	61	65	54	0	0	688	42978	214918	231525	229175	57
app-lambda-identity	Persistent	true	112	6	7	37	61	42	31	14	28	28	1	1	6	0	205	87	0	151	117	64	0	0	1307	77263	211694	248911	242461	138
app-lambda-identity	Copy	true	112	6	7	37	61	42	31	14	28	28	1	1	6	0	205	241	154	151	117	64	0	0	1524	88183	211694	249919	242461	133
app-lambda-norm-residual	Persistent	true	2	0	1	0	0	0	0	5	0	0	1	1	1	0	16	1	0	1	1	1	0	0	276	18572	196810	213079	212887	37
app-lambda-norm-residual	Copy	true	2	0	1	0	0	0	0	5	0	0	1	1	1	0	16	1	0	1	1	1	0	0	276	18572	196810	213079	212887	22
app-sk-duplication	Persistent	true	431	19	19	139	475	468	424	19	117	117	1	1	5	0	3371	1052	0	587	867	451	0	0	5788	404302	182185	342434	308874	689
app-sk-duplication	Copy	true	431	19	19	139	475	468	424	19	117	117	1	1	5	0	3371	4919	3867	587	867	451	0	0	10671	668910	182185	342434	308874	825
app-sk-identity	Persistent	true	177	7	7	57	190	159	109	7	49	49	1	1	5	0	756	251	0	243	366	191	0	0	2322	146472	168969	225438	221694	305
app-sk-identity	Copy	true	177	7	7	57	190	159	109	7	49	49	1	1	5	0	756	820	569	243	366	191	0	0	3066	185688	168969	230986	221694	308
app-sk-ignored-hole	Persistent	true	546	32	33	166	585	642	562	76	141	141	1	1	5	0	4719	1407	0	725	1054	540	0	0	7327	519967	156295	320670	313870	813
app-sk-ignored-hole	Copy	true	546	32	33	166	585	642	562	76	141	141	1	1	5	0	4719	6939	5532	725	1054	540	0	0	14274	898647	156295	340598	313870	1040
app-sub	Persistent	true	27	4	4	9	13	14	16	4	3	3	1	1	2	0	44	33	0	26	18	12	0	0	281	16142	142077	148115	147415	23
app-sub	Copy	true	27	4	4	9	13	14	16	4	3	3	1	1	2	0	44	48	15	26	18	12	0	0	305	17246	142077	148323	147415	20
app-type-synthesis-prefix	Persistent	true	12	1	1	4	8	10	7	1	2	0	1	1	3	2	12	11	0	13	17	16	0	0	196	13960	139360	147685	147053	21
app-type-synthesis-prefix	Copy	true	12	1	1	4	8	10	7	1	2	0	1	1	3	2	12	13	2	13	17	16	0	0	200	14120	139360	147685	147133	15
carry-k0-w0-n0	Persistent	true	2	0	1	0	0	0	0	1	0	0	1	1	1	0	3	1	0	1	2	2	0	0	60	3740	136223	138925	138733	4
carry-k0-w0-n0	Copy	true	2	0	1	0	0	0	0	1	0	0	1	1	1	0	3	1	0	1	2	2	0	0	60	3740	136223	138925	138733	3
carry-k0-w0-n3	Persistent	true	5	0	4	0	0	0	0	1	0	0	1	1	1	0	13	10	0	4	8	4	0	0	137	6611	134581	138783	138335	9
carry-k0-w0-n3	Copy	true	5	0	4	0	0	0	0	1	0	0	1	1	1	0	13	10	0	4	8	4	0	0	137	6611	134581	138783	138335	7
carry-k0-w1-n0	Persistent	true	4	1	2	0	0	0	0	2	0	0	1	1	1	0	6	3	0	2	3	3	0	0	79	4581	132057	134817	134601	5
carry-k0-w1-n0	Copy	true	4	1	2	0	0	0	0	2	0	0	1	1	1	0	6	3	0	2	3	3	0	0	79	4581	132057	134817	134601	4
carry-k0-w1-n3	Persistent	true	7	1	5	0	0	0	0	2	0	0	1	1	1	0	22	15	0	5	9	4	0	0	157	7651	130366	134648	134120	10
carry-k0-w1-n3	Copy	true	7	1	5	0	0	0	0	2	0	0	1	1	1	0	22	15	0	5	9	4	0	0	157	7651	130366	134648	134120	9
carry-k0-w4-n0	Persistent	true	10	4	5	0	0	0	0	5	0	0	1	1	1	0	23	15	0	5	6	6	0	0	150	8440	127793	131315	130859	9
carry-k0-w4-n0	Copy	true	10	4	5	0	0	0	0	5	0	0	1	1	1	0	23	15	0	5	6	6	0	0	150	8440	127793	131315	130859	9
carry-k0-w4-n3	Persistent	true	13	4	8	0	0	0	0	5	0	0	1	1	1	0	59	41	0	8	12	6	0	0	240	12037	125955	130737	129969	15
carry-k0-w4-n3	Copy	true	13	4	8	0	0	0	0	5	0	0	1	1	1	0	59	41	0	8	12	6	0	0	240	12037	125955	130737	129969	14
carry-k1-w0-n0	Persistent	true	8	1	2	2	2	7	2	3	1	0	2	2	2	0	15	7	0	5	4	4	1	0	139	8171	123235	127527	127011	9
carry-k1-w0-n0	Copy	true	8	1	2	2	2	7	2	3	1	0	2	2	2	0	15	9	2	5	4	4	1	0	142	8323	123235	127527	127011	8
carry-k1-w0-n3	Persistent	true	11	1	5	2	2	7	2	3	1	0	2	2	2	0	38	20	0	8	10	6	1	0	252	12428	120758	127500	126672	15
carry-k1-w0-n3	Copy	true	11	1	5	2	2	7	2	3	1	0	2	2	2	0	38	25	5	8	10	6	1	0	258	12796	120758	127500	126672	15
carry-k1-w1-n0	Persistent	true	12	3	4	2	2	7	2	5	1	0	2	2	2	0	25	13	0	7	5	5	1	0	176	10314	116934	121532	120936	11
carry-k1-w1-n0	Copy	true	12	3	4	2	2	7	2	5	1	0	2	2	2	0	25	15	2	7	5	5	1	0	179	10466	116934	121532	120936	10
carry-k1-w1-n3	Persistent	true	15	3	7	2	2	7	2	5	1	0	2	2	2	0	62	34	0	10	11	6	1	0	294	14746	114408	121230	120322	17
carry-k1-w1-n3	Copy	true	15	3	7	2	2	7	2	5	1	0	2	2	2	0	62	39	5	10	11	6	1	0	300	15114	114408	121230	120322	17
carry-k1-w4-n0	Persistent	true	24	9	10	2	2	7	2	11	1	0	2	2	2	0	59	39	0	13	8	8	1	0	301	17159	110535	115931	115095	19
