case	mode	pass	factors	certificate_predicates	certificate_edges	certificate_terms	steps	source_steps	applications	equations	pairs	head_candidates	map_visits	map_allocations	term_requests	pending_allocations	regional_raw	raw_product	answers	product_jobs	products	renamed_nodes	max_jobs	cache_answers	pending_jobs	empty_refutations	observer_pairs	observer_scans	regional_observer_pairs	regional_observer_scans	regional_observer_backtracks	allocation_calls	requested_bytes	baseline_live	peak_live	final_live	elapsed_us
H02-repeated-head-alias	Scalar	true	1	0	0	0	8	8	2	1	4	7	35	14	0	5	1	1	1	0	1	0	0	0	0	0	0	0	0	0	0	121	10248	2106	6559	5901	97
H02-repeated-head-alias	Factored	true	1	3	4	4	8	8	2	1	4	7	35	14	0	5	1	1	1	0	1	0	0	0	0	0	0	0	0	0	0	155	13937	2108	6945	6287	73
H03-constructor-wakeup	Scalar	true	1	0	0	0	7	7	2	1	1	3	16	9	1	4	1	1	1	0	1	0	0	0	0	0	0	0	0	0	0	94	7201	1702	5987	5615	90
H03-constructor-wakeup	Factored	true	1	3	2	2	7	7	2	1	1	3	16	9	1	4	1	1	1	0	1	0	0	0	0	0	0	0	0	0	0	123	10877	1704	6373	6001	130
H04-inherited-history	Scalar	true	1	0	0	0	10	10	2	2	2	5	33	13	2	6	2	2	2	0	2	0	0	0	0	0	0	0	1	0	0	138	9463	2071	7425	6773	87
H04-inherited-history	Factored	true	2	3	1	1	13	11	2	2	2	3	11	8	2	6	3	2	2	2	2	2	1	3	0	0	1	0	1	0	0	188	17225	2073	10658	9991	90
H05-conditional-history	Scalar	true	1	0	0	0	10	10	2	2	2	5	29	11	2	6	2	2	2	0	2	0	0	0	0	0	0	0	0	0	0	140	9374	2219	7732	7064	80
H05-conditional-history	Factored	true	1	3	2	2	10	10	2	2	2	5	29	11	2	6	2	2	2	0	2	0	0	0	0	0	0	0	0	0	0	169	13050	2221	8118	7450	116
H06-conditional-consumption	Scalar	true	1	0	0	0	10	10	2	0	0	5	30	13	0	6	2	2	2	0	2	0	0	0	0	0	0	0	0	0	0	111	8176	1798	6394	5930	79
H06-conditional-consumption	Factored	true	1	5	4	0	10	10	2	0	0	5	30	13	0	6	2	2	2	0	2	0	0	0	0	0	0	0	0	0	0	143	11598	1800	6780	6316	85
M01-committed	Scalar	true	1	0	0	0	4	4	1	1	1	1	3	3	1	2	1	1	1	0	1	0	0	0	0	0	0	0	0	0	0	64	5933	1529	5526	5322	63
M01-committed	Factored	true	1	1	0	1	4	4	1	1	1	1	3	3	1	2	1	1	1	0	1	0	0	0	0	0	0	0	0	0	0	85	9222	1531	5912	5708	86
M02-nonbinding	Scalar	true	1	0	0	0	2	2	0	0	0	1	2	1	0	1	1	1	1	0	1	0	0	0	0	0	0	0	0	0	0	47	4857	1331	4774	4582	81
M02-nonbinding	Factored	true	1	1	0	1	2	2	0	0	0	1	2	1	0	1	1	1	1	0	1	0	0	0	0	0	0	0	0	0	0	64	8111	1333	5352	5160	58
U01-clash	Scalar	true	1	0	0	0	3	3	1	1	1	1	2	2	2	2	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	48	4996	1241	5003	4291	51
U01-clash	Factored	true	1	1	0	2	3	3	1	1	1	1	2	2	2	2	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	65	8274	1243	5581	4869	84
U02-self	Scalar	true	1	0	0	0	4	4	1	1	1	1	2	2	0	2	1	1	1	0	1	0	0	0	0	0	0	0	0	0	0	51	5447	1441	4929	4737	77
U02-self	Factored	true	1	1	0	2	4	4	1	1	1	1	2	2	0	2	1	1	1	0	1	0	0	0	0	0	0	0	0	0	0	68	8725	1443	5507	5315	78
U03-alias	Scalar	true	1	0	0	0	6	6	1	2	2	1	9	5	2	4	1	1	1	0	1	0	0	0	0	0	0	0	0	0	0	82	6815	1736	6160	5848	79
U03-alias	Factored	true	1	1	0	2	6	6	1	2	2	1	9	5	2	4	1	1	1	0	1	0	0	0	0	0	0	0	0	0	0	99	10093	1738	6738	6426	80
U04-occurs	Scalar	true	1	0	0	0	5	5	1	2	2	1	5	3	1	4	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	58	5689	1482	5593	4801	76
U04-occurs	Factored	true	1	1	0	2	5	5	1	2	2	1	5	3	1	4	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	75	8967	1484	6171	5379	63
U05-conditional-occurs	Scalar	true	1	0	0	0	6	6	1	2	2	1	4	3	2	4	1	1	1	0	1	0	0	0	0	0	0	0	0	0	0	78	6923	1712	6164	5916	85
U05-conditional-occurs	Factored	true	1	1	0	2	6	6	1	2	2	1	4	3	2	4	1	1	1	0	1	0	0	0	0	0	0	0	0	0	0	95	10201	1714	6742	6494	71
U06-union-cycle	Scalar	true	1	0	0	0	7	7	1	2	2	1	8	4	2	4	2	2	2	0	2	0	0	0	0	0	0	0	1	0	0	97	7770	2047	7269	6829	69
U06-union-cycle	Factored	true	1	1	0	2	7	7	1	2	2	1	8	4	2	4	2	2	2	0	2	0	0	0	0	0	0	0	1	0	0	114	11048	2049	7847	7407	57
V01-fresh	Scalar	true	1	0	0	0	7	7	2	0	0	2	15	12	0	4	1	1	1	0	1	0	0	0	0	0	0	0	0	0	0	72	6162	1303	4954	4570	78
V01-fresh	Factored	true	1	2	1	0	7	7	2	0	0	2	15	12	0	4	1	1	1	0	1	0	0	0	0	0	0	0	0	0	0	93	9205	1305	5532	5148	80
app-add-decompose	Scalar	true	1	0	0	0	40	40	4	16	19	4	138	63	16	33	4	4	4	0	4	0	0	0	0	0	0	0	10	0	0	423	24082	4373	14679	13551	104
app-add-decompose	Factored	true	1	2	2	6	40	40	4	16	19	4	138	63	16	33	4	4	4	0	4	0	0	0	0	0	0	0	10	0	0	450	27705	4375	15065	13937	109
app-add-failure	Scalar	true	1	0	0	0	24	24	3	9	14	3	33	24	16	25	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	221	15498	3018	10754	9302	91
app-add-failure	Factored	true	1	2	2	8	24	24	3	9	14	3	33	24	16	25	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	248	19121	3020	11140	9688	98
app-add-forward	Scalar	true	1	0	0	0	25	25	3	9	11	3	41	27	16	25	1	1	1	0	1	0	0	0	0	0	0	0	0	0	0	259	17023	3390	11328	10708	79
app-add-forward	Factored	true	1	2	2	8	25	25	3	9	11	3	41	27	16	25	1	1	1	0	1	0	0	0	0	0	0	0	0	0	0	286	20646	3392	11714	11094	106
app-add-left	Scalar	true	1	0	0	0	55	55	6	24	38	6	159	99	28	49	1	1	1	0	1	0	0	0	0	0	0	0	0	0	0	472	30738	3384	14640	12360	90
app-add-left	Factored	true	1	2	2	11	55	55	6	24	38	6	159	99	28	49	1	1	1	0	1	0	0	0	0	0	0	0	0	0	0	499	34361	3386	15026	12746	129
app-add-repeated	Scalar	true	1	0	0	0	46	46	5	20	28	5	130	73	20	41	1	1	1	0	1	0	0	0	0	0	0	0	0	0	0	383	25376	3195	13985	11301	70
app-add-repeated	Factored	true	1	2	2	7	46	46	5	20	28	5	130	73	20	41	1	1	1	0	1	0	0	0	0	0	0	0	0	0	0	410	28999	3197	14371	11687	112
app-add-right	Scalar	true	1	0	0	0	25	25	3	9	13	3	37	26	18	25	1	1	1	0	1	0	0	0	0	0	0	0	0	0	0	264	17105	3386	11196	10576	92
app-add-right	Factored	true	1	2	2	10	25	25	3	9	13	3	37	26	18	25	1	1	1	0	1	0	0	0	0	0	0	0	0	0	0	291	20728	3388	11582	10962	103
app-infer-identity	Scalar	true	1	0	0	0	54	54	5	18	32	5	161	74	65	61	1	1	1	0	1	0	0	0	0	0	0	0	0	0	0	598	40374	3892	21229	20001	124
app-infer-identity	Factored	true	1	1	2	6	54	54	5	18	32	5	161	74	65	61	1	1	1	0	1	0	0	0	0	0	0	0	0	0	0	620	43800	3894	21807	20579	135
app-lambda-identity	Scalar	true	1	0	0	0	112	112	6	37	61	14	205	87	117	151	1	1	1	0	1	0	0	0	0	0	0	0	0	0	0	1315	79699	15553	54622	48172	176
app-lambda-identity	Factored	true	1	5	17	6	112	112	6	37	61	14	205	87	117	151	1	1	1	0	1	0	0	0	0	0	0	0	0	0	0	1429	90115	15555	55008	48558	131
app-lambda-norm-residual	Scalar	true	1	0	0	0	2	2	0	0	0	5	16	1	1	1	1	1	1	0	1	0	0	0	0	0	0	0	0	0	0	281	20876	15299	33392	33200	88
app-lambda-norm-residual	Factored	true	1	5	17	1	2	2	0	0	0	5	16	1	1	1	1	1	1	0	1	0	0	0	0	0	0	0	0	0	0	392	30868	15301	34793	33586	85
app-sk-duplication	Scalar	true	1	0	0	0	431	431	19	139	475	19	3371	1052	867	587	1	1	1	0	1	0	0	0	0	0	0	0	0	0	0	5794	406434	13884	175985	142425	610
app-sk-duplication	Factored	true	1	3	12	16	431	431	19	139	475	19	3371	1052	867	587	1	1	1	0	1	0	0	0	0	0	0	0	0	0	0	5852	411410	13886	174695	141127	653
app-sk-identity	Scalar	true	1	0	0	0	177	177	7	57	190	7	756	251	366	243	1	1	1	0	1	0	0	0	0	0	0	0	0	0	0	2328	148604	13339	71660	67916	276
app-sk-identity	Factored	true	1	3	12	11	177	177	7	57	190	7	756	251	366	243	1	1	1	0	1	0	0	0	0	0	0	0	0	0	0	2386	153580	13341	70370	66618	284
app-sk-ignored-hole	Scalar	true	1	0	0	0	546	546	32	166	585	76	4719	1407	1054	725	1	1	1	0	1	0	0	0	0	0	0	0	0	0	0	7334	522127	14887	181142	174342	689
app-sk-ignored-hole	Factored	true	1	3	13	31	546	546	32	166	585	76	4719	1407	1054	725	1	1	1	0	1	0	0	0	0	0	0	0	0	0	0	7407	528839	14889	181528	174728	833
app-sub	Scalar	true	1	0	0	0	27	27	4	9	13	4	44	33	18	26	1	1	1	0	1	0	0	0	0	0	0	0	0	0	0	287	18274	3374	11264	10564	98
app-sub	Factored	true	1	2	2	10	27	27	4	9	13	4	44	33	18	26	1	1	1	0	1	0	0	0	0	0	0	0	0	0	0	314	21897	3376	11650	10950	116
carry-k0-w0-n0	Scalar	true	1	0	0	0	2	2	0	0	0	1	3	1	2	1	1	1	1	0	1	0	0	0	0	0	0	0	0	0	0	63	5740	2306	6832	6640	62
carry-k0-w0-n0	Factored	true	1	2	1	2	2	2	0	0	0	1	2	1	2	1	1	1	1	0	1	0	0	0	0	0	0	0	0	0	0	81	8808	2308	6912	6720	81
carry-k0-w0-n3	Scalar	true	1	0	0	0	5	5	0	0	0	1	13	10	8	4	1	1	1	0	1	0	0	0	0	0	0	0	0	0	0	140	8611	3188	9214	8766	83
carry-k0-w0-n3	Factored	true	2	3	1	8	7	6	0	0	0	1	8	9	8	4	2	1	1	1	1	8	1	2	0	0	0	0	0	0	0	226	14981	3190	11688	11656	93
carry-k0-w1-n0	Scalar	true	1	0	0	0	4	4	1	0	0	2	6	3	3	2	1	1	1	0	1	0	0	0	0	0	0	0	0	0	0	82	6581	2355	6939	6723	76
carry-k0-w1-n0	Factored	true	1	2	1	3	4	4	1	0	0	2	4	3	3	2	1	1	1	0	1	0	0	0	0	0	0	0	0	0	0	98	9637	2357	7019	6803	84
carry-k0-w1-n3	Scalar	true	1	0	0	0	7	7	1	0	0	2	22	15	9	5	1	1	1	0	1	0	0	0	0	0	0	0	0	0	0	160	9651	3237	9343	8815	83
carry-k0-w1-n3	Factored	true	2	3	1	9	9	8	1	0	0	2	10	11	9	5	2	1	1	1	1	8	1	2	0	0	0	0	0	0	0	243	15810	3239	11771	11739	94
carry-k0-w4-n0	Scalar	true	1	0	0	0	10	10	4	0	0	5	23	15	6	5	1	1	1	0	1	0	0	0	0	0	0	0	0	0	0	153	10440	2502	7848	7392	56
carry-k0-w4-n0	Factored	true	1	2	1	6	10	10	4	0	0	5	18	16	6	5	1	1	1	0	1	0	0	0	0	0	0	0	0	0	0	165	13540	2504	7928	7472	93
carry-k0-w4-n3	Scalar	true	1	0	0	0	13	13	4	0	0	5	59	41	12	8	1	1	1	0	1	0	0	0	0	0	0	0	0	0	0	243	14037	3384	9990	9222	87
carry-k0-w4-n3	Factored	true	2	3	1	12	15	14	4	0	0	5	24	24	12	8	2	1	1	1	1	8	1	2	0	0	0	0	0	0	0	310	19713	3386	12440	12408	109
carry-k1-w0-n0	Scalar	true	1	0	0	0	8	8	1	2	2	3	15	7	4	5	2	2	2	0	2	0	0	0	0	0	0	0	1	0	0	145	10303	3141	9285	8769	60
carry-k1-w0-n0	Factored	true	1	2	2	4	8	8	1	2	2	3	15	7	4	5	2	2	2	0	2	0	0	0	0	0	0	0	1	0	0	174	13959	3143	9671	9155	96
carry-k1-w0-n3	Scalar	true	1	0	0	0	11	11	1	2	2	3	38	20	10	8	2	2	2	0	2	0	0	0	0	0	0	0	1	0	0	258	14560	4488	13082	12254	89
carry-k1-w0-n3	Factored	true	2	3	2	10	14	12	1	2	2	3	21	15	10	8	3	2	2	2	2	20	1	3	0	0	1	0	1	0	0	385	23528	4490	16396	16296	106
carry-k1-w1-n0	Scalar	true	1	0	0	0	12	12	3	2	2	5	25	13	5	7	2	2	2	0	2	0	0	0	0	0	0	0	1	0	0	182	12446	3190	9640	9044	87
