case	mode	pass	factors	certificate_predicates	certificate_edges	certificate_terms	steps	source_steps	applications	equations	pairs	head_candidates	map_visits	map_allocations	term_requests	pending_allocations	regional_raw	raw_product	answers	product_jobs	products	renamed_nodes	max_jobs	cache_answers	pending_jobs	empty_refutations	observer_pairs	observer_scans	regional_observer_pairs	regional_observer_scans	regional_observer_backtracks	allocation_calls	requested_bytes	baseline_live	peak_live	final_live	elapsed_us
product-k1-w0-n0	Factored	true	1	2	2	3	8	8	1	2	2	3	16	6	3	5	2	2	2	0	2	0	0	0	0	0	0	0	1	0	0	158	13158	3005	9078	8562	61
product-k1-w0-n16	Scalar	true	1	0	0	0	24	24	1	2	2	3	97	80	155	21	2	2	2	0	2	0	0	0	0	0	0	0	1	0	0	2184	69901	27797	71828	69648	187
product-k1-w0-n16	Factored	true	2	3	2	155	27	25	1	2	2	3	66	70	155	21	3	2	2	1	2	310	1	3	0	0	1	0	1	0	0	2952	97200	27799	90816	90784	218
product-k1-w1-n0	Scalar	true	1	0	0	0	12	12	3	2	2	5	24	14	4	7	2	2	2	0	2	0	0	0	0	0	0	0	1	0	0	170	11885	3052	9083	8487	64
product-k1-w1-n0	Factored	true	1	2	2	4	12	12	3	2	2	5	24	14	4	7	2	2	2	0	2	0	0	0	0	0	0	0	1	0	0	199	15555	3054	9469	8873	86
product-k1-w1-n16	Scalar	true	1	0	0	0	28	28	3	2	2	5	117	96	156	23	2	2	2	0	2	0	0	0	0	0	0	0	1	0	0	2230	72385	27846	71957	69697	183
product-k1-w1-n16	Factored	true	2	3	2	156	31	29	3	2	2	5	74	78	156	23	3	2	2	1	2	310	1	3	0	0	1	0	1	0	0	2993	99597	27848	91127	91095	232
product-k1-w8-n0	Scalar	true	1	0	0	0	40	40	17	2	2	19	126	82	11	21	2	2	2	0	2	0	0	0	0	0	0	0	1	0	0	477	28400	3395	11510	10100	105
product-k1-w8-n0	Factored	true	1	2	2	11	40	40	17	2	2	19	126	82	11	21	2	2	2	0	2	0	0	0	0	0	0	0	1	0	0	506	32070	3397	11896	10486	111
product-k1-w8-n16	Scalar	true	1	0	0	0	56	56	17	2	2	19	331	228	163	37	2	2	2	0	2	0	0	0	0	0	0	0	1	0	0	2592	91373	28189	72860	70040	226
product-k1-w8-n16	Factored	true	2	3	2	163	59	57	17	2	2	19	176	146	163	37	3	2	2	2	2	310	1	3	0	0	1	0	1	0	0	3301	116128	28191	92740	92708	244
product-k1-w64-n0	Scalar	true	1	0	0	0	264	264	129	2	2	131	1522	942	67	133	2	2	2	0	2	0	0	0	0	0	0	0	1	0	0	3547	192728	6141	36880	26510	286
product-k1-w64-n0	Factored	true	1	2	2	67	264	264	129	2	2	131	1522	942	67	133	2	2	2	0	2	0	0	0	0	0	0	0	1	0	0	3576	196398	6143	37266	26896	297
product-k1-w64-n16	Scalar	true	1	0	0	0	280	280	129	2	2	131	2581	1590	219	149	2	2	2	0	2	0	0	0	0	0	0	0	1	0	0	6202	288781	30935	91798	84498	413
product-k1-w64-n16	Factored	true	2	3	2	219	283	281	129	2	2	131	1572	1006	219	149	3	2	2	2	2	310	1	3	0	0	1	0	1	0	0	6371	280456	30937	109150	109118	498
product-k1-w256-n0	Scalar	true	1	0	0	0	1032	1032	513	2	2	515	7386	4454	259	517	2	2	2	0	2	0	0	0	0	0	0	0	1	0	0	15183	801080	15551	123858	82768	1000
product-k1-w256-n0	Factored	true	1	2	2	259	1032	1032	513	2	2	515	7386	4454	259	517	2	2	2	0	2	0	0	0	0	0	0	0	1	0	0	15212	804750	15553	124244	83154	974
product-k1-w256-n16	Scalar	true	1	0	0	0	1048	1048	513	2	2	515	11007	6620	411	533	2	2	2	0	2	0	0	0	0	0	0	0	1	0	0	19336	1006269	40345	167062	140756	1221
product-k1-w256-n16	Factored	true	2	3	2	411	1051	1049	513	2	2	515	7436	4518	411	533	3	2	2	2	2	310	1	3	0	0	1	0	1	0	0	18007	888808	40347	170318	165376	1180
product-k2-w0-n0	Scalar	true	1	0	0	0	20	20	3	6	6	11	107	27	8	13	4	4	4	0	4	0	0	0	0	0	0	0	8	0	0	349	20930	5288	15240	14416	69
product-k2-w0-n0	Factored	true	2	4	4	6	20	16	2	4	4	6	32	12	6	10	4	4	4	3	4	24	1	4	0	0	8	0	2	0	0	435	30308	5290	19622	19236	116
product-k2-w0-n16	Scalar	true	1	0	0	0	36	36	3	6	6	11	299	111	160	29	4	4	4	0	4	0	0	0	0	0	0	0	8	0	0	3701	119087	46770	128376	125888	256
product-k2-w0-n16	Factored	true	3	5	4	158	37	33	2	4	4	6	82	76	158	26	5	4	4	1	4	632	1	5	0	0	8	0	2	0	0	4471	147906	46772	150718	150670	307
product-k2-w1-n0	Scalar	true	1	0	0	0	36	36	11	6	6	23	199	83	10	21	4	4	4	0	4	0	0	0	0	0	0	0	8	0	0	564	32535	5386	15760	14776	110
product-k2-w1-n0	Factored	true	2	4	4	8	28	24	6	4	4	10	48	28	8	14	4	4	4	3	4	24	1	4	0	0	8	0	2	0	0	517	35102	5388	20244	19858	118
product-k2-w1-n16	Scalar	true	1	0	0	0	52	52	11	6	6	23	547	243	162	37	4	4	4	0	4	0	0	0	0	0	0	0	8	0	0	3989	135675	46868	128634	125986	310
product-k2-w1-n16	Factored	true	3	5	4	160	45	41	6	4	4	10	98	92	160	30	5	4	4	1	4	632	1	5	0	0	8	0	2	0	0	4553	152700	46870	151340	151292	199
product-k2-w8-n0	Scalar	true	1	0	0	0	148	148	67	6	6	107	951	491	24	77	4	4	4	0	4	0	0	0	0	0	0	0	8	0	0	2065	113570	6072	21320	16732	195
product-k2-w8-n0	Factored	true	2	4	4	22	84	80	34	4	4	38	252	164	22	42	4	4	4	3	4	24	1	4	0	0	8	0	2	0	0	1131	68132	6074	23470	23084	156
product-k2-w8-n16	Scalar	true	1	0	0	0	164	164	67	6	6	107	2235	1159	176	93	4	4	4	0	4	0	0	0	0	0	0	0	8	0	0	5977	251055	47554	130440	126672	382
product-k2-w8-n16	Factored	true	3	5	4	174	101	97	34	4	4	38	302	228	174	58	5	4	4	3	4	632	1	5	0	0	8	0	2	0	0	5169	185778	47556	154566	154518	329
product-k2-w64-n0	Scalar	true	1	0	0	0	1044	1044	515	6	6	779	8023	4347	136	525	4	4	4	0	4	0	0	0	0	0	0	0	8	0	0	15271	816394	11562	76314	35886	689
product-k2-w64-n0	Factored	true	2	4	4	134	532	528	258	4	4	262	3044	1884	134	266	4	4	4	3	4	24	1	4	0	0	8	0	2	0	0	7271	396788	11564	71144	55902	519
product-k2-w64-n16	Scalar	true	1	0	0	0	1060	1060	515	6	6	779	17455	9075	288	541	4	4	4	0	4	0	0	0	0	0	0	0	8	0	0	23545	1245247	53044	156602	143874	1370
product-k2-w64-n16	Factored	true	3	5	4	286	549	545	258	4	4	262	3094	1948	286	282	5	4	4	3	4	632	1	5	0	0	8	0	2	0	0	11309	514434	53046	187384	187336	714
product-k2-w256-n0	Scalar	true	1	0	0	0	4116	4116	2051	6	6	3083	37991	20431	520	2061	4	4	4	0	4	0	0	0	0	0	0	0	8	0	0	66259	3455018	30380	264860	101552	2602
product-k2-w256-n0	Factored	true	2	4	4	518	2068	2064	1026	4	4	1030	14772	8908	518	1034	4	4	4	3	4	24	1	4	0	0	8	0	2	0	0	30543	1613492	30382	245098	168416	1935
product-k2-w256-n16	Scalar	true	1	0	0	0	4132	4132	2051	6	6	3083	75567	38879	672	2077	4	4	4	0	4	0	0	0	0	0	0	0	8	0	0	89149	4878879	71862	325600	209540	3423
product-k2-w256-n16	Factored	true	3	5	4	670	2085	2081	1026	4	4	1030	14822	8972	670	1050	5	4	4	3	4	632	1	5	0	0	8	0	2	0	0	34581	1731138	71864	307860	299850	1410
product-k4-w0-n0	Scalar	true	1	0	0	0	84	84	15	30	30	79	1324	229	34	53	16	16	16	0	16	0	0	0	0	0	0	0	208	0	0	2031	109206	21366	62044	60604	144
product-k4-w0-n0	Factored	true	4	8	8	12	48	32	4	8	8	12	64	24	12	20	8	16	16	5	16	192	2	8	0	0	208	0	4	0	0	1520	86528	21368	69260	69196	108
product-k4-w0-n16	Scalar	true	1	0	0	0	100	100	15	30	30	79	2057	327	186	69	16	16	16	0	16	0	0	0	0	0	0	0	208	0	0	13113	429235	162400	473964	470860	886
product-k4-w0-n16	Factored	true	5	9	8	164	65	49	4	8	8	12	114	88	164	36	9	16	16	1	16	2624	1	9	0	0	208	0	4	0	0	13271	429870	162402	508102	508022	607
product-k4-w1-n0	Scalar	true	1	0	0	0	212	212	79	30	30	239	2892	885	38	117	16	16	16	0	16	0	0	0	0	0	0	0	208	0	0	4338	240967	21562	62822	61062	282
product-k4-w1-n0	Factored	true	4	8	8	16	64	48	12	8	8	20	96	56	16	28	8	16	16	5	16	192	2	8	0	0	208	0	4	0	0	1684	96116	21564	70504	70440	127
product-k4-w1-n16	Scalar	true	1	0	0	0	228	228	79	30	30	239	4569	1191	190	133	16	16	16	0	16	0	0	0	0	0	0	0	208	0	0	15625	575483	162596	474480	471056	640
product-k4-w1-n16	Factored	true	5	9	8	168	81	65	12	8	8	20	146	120	168	44	9	16	16	1	16	2624	1	9	0	0	208	0	4	0	0	13435	439458	162598	509346	509266	637
product-k4-w8-n0	Scalar	true	1	0	0	0	1108	1108	527	30	30	1359	15836	5845	66	565	16	16	16	0	16	0	0	0	0	0	0	0	208	0	0	21491	1193686	22934	90688	63704	1254
product-k4-w8-n0	Factored	true	4	8	8	44	176	160	68	8	8	76	504	328	44	84	8	16	16	5	16	192	2	8	0	0	208	0	4	0	0	2912	162176	22936	76956	76892	131
product-k4-w8-n16	Scalar	true	1	0	0	0	1124	1124	527	30	30	1359	26201	8359	218	581	16	16	16	0	16	0	0	0	0	0	0	0	208	0	0	34953	1684851	163968	478092	472428	1514
product-k4-w8-n16	Factored	true	5	9	8	196	193	177	68	8	8	76	554	392	196	100	9	16	16	5	16	2624	2	9	0	0	208	0	4	0	0	14667	505678	163970	515798	515718	992
product-k4-w64-n0	Scalar	true	1	0	0	0	8276	8276	4111	30	30	10319	123244	48341	290	4149	16	16	16	0	16	0	0	0	0	0	0	0	208	0	0	168025	9077214	33912	402050	88346	6152
product-k4-w64-n0	Factored	true	4	8	8	268	1072	1056	516	8	8	524	6088	3768	268	532	8	16	16	5	16	192	2	8	0	0	208	0	4	0	0	15192	819488	33914	150408	142526	596
product-k4-w64-n16	Scalar	true	1	0	0	0	8292	8292	4111	30	30	10319	199513	66535	442	4165	16	16	16	0	16	0	0	0	0	0	0	0	208	0	0	196813	10691139	174946	564846	495118	9304
product-k4-w64-n16	Factored	true	5	9	8	420	1089	1073	516	8	8	524	6138	3832	420	548	9	16	16	5	16	2624	2	9	0	0	208	0	4	0	0	26947	1162990	174948	581432	581352	1630
product-k4-w256-n0	Scalar	true	1	0	0	0	32852	32852	16399	30	30	41039	568684	230261	1058	16437	16	16	16	0	16	0	0	0	0	0	0	0	208	0	0	740989	38988990	71546	1469572	172828	29543
product-k4-w256-n0	Factored	true	4	8	8	1036	4144	4128	2052	8	8	2060	29544	17816	1036	2068	8	16	16	5	16	192	2	8	0	0	208	0	4	0	0	61736	3252896	71548	498314	367552	2563
product-k4-w256-n16	Scalar	true	1	0	0	0	32868	32868	16399	30	30	41039	924825	337959	1210	16453	16	16	16	0	16	0	0	0	0	0	0	0	208	0	0	861425	47064355	212580	1632368	579600	33546
product-k4-w256-n16	Factored	true	5	9	8	1188	4161	4145	2052	8	8	2060	29594	17880	1188	2084	9	16	16	5	16	2624	2	9	0	0	208	0	4	0	0	73491	3596398	212582	806458	806378	3115
product-k8-w0-n0	Scalar	true	1	0	0	0	1292	1292	255	510	510	2303	46310	3412	518	781	256	256	256	0	256	0	0	0	0	0	0	0	64256	0	0	51120	2594558	496322	1490388	1487716	2904
product-k8-w0-n0	Factored	true	8	16	16	24	320	64	8	16	16	24	128	48	24	40	16	256	256	9	256	6144	6	16	0	0	64256	0	8	0	0	29369	1336568	496324	1492972	1492844	3545
product-k8-w0-n16	Scalar	true	1	0	0	0	1308	1308	255	510	510	2303	62734	3995	670	797	256	256	256	0	256	0	0	0	0	0	0	0	64256	0	0	216751	7296643	2628396	7875684	7871348	10367
product-k8-w0-n16	Factored	true	9	17	16	176	337	81	8	16	16	24	178	112	176	56	17	256	256	1	256	45056	1	17	0	0	64256	0	8	0	0	195179	6027398	2628398	7995622	7995478	8721
product-k8-w1-n0	Scalar	true	1	0	0	0	5388	5388	2303	510	510	11519	164070	28500	526	2829	256	256	256	0	256	0	0	0	0	0	0	0	64256	0	0	163795	8938231	496714	1491682	1488370	7134
product-k8-w1-n0	Factored	true	8	16	16	32	352	96	24	16	16	40	192	112	32	56	16	256	256	9	256	6144	6	16	0	0	64256	0	8	0	0	29697	1355744	496716	1495460	1495332	3663
product-k8-w1-n16	Scalar	true	1	0	0	0	5404	5404	2303	510	510	11519	227342	40347	678	2845	256	256	256	0	256	0	0	0	0	0	0	0	64256	0	0	340687	14450835	2628788	7876716	7871740	15447
product-k8-w1-n16	Factored	true	9	17	16	184	369	113	24	16	16	40	242	176	184	72	17	256	256	1	256	45056	1	17	0	0	64256	0	8	0	0	195507	6046574	2628790	7998110	7997966	13605
product-k8-w8-n0	Scalar	true	1	0	0	0	34060	34060	16639	510	510	76031	1063654	231764	582	17165	256	256	256	0	256	0	0	0	0	0	0	0	64256	0	0	1008836	55562750	499458	2224480	1492384	42680
product-k8-w8-n0	Factored	true	8	16	16	88	576	320	136	16	16	152	1008	656	88	168	16	256	256	9	256	6144	6	16	0	0	64256	0	8	0	0	32153	1487864	499460	1508364	1508236	2103
product-k8-w8-n16	Scalar	true	1	0	0	0	34076	34076	16639	510	510	76031	1585934	310427	734	17181	256	256	256	0	256	0	0	0	0	0	0	0	64256	0	0	1249455	65859331	2631532	7883940	7874484	50796
product-k8-w8-n16	Factored	true	9	17	16	240	593	337	136	16	16	152	1058	720	240	184	17	256	256	9	256	45056	6	17	0	0	64256	0	8	0	0	197972	6179718	2631534	8011238	8011094	9318
product-k8-w64-n0	Scalar	true	1	0	0	0	263436	263436	131327	510	510	592127	9338342	2151508	1030	131853	256	256	256	0	256	0	0	0	0	0	0	0	64256	0	0	8253498	451233094	521412	11435138	1528002	356833
product-k8-w64-n0	Factored	true	8	16	16	536	2368	2112	1032	16	16	1048	12176	7536	536	1064	16	256	256	9	256	6144	6	16	0	0	64256	0	8	0	0	56713	2802488	521414	1639630	1639502	3117
product-k8-w64-n16	Scalar	true	1	0	0	0	263452	263452	131327	510	510	592127	11679502	2540187	1182	131869	256	256	256	0	256	0	0	0	0	0	0	0	64256	0	0	8756755	483468435	2653486	13622710	7908150	366696
product-k8-w64-n16	Factored	true	9	17	16	688	2385	2129	1032	16	16	1048	12226	7600	688	1080	17	256	256	9	256	45056	6	17	0	0	64256	0	8	0	0	222532	7494342	2653488	8142504	8142360	10518
product-k8-w256-n0	Scalar	true	1	0	0	0	1049868	1049868	524543	510	510	2361599	35142886	8786004	2566	525069	256	256	256	0	256	0	0	0	0	0	0	0	64256	0	0	33462718	1814141222	596678	43014532	1650116	1350793
product-k8-w256-n0	Factored	true	8	16	16	2072	8512	8256	4104	16	16	4120	59088	35632	2072	4136	16	256	256	9	256	6144	6	16	0	0	64256	0	8	0	0	149801	7669304	596680	2089680	2089552	9661
product-k8-w256-n16	Scalar	true	1	0	0	0	1049884	1049884	524543	510	510	2361599	46754574	10664859	2718	525085	256	256	256	0	256	0	0	0	0	0	0	0	64256	0	0	35467927	1953763443	2728752	45202104	8030264	1517017
product-k8-w256-n16	Factored	true	9	17	16	2224	8529	8273	4104	16	16	4120	59138	35696	2224	4152	17	256	256	9	256	45056	6	17	0	0	64256	0	8	0	0	315620	12361158	2728754	8592554	8592410	14316
mixed-add-infer	Scalar	true	1	0	0	0	78	78	8	27	43	8	306	124	81	86	1	1	1	0	1	0	0	0	0	0	0	0	0	0	0	877	59531	6898	33553	29505	89
mixed-add-infer	Factored	true	2	3	4	14	80	79	8	27	43	8	202	101	81	86	2	1	1	1	1	9	1	2	0	0	0	0	0	0	0	933	63064	6900	31097	31065	116
