case	mode	pass	steps	pairs	root_reads	output_root_reads	absence_visits	occurs_visits	splits	copied_entries	completed_regions	failed_regions	eager_projection_visits	output_projection_visits	eager_nodes	projection_cache_hits	interning_lookups	partition_groups	bindings	raw	answers	max_frontier	retained_regions	observer_pairs	observer_scans	observer_backtracks	allocation_calls	construct_requested	solve_requested	observe_requested	requested_bytes	baseline_live	peak_live	final_live	construct_us	solve_us	observe_us
discriminate-k8-w0	Named	true	26	25	66	0	0	0	8	64	1	8	0	0	0	0	0	0	0	1	1	2	1	0	0	0	98	2350	2944	728	6022	923	4657	4433	2	12	3
discriminate-k8-w0	Partitioned	true	759	758	1020	0	0	0	0	0	1	255	2584	0	258	2287	281	256	0	1	1	256	1	0	0	0	2586	2350	228261	664	231275	929	198347	28479	2	539	2
discriminate-k8-w1	Eager	true	1023	1022	9212	0	0	0	0	0	1	255	5120	0	5120	0	0	0	0	1	1	256	1	0	0	0	12379	2496	492328	728	495552	923	422003	28771	4	1360	9
discriminate-k8-w1	Named	true	27	26	68	0	0	0	8	64	1	8	0	0	0	0	0	0	0	1	1	2	1	0	0	0	104	2496	2944	728	6168	923	4803	4579	3	11	3
discriminate-k8-w1	Partitioned	true	1014	1013	1530	0	0	0	0	0	1	255	2841	0	514	2287	538	256	0	1	1	256	1	0	0	0	3998	2496	295622	664	298782	929	265837	28625	3	782	3
discriminate-k8-w8	Eager	true	2815	2814	16380	0	0	0	0	0	1	255	8704	0	8704	0	0	0	0	1	1	256	1	0	0	0	23175	3518	754168	728	758414	923	684865	29793	5	1987	5
discriminate-k8-w8	Named	true	34	33	82	0	0	0	8	64	1	8	0	0	0	0	0	0	0	1	1	2	1	0	0	0	148	3518	3152	728	7398	923	5841	5601	6	9	4
discriminate-k8-w8	Partitioned	true	2799	2798	5100	0	0	0	0	0	1	255	4640	0	2306	2287	2337	256	0	1	1	256	1	0	0	0	13919	3518	785333	664	789515	929	756451	29647	6	2414	3
discriminate-k8-w64	Eager	true	17151	17150	73724	0	0	0	0	0	1	255	37376	0	37376	0	0	0	0	1	1	256	1	0	0	0	109546	11694	2849488	728	2861910	924	2788362	37970	20	7999	6
discriminate-k8-w64	Named	true	90	89	194	0	0	0	8	64	1	8	0	0	0	0	0	0	0	1	1	2	1	0	0	0	503	11694	5416	728	17838	924	16282	13778	14	14	2
discriminate-k8-w64	Partitioned	true	17079	17078	33660	0	0	0	0	0	1	255	19032	0	16642	2287	16729	256	0	1	1	256	1	0	0	0	93275	11694	4693437	664	4705795	930	4671780	37824	22	18855	3
discriminate-k8-w256	Eager	true	66303	66302	270332	0	0	0	0	0	1	255	135680	0	135680	0	0	0	0	1	1	256	1	0	0	0	405673	39726	10033000	728	10073454	925	9999907	66003	86	35939	5
discriminate-k8-w256	Named	true	282	281	578	0	0	0	8	64	1	8	0	0	0	0	0	0	0	1	1	2	1	0	0	0	1718	39726	12736	728	53190	925	51635	41811	81	37	3
discriminate-k8-w256	Partitioned	true	66039	66038	131580	0	0	0	0	0	1	255	68376	0	65794	2287	66073	256	0	1	1	256	1	0	0	0	365335	39726	18087461	664	18127851	931	18090573	65857	87	62057	5
cycle-k1-w0	Eager	true	3	2	13	2	3	2	0	0	1	1	5	1	5	0	0	0	1	1	1	2	1	0	0	0	43	354	1842	1007	3203	995	3133	2733	0	6	1
cycle-k1-w0	Named	true	4	3	11	2	7	3	1	1	1	1	0	1	0	0	0	0	1	1	1	2	1	0	0	0	34	354	1600	1007	2961	995	3068	2668	0	5	1
cycle-k1-w0	Partitioned	true	3	2	6	2	3	2	0	0	1	1	7	1	3	1	4	2	1	1	1	2	1	0	0	0	49	354	4292	943	5589	1001	4847	2699	0	12	1
cycle-k1-w1	Eager	true	3	2	14	3	4	2	0	0	1	1	6	2	6	0	0	0	1	1	1	2	1	0	0	0	51	427	1915	1056	3398	1044	3377	2977	1	6	1
cycle-k1-w1	Named	true	4	3	11	3	9	3	1	1	1	1	0	2	0	0	0	0	1	1	1	2	1	0	0	0	39	427	1600	1056	3083	1044	3239	2839	0	4	1
cycle-k1-w1	Partitioned	true	3	2	6	3	4	2	0	0	1	1	8	2	4	1	5	2	1	1	1	2	1	0	0	0	59	427	4374	992	5793	1050	5051	2943	1	12	1
cycle-k1-w8	Eager	true	3	2	21	10	11	2	0	0	1	1	13	9	13	0	0	0	1	1	1	2	1	0	0	0	109	938	2730	1399	5067	1387	5085	4685	1	13	2
cycle-k1-w8	Named	true	4	3	11	10	23	3	1	1	1	1	0	9	0	0	0	0	1	1	1	2	1	0	0	0	76	938	1904	1399	4241	1387	4436	4036	1	6	4
cycle-k1-w8	Partitioned	true	3	2	6	10	11	2	0	0	1	1	15	9	11	1	12	2	1	1	1	2	1	0	0	0	135	938	6388	1335	8661	1393	7919	4651	1	18	2
cycle-k1-w64	Eager	true	3	2	77	66	67	2	0	0	1	1	69	65	69	0	0	0	1	1	1	2	1	0	0	0	574	5026	8682	4143	17851	4132	18750	18350	10	30	9
cycle-k1-w64	Named	true	4	3	11	66	135	3	1	1	1	1	0	65	0	0	0	0	1	1	1	2	1	0	0	0	382	5026	4800	4143	13969	4132	14013	13613	11	17	16
