mode,family,n,reuse,requested_bytes,peak_above_start,wall_median_ns,wall_min_ns,wall_max_ns
original-contextual,choices,3,1,227304,31751,153150,98209,181041
original-contextual,choices,3,4,841494,31751,492001,309245,540290
original-contextual,duplicates,0,1,5962,4337,7709,7370,8570
original-contextual,duplicates,0,4,10453,4337,12212,11304,13632
original-contextual,duplicates,1,1,27870,9080,27939,16611,28306
original-contextual,duplicates,1,4,84102,9080,60127,35696,73434
original-contextual,duplicates,3,1,227304,31751,153646,98818,155226
original-contextual,duplicates,3,4,841494,31751,502212,495262,555955
original-contextual,shared,0,1,5962,4337,7799,4059,9461
original-contextual,shared,0,4,10453,4337,11640,11419,12395
original-contextual,shared,1,1,27870,9080,29425,27454,29575
original-contextual,shared,1,4,84102,9080,63711,35765,73272
original-contextual,shared,3,1,187632,31751,126727,120228,138542
original-contextual,shared,3,4,682806,31751,364561,363549,379265
original-contextual,spare,0,1,10614,5593,13414,7738,15160
original-contextual,spare,0,4,23025,5593,24613,15086,25072
original-contextual,spare,1,1,64230,19166,47786,35157,55224
original-contextual,spare,1,4,218226,19166,128852,89039,152142
original-contextual,spare,3,1,298376,47246,163251,162039,164797
original-contextual,spare,3,4,1096706,47246,523801,338022,554515
original-shared,plain,0,1,5334,3629,7699,7351,7810
original-shared,plain,0,4,9825,3629,11121,6094,12689
original-shared,plain,1,1,23102,6293,21719,13262,29623
original-shared,plain,1,4,66914,6293,50076,27851,50745
original-shared,plain,3,1,120045,21966,83851,83338,124138
original-shared,plain,3,4,414342,21966,247932,236972,250613
original-shared,choices,0,1,5962,4257,7911,4468,9804
original-shared,choices,0,4,10453,4257,12372,11476,12690
original-shared,choices,1,1,27470,8600,28609,27930,31125
original-shared,choices,1,4,82502,8600,42788,35736,62686
original-shared,choices,3,1,230842,31615,152310,95203,189316
original-shared,choices,3,4,855646,31615,538475,522712,567314
original-shared,duplicates,0,1,5962,4257,7596,4427,8063
original-shared,duplicates,0,4,10453,4257,11505,6624,12161
original-shared,duplicates,1,1,27470,8600,29212,27539,30391
original-shared,duplicates,1,4,82502,8600,60641,36088,64495
original-shared,duplicates,3,1,230842,31615,154430,149222,191875
original-shared,duplicates,3,4,855646,31615,517725,332129,544216
original-shared,shared,0,1,5962,4257,7556,5491,8321
original-shared,shared,0,4,10453,4257,11303,6674,12224
original-shared,shared,1,1,27470,8600,28186,16757,31394
original-shared,shared,1,4,82502,8600,64056,60013,64993
original-shared,shared,3,1,187890,31615,124066,122978,129445
original-shared,shared,3,4,683838,31615,371981,259880,383238
original-shared,spare,0,1,10614,5513,13009,12763,13679
original-shared,spare,0,4,23025,5513,25955,24645,27889
original-shared,spare,1,1,64254,19086,47909,32414,54372
original-shared,spare,1,4,218322,19086,129400,128611,139271
original-shared,spare,3,1,299605,47166,164312,159567,189654
original-shared,spare,3,4,1101622,47166,349349,335520,527410
original-conditional,plain,0,1,14099,7705,15047,9115,25342
original-conditional,plain,0,4,36563,7705,26466,13961,34658
original-conditional,plain,1,1,53017,11410,66454,39491,68312
original-conditional,plain,1,4,183193,11410,195783,106607,198684
original-conditional,plain,3,1,240107,27360,315578,157550,347433
original-conditional,plain,3,4,912449,27360,675418,541644,988190
original-conditional,choices,0,1,14727,8333,13873,13686,14575
original-conditional,choices,0,4,37191,8333,25560,19453,28141
