mode,family,choices,depth,reuse,requested_bytes,peak_above_start
demand,early,0,0,4,68352,6861
indexed,independent,3,4,4,825092,80322
indexed,independent,0,4,1,39258,12706
contextual,common,0,16,4,593736,17355
contextual,early,3,0,1,62594,18219
special,common,0,64,1,223115,41996
scan,early,0,16,4,204096,16822
contextual,independent,0,16,4,593448,17259
scan,early,0,64,1,220851,41606
conditional,common,3,64,1,6318934,436320
scan,early,3,0,4,213912,27503
shared,common,0,64,4,6308744,48827
contextual,early,3,64,1,6215682,118754
demand,common,0,16,4,352720,11683
demand,independent,3,0,4,607731,34175
indexed,independent,0,16,4,264220,21198
special,independent,0,0,1,26315,9232
scan,early,0,4,1,33755,10714
special,independent,3,4,4,650592,64873
special,common,0,4,4,90904,11104
indexed,independent,0,64,1,266034,50414
demand,independent,3,4,1,290069,34841
conditional,early,3,4,4,696054,21415
contextual,independent,0,0,4,61336,7045
conditional,common,0,4,4,455821,15711
scan,independent,3,0,4,480928,59775
shared,common,0,16,1,158646,17275
special,common,3,64,4,4516570,224566
shared,common,0,64,1,1596470,48827
conditional,independent,0,4,4,453965,15615
special,independent,0,16,4,203576,17116
scan,common,3,0,1,104802,50288
indexed,common,3,64,1,1439569,281325
contextual,independent,0,4,1,39350,8131
scan,early,3,16,4,686656,50519
conditional,common,0,0,1,55207,11907
scan,common,0,16,1,70323,16806
demand,independent,0,4,4,139096,7627
indexed,early,3,0,4,261012,34736
indexed,common,0,16,1,86362,21294
indexed,early,3,4,1,113467,39760
scan,common,3,16,1,335090,93976
scan,early,0,16,1,70323,16806
contextual,early,3,4,4,486909,21146
contextual,independent,0,64,1,1596302,48811
scan,common,0,64,1,220851,41606
demand,early,3,4,1,127922,18587
indexed,early,0,16,4,264572,21294
shared,common,0,0,1,20518,7085
special,independent,0,64,4,738952,41916
scan,early,3,4,1,92820,32803
conditional,common,3,4,4,696719,24076
shared,independent,3,0,1,173679,39197
special,independent,0,0,4,59504,9232
special,early,3,4,1,95308,33393
demand,common,3,4,1,236272,30909
demand,common,0,4,4,139384,7723
shared,early,3,64,1,6221929,119487
shared,early,0,64,4,6308744,48827
shared,independent,0,4,4,133616,8051
special,early,0,0,4,59856,9328
scan,independent,3,16,4,1354296,97442
special,common,3,4,1,156334,60882
special,common,0,16,4,203928,17212
shared,independent,0,64,4,6308456,48731
indexed,common,3,0,1,126033,64445
shared,common,3,0,4,437914,35063
special,independent,0,64,1,222883,41900
special,early,0,16,4,203928,17212
scan,common,0,64,4,738000,41622
special,independent,3,0,1,141292,60333
indexed,early,3,64,1,801147,150272
indexed,independent,3,16,1,492771,132194
indexed,independent,3,0,4,588604,75922
scan,common,3,4,4,562978,60324
indexed,independent,3,64,1,1501859,293698
scan,independent,0,4,1,33523,10618
indexed,common,3,4,4,712254,73709
special,early,3,0,4,214768,28093
scan,common,0,0,1,24283,8938
indexed,early,0,4,1,39490,12802
conditional,independent,0,16,4,2304557,48034
indexed,common,3,16,1,455393,124877
special,independent,3,64,4,4303632,217264
special,early,3,16,1,195516,49637
shared,common,0,0,4,61720,7085
demand,independent,0,64,1,325438,26083
scan,independent,3,64,1,1134420,218495
scan,independent,0,64,4,737648,41526
demand,independent,0,16,4,352432,11587
indexed,early,0,16,1,86362,21294
demand,independent,3,64,1,2245349,64721
demand,common,3,4,4,916282,30909
conditional,early,0,0,1,55207,11907
scan,early,3,4,4,317760,32803
shared,early,0,0,4,61720,7085
conditional,independent,0,64,1,6256762,433442
shared,early,0,4,1,39518,8147
scan,early,3,16,1,194500,50519
contextual,early,0,0,1,20494,7141
conditional,common,0,64,1,6257298,433538
contextual,independent,3,16,4,5779563,85665
demand,common,3,0,1,104384,28933
demand,early,0,4,4,139384,7723
contextual,common,3,4,1,239280,35604
scan,independent,3,4,4,650856,64315
conditional,independent,0,16,1,596354,48034
indexed,independent,0,0,4,70612,10930
shared,independent,0,16,1,158502,17179
contextual,independent,3,0,1,163109,38399
indexed,independent,3,16,4,1858260,132322
contextual,early,3,16,1,579778,41698
shared,independent,3,4,1,356707,50611
conditional,common,3,16,1,658526,54964
contextual,common,0,16,1,158622,17355
scan,early,0,0,1,24283,8938
contextual,common,0,4,4,133808,8227
special,common,3,64,1,1086466,224566
shared,independent,0,4,1,39374,8051
special,independent,0,4,4,90552,11008
conditional,early,0,4,1,123574,15711
conditional,independent,3,4,4,5303640,84503
demand,independent,0,4,1,40246,7627
indexed,early,3,64,4,3190812,150336
demand,early,3,64,1,1127138,42002
indexed,independent,0,16,1,86130,21198
indexed,early,0,64,1,266266,50510
contextual,early,0,4,1,39494,8227
indexed,independent,0,0,1,27706,10930
indexed,independent,3,0,1,166555,75922
shared,independent,3,0,4,657195,39197
conditional,common,3,16,4,2546543,54964
demand,early,3,64,4,4489565,42002
shared,independent,3,64,4,54359187,223475
contextual,independent,0,64,4,6308360,48811
shared,independent,0,0,4,61432,6989
shared,early,3,16,4,2294541,42123
demand,common,3,64,1,2187520,59980
contextual,early,0,4,4,133808,8227
special,early,0,64,1,223115,41996
conditional,common,3,64,4,25020535,436320
special,common,3,16,4,1228906,91590
scan,common,3,64,1,1084258,224008
demand,independent,0,0,4,68064,6765
scan,early,0,4,4,89600,10714
conditional,early,3,4,1,185811,21415
shared,early,0,64,1,1596470,48827
contextual,common,3,0,4,394522,29005
conditional,early,3,0,1,107732,17995
special,common,3,4,4,562714,60882
conditional,common,0,0,4,190561,11907
indexed,common,0,4,1,39490,12802
conditional,early,3,0,4,393098,17995
scan,common,3,64,4,4516834,224008
indexed,early,3,0,1,77475,34736
demand,early,0,0,1,21678,6861
special,early,0,4,1,36019,11104
scan,independent,3,64,4,4308312,218495
indexed,common,0,0,4,70964,11026
shared,independent,0,16,4,593544,17179
