   Compiling chr-persistent v0.1.0 (/home/ahart/Documents/CHRLang/research/chr-persistent)
   Compiling chr-compiled v0.1.0 (/home/ahart/Documents/CHRLang/research/chr-compiled)
   Compiling chr-reuse v0.1.0 (/home/ahart/Documents/CHRLang/research/chr-reuse)
    Finished `dev` profile [unoptimized + debuginfo] target(s) in 0.75s
     Running `target/debug/examples/continuation_work`
history resource=true CompactLive Stats { logical_steps: 565, executed: 550, hits: 15, key_requests: 553, states: 550, completed: 4, failed: 0, max_frontier: 4 }
history-early resource=false Direct Stats { logical_steps: 555, executed: 555, hits: 0, key_requests: 0, states: 0, completed: 4, failed: 0, max_frontier: 4 }
history-early resource=false ExactIds Stats { logical_steps: 555, executed: 555, hits: 0, key_requests: 555, states: 555, completed: 4, failed: 0, max_frontier: 4 }
history-early resource=false Alpha Stats { logical_steps: 555, executed: 555, hits: 0, key_requests: 555, states: 555, completed: 4, failed: 0, max_frontier: 4 }
history-early resource=false AlphaLive Stats { logical_steps: 555, executed: 156, hits: 399, key_requests: 159, states: 156, completed: 4, failed: 0, max_frontier: 4 }
history-early resource=false CompactExact Stats { logical_steps: 555, executed: 555, hits: 0, key_requests: 555, states: 555, completed: 4, failed: 0, max_frontier: 4 }
history-early resource=false CompactAlpha Stats { logical_steps: 555, executed: 555, hits: 0, key_requests: 555, states: 555, completed: 4, failed: 0, max_frontier: 4 }
history-early resource=false CompactLive Stats { logical_steps: 555, executed: 156, hits: 399, key_requests: 159, states: 156, completed: 4, failed: 0, max_frontier: 4 }
history-early resource=true Direct Stats { logical_steps: 565, executed: 565, hits: 0, key_requests: 0, states: 0, completed: 4, failed: 0, max_frontier: 4 }
history-early resource=true ExactIds Stats { logical_steps: 565, executed: 565, hits: 0, key_requests: 565, states: 565, completed: 4, failed: 0, max_frontier: 4 }
history-early resource=true Alpha Stats { logical_steps: 565, executed: 565, hits: 0, key_requests: 565, states: 565, completed: 4, failed: 0, max_frontier: 4 }
history-early resource=true AlphaLive Stats { logical_steps: 565, executed: 160, hits: 405, key_requests: 163, states: 160, completed: 4, failed: 0, max_frontier: 4 }
history-early resource=true CompactExact Stats { logical_steps: 565, executed: 565, hits: 0, key_requests: 565, states: 565, completed: 4, failed: 0, max_frontier: 4 }
history-early resource=true CompactAlpha Stats { logical_steps: 565, executed: 565, hits: 0, key_requests: 565, states: 565, completed: 4, failed: 0, max_frontier: 4 }
history-early resource=true CompactLive Stats { logical_steps: 565, executed: 160, hits: 405, key_requests: 163, states: 160, completed: 4, failed: 0, max_frontier: 4 }
distinct resource=false Direct Stats { logical_steps: 533, executed: 533, hits: 0, key_requests: 0, states: 0, completed: 4, failed: 0, max_frontier: 4 }
distinct resource=false ExactIds Stats { logical_steps: 533, executed: 533, hits: 0, key_requests: 533, states: 533, completed: 4, failed: 0, max_frontier: 4 }
distinct resource=false Alpha Stats { logical_steps: 533, executed: 533, hits: 0, key_requests: 533, states: 533, completed: 4, failed: 0, max_frontier: 4 }
distinct resource=false AlphaLive Stats { logical_steps: 533, executed: 533, hits: 0, key_requests: 533, states: 533, completed: 4, failed: 0, max_frontier: 4 }
distinct resource=false CompactExact Stats { logical_steps: 533, executed: 533, hits: 0, key_requests: 533, states: 533, completed: 4, failed: 0, max_frontier: 4 }
distinct resource=false CompactAlpha Stats { logical_steps: 533, executed: 533, hits: 0, key_requests: 533, states: 533, completed: 4, failed: 0, max_frontier: 4 }
distinct resource=false CompactLive Stats { logical_steps: 533, executed: 533, hits: 0, key_requests: 533, states: 533, completed: 4, failed: 0, max_frontier: 4 }
distinct resource=true Direct Stats { logical_steps: 543, executed: 543, hits: 0, key_requests: 0, states: 0, completed: 4, failed: 0, max_frontier: 4 }
distinct resource=true ExactIds Stats { logical_steps: 543, executed: 543, hits: 0, key_requests: 543, states: 543, completed: 4, failed: 0, max_frontier: 4 }
distinct resource=true Alpha Stats { logical_steps: 543, executed: 543, hits: 0, key_requests: 543, states: 543, completed: 4, failed: 0, max_frontier: 4 }
distinct resource=true AlphaLive Stats { logical_steps: 543, executed: 543, hits: 0, key_requests: 543, states: 543, completed: 4, failed: 0, max_frontier: 4 }
distinct resource=true CompactExact Stats { logical_steps: 543, executed: 543, hits: 0, key_requests: 543, states: 543, completed: 4, failed: 0, max_frontier: 4 }
distinct resource=true CompactAlpha Stats { logical_steps: 543, executed: 543, hits: 0, key_requests: 543, states: 543, completed: 4, failed: 0, max_frontier: 4 }
distinct resource=true CompactLive Stats { logical_steps: 543, executed: 543, hits: 0, key_requests: 543, states: 543, completed: 4, failed: 0, max_frontier: 4 }
