build,mode,family,n,reuse,consumer,requested_bytes,peak_above_start,consumer_retained_bytes,wall_median_ns,wall_min_ns,wall_max_ns
filtered,resumable,independent,0,4,query,30904,6913,0,24791,22604,29244
filtered,resumable,independent,0,4,prepared,30904,7517,604,23449,22036,28630
filtered,resumable,independent,1,1,query,164428,17856,0,95427,75539,150433
filtered,resumable,independent,1,1,prepared,164428,19988,2132,135937,124638,167563
filtered,resumable,independent,1,4,query,318049,17856,0,220210,208499,275536
filtered,resumable,independent,1,4,prepared,318049,26384,8528,244164,181279,304671
filtered,resumable,independent,3,1,query,1082812,62639,0,809073,566336,950370
filtered,resumable,independent,3,1,prepared,1082812,84655,22016,737300,478169,869413
filtered,resumable,independent,3,4,query,2394313,62639,0,1597991,1227070,1833284
filtered,resumable,independent,3,4,prepared,2394313,150703,88064,1738278,1237854,2004895
filtered,resumable,delayed,0,1,query,19845,7113,0,19482,18181,22335
filtered,resumable,delayed,0,1,prepared,19845,7264,151,17984,12839,18975
filtered,resumable,delayed,0,4,query,31104,7113,0,17106,13803,27032
filtered,resumable,delayed,0,4,prepared,31104,7717,604,26833,22964,31368
filtered,resumable,delayed,1,1,query,230760,18056,0,154060,115017,196936
filtered,resumable,delayed,1,1,prepared,230760,20188,2132,162240,96525,197479
filtered,resumable,delayed,1,4,query,450513,18056,0,269395,258311,299761
filtered,resumable,delayed,1,4,prepared,450513,26584,8528,323134,278978,379020
filtered,resumable,delayed,3,1,query,1557482,62839,0,826507,730593,1212397
filtered,resumable,delayed,3,1,prepared,1557482,84855,22016,1078420,1009065,1219834
filtered,resumable,delayed,3,4,query,3515747,62839,0,1968950,1733185,2498693
filtered,resumable,delayed,3,4,prepared,3515747,150903,88064,1999958,1726393,2781264
filtered,resumable,early,0,1,query,19303,6571,0,18144,17332,28839
filtered,resumable,early,0,1,prepared,19303,6722,151,18578,10565,28116
filtered,resumable,early,0,4,query,30562,6571,0,22237,16017,27812
filtered,resumable,early,0,4,prepared,30562,7175,604,26484,17078,26722
filtered,resumable,early,1,1,query,102184,12802,0,104468,65086,119860
filtered,resumable,early,1,1,prepared,102184,13820,1018,63401,52594,110404
filtered,resumable,early,1,4,query,198685,12802,0,143990,133852,164884
filtered,resumable,early,1,4,prepared,198685,16874,4072,172019,148154,175485
filtered,resumable,early,3,1,query,331012,20237,0,255804,191499,286983
filtered,resumable,early,3,1,prepared,331012,22989,2752,251712,179663,280520
filtered,resumable,early,3,4,query,660829,20237,0,469383,347617,713190
filtered,resumable,early,3,4,prepared,660829,31245,11008,560812,489692,608939
