kind	family	mode	repetitions	total_ns	preparation_ns	setup_ns	execution_ns	disposal_ns	first_ns_sum	raw	min_ns	max_ns	memory_exact_replay	requested_bytes	allocation_calls	peak_live
time	binary	graph	5	2070819	1040	12588	2019449	39058	2013189	100	2028845	2195668	NA	NA	NA	NA
time	binary	graph-original	5	2172165	1093	12718	2117023	40139	2110073	100	2093888	2376855	NA	NA	NA	NA
time	binary	words	5	96714	1629	5497	61136	28626	6749	100	95831	114385	NA	NA	NA	NA
time	discriminate	conditional	5	39109367	35163	116711	38691941	254842	33639554	256	37724892	40786184	NA	NA	NA	NA
time	discriminate	global-index	5	21734402	65401	449831	21191847	41024	20262327	256	21515003	22061169	NA	NA	NA	NA
time	discriminate	global-scan	5	9357495	50473	278068	8981173	35775	8252351	256	9160242	9644364	NA	NA	NA	NA
time	discriminate	graph	5	40441281	18527	69883	40261609	87377	34211912	256	39636318	41168092	NA	NA	NA	NA
time	discriminate	graph-original	5	58219280	19011	71458	58052281	80615	49810390	256	57783522	62494096	NA	NA	NA	NA
time	duplicate	active-index	5	1526142	5856	244180	1180337	82223	873589	164	1479178	1556073	NA	NA	NA	NA
time	duplicate	conditional	5	4005306	6673	20215	3889872	89208	1176647	164	3783182	4067426	NA	NA	NA	NA
time	duplicate	global-index	5	2696691	5841	268823	2358592	63861	2010482	164	2663929	2731567	NA	NA	NA	NA
time	duplicate	global-scan	5	1726866	5813	251253	1388970	84492	1078685	164	1663924	2092067	NA	NA	NA	NA
time	duplicate	graph	5	4150935	1088	23291	4041489	81507	4033704	164	4082808	4269638	NA	NA	NA	NA
time	duplicate	graph-original	5	4330396	1033	23565	4198950	82531	4190803	164	4164072	4395760	NA	NA	NA	NA
time	duplicate	words	5	271416	30441	6056	166676	63971	7605	164	264635	282671	NA	NA	NA	NA
time	nested	active-index	5	1167971	6023	159729	963172	37906	651184	136	1149210	1174735	NA	NA	NA	NA
time	nested	conditional	5	2710696	5688	15780	2633692	55899	925377	136	2604074	3002718	NA	NA	NA	NA
time	nested	global-index	5	1891980	6018	178743	1664663	39876	1399326	136	1838116	1968904	NA	NA	NA	NA
