kind,rep,family,mode,reuse,total_ns,execution_ns,setup_ns,preparation_ns,disposal_ns,first_cold_ns,cancel_ns,requested_bytes,peak_increment_bytes
time,0,after-success,indexed,1,650526,566810,38782,36438,8496,458389,549592,,
time,0,before-success,conditional,8,7721766,7169009,393346,32598,126813,821860,819602,,
time,0,before-success,ordinary,8,1221136,800427,282484,16234,121991,126389,125377,,
time,0,unique,graph,1,4076900,4004650,17913,40586,13751,399818,372502,,
time,0,unique,direct,1,206097,124283,35733,34519,11562,173915,136813,,
time,0,after-clash,direct,1,105174,51023,33598,13975,6578,,99041,,
time,0,after-clash,exact,1,115995,59430,33997,14907,7661,,102142,,
time,0,after-success,dependencies,1,152613,80124,37364,26120,9005,122599,111760,,
time,0,before-success,indexed,8,6462849,5980937,331733,35662,114517,613452,771767,,
time,0,before-clash,exact,1,92954,32628,34056,11841,14429,,83729,,
time,0,after-success,ordinary,8,1165510,736178,284733,15433,129166,117937,114252,,
time,1,after-clash,graph,1,3455329,3408079,16717,13839,16694,,3478713,,
time,1,trivial,exact,1,105082,75896,1943,20247,6996,76797,65789,,
time,1,unique,indexed,8,5444198,4966889,387247,56184,33878,482808,603944,,
time,1,before-clash,ordinary,8,571605,242515,281849,20530,26711,,66849,,
time,1,after-clash,indexed,1,505721,409421,40086,52095,4119,,459997,,
time,1,unique,ordinary,8,1290350,830951,293441,23058,142900,137930,142200,,
time,1,before-clash,exact,1,83804,32604,32674,11860,6666,,79482,,
time,1,after-success,direct,8,1167279,739956,284620,14844,127859,120218,123014,,
time,1,trivial,ordinary,8,655145,595549,9513,22031,28052,74579,54638,,
time,1,before-clash,exact,8,612775,278567,280786,21838,31584,,73383,,
time,1,unique,conditional,8,70242650,69633868,396163,29335,183284,8526941,8680213,,
time,1,after-success,graph,8,33008987,32694590,224770,28416,61211,386081,366752,,
time,1,unique,conditional,1,8548149,8430576,45598,53753,18222,8322493,8084215,,
time,1,after-clash,indexed,8,3803558,3431551,325460,40174,6373,,472342,,
time,1,before-clash,conditional,1,142112,70329,38255,21910,11618,,112491,,
time,1,unique,dependencies,1,263816,181819,34173,35792,12032,230923,225955,,
