mode,family,choices,depth,reuse,schedule,requested_bytes,peak_above_start,wall_median_ns,wall_min_ns,wall_max_ns
declared,independent,3,0,1,unknown,144451,60492,153794,116765,220389
declared,independent,3,0,4,eligible,497493,60492,593845,354983,679052
declared,independent,3,0,4,missing-permit,419060,60492,511702,278472,555757
declared,independent,3,0,4,unknown,263581,60492,328967,220577,359677
declared,independent,3,16,1,eligible,162585,62108,238954,181786,251514
declared,independent,3,16,1,missing-permit,167096,62108,244179,227027,267707
declared,independent,3,16,1,unknown,152659,62108,220090,169122,263374
declared,independent,3,16,4,eligible,526293,62108,408212,397251,870001
declared,independent,3,16,4,missing-permit,545306,93415,654915,393624,668674
declared,independent,3,16,4,unknown,282445,62108,357823,212069,369836
